Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,31.430000,31.540001,30.440001,30.520000,29.030331,2654900
2016-04-29,30.290001,30.440001,29.600000,29.830000,28.532940,3401900
2016-05-02,29.830000,30.040001,29.440001,30.000000,28.695551,2700000
2016-05-03,29.610001,29.610001,28.690001,29.290001,28.016418,3025800
2016-05-04,29.100000,29.250000,28.570000,28.809999,27.557293,2354800
2016-05-05,28.860001,29.010000,28.510000,28.799999,27.547728,2949600
2016-05-06,28.510000,28.900000,27.920000,28.400000,27.165117,4287900
2016-05-09,28.400000,28.790001,28.320000,28.480000,27.241640,1898000
2016-05-10,28.590000,29.260000,28.330000,29.209999,27.939901,2544700
2016-05-11,29.129999,29.400000,28.840000,28.879999,27.624249,2237700
2016-05-12,29.139999,29.389999,28.879999,29.139999,27.872942,3693800
2016-05-13,29.129999,29.520000,28.600000,28.700001,27.452076,2731900
2016-05-16,28.680000,29.120001,28.680000,28.950001,27.691206,1734100
2016-05-17,28.840000,29.150000,28.570000,28.820000,27.566854,2094800
2016-05-18,28.830000,30.600000,28.820000,30.580000,29.250330,5068100
2016-05-19,30.309999,30.850000,29.770000,30.240000,28.925114,4307400
2016-05-20,30.379999,31.030001,30.250000,30.790001,29.451200,2345400
2016-05-23,30.660000,30.980000,30.459999,30.770000,29.432072,2294600
2016-05-24,31.080000,31.990000,30.889999,31.830000,30.445980,2804500
2016-05-25,31.879999,32.790001,31.879999,32.400002,30.991198,3470700
2016-05-26,32.380001,32.389999,31.809999,31.910000,30.522495,2061100
2016-05-27,31.879999,32.490002,31.850000,32.470001,31.058146,1805500
2016-05-31,32.669998,32.930000,32.500000,32.669998,31.249454,2692700
2016-06-01,32.349998,32.779999,31.889999,32.660000,31.239891,2660800
2016-06-02,32.529999,32.889999,32.349998,32.880001,31.450319,1670700
2016-06-03,31.850000,31.879999,30.879999,31.469999,30.101629,4242700
2016-06-06,31.570000,32.150002,31.410000,31.990000,30.599022,2522900
2016-06-07,32.070000,32.070000,31.540001,31.549999,30.178150,2079700
2016-06-08,31.500000,31.770000,31.330000,31.350000,29.986849,1249600
2016-06-09,31.090000,31.299999,30.570000,30.850000,29.508589,2027300
2016-06-10,30.400000,30.400000,29.900000,30.110001,28.800764,3106500
2016-06-13,29.809999,30.150000,29.500000,29.700001,28.408594,2639100
2016-06-14,29.500000,29.879999,29.139999,29.320000,28.045118,2989500
2016-06-15,29.520000,30.309999,29.430000,29.549999,28.265114,3554200
2016-06-16,29.200001,29.600000,28.840000,29.570000,28.284248,1823700
2016-06-17,29.600000,30.030001,29.320000,29.520000,28.236422,2302000
2016-06-20,29.950001,30.410000,29.780001,29.820000,28.523376,2073400
2016-06-21,30.059999,30.059999,29.600000,29.760000,28.465984,1885300
2016-06-22,29.760000,29.990000,29.760000,29.860001,28.561638,1499900
2016-06-23,30.389999,31.120001,30.000000,31.110001,29.757282,2497100
2016-06-24,29.180000,29.219999,28.090000,28.170000,26.945122,7308000
2016-06-27,27.549999,27.650000,26.469999,26.680000,25.519909,7530800
2016-06-28,26.770000,27.360001,26.770000,27.219999,26.036425,4649700
2016-06-29,27.639999,27.850000,27.350000,27.809999,26.600775,3679100
2016-06-30,27.860001,28.480000,27.500000,28.480000,27.241640,4354200
2016-07-01,28.270000,28.500000,27.879999,27.980000,26.763380,3716600
2016-07-05,27.590000,27.600000,26.680000,26.910000,25.739906,5908900
2016-07-06,26.750000,27.129999,26.370001,27.000000,25.825994,5584200
2016-07-07,27.139999,27.750000,27.049999,27.549999,26.352079,4132600
2016-07-08,28.000000,28.230000,27.709999,27.889999,26.677292,3900300
2016-07-11,28.180000,28.350000,27.850000,28.040001,26.820772,2434600
2016-07-12,28.520000,28.980000,28.299999,28.940001,27.681643,4536200
2016-07-13,28.910000,28.969999,28.360001,28.580000,27.337292,2216300
2016-07-14,29.290001,29.500000,28.900000,29.129999,27.863377,2973700
2016-07-15,29.400000,29.559999,28.940001,29.320000,28.045118,2193900
2016-07-18,29.450001,29.520000,28.870001,29.250000,27.978159,4524300
2016-07-19,29.030001,30.020000,28.950001,29.930000,28.628590,5684100
2016-07-20,29.950001,30.020000,29.500000,30.010000,28.705114,3065400
2016-07-21,30.010000,30.200001,29.860001,30.170000,28.858158,3856400
2016-07-22,30.299999,30.549999,30.250000,30.480000,29.154676,2734500
2016-07-25,30.400000,30.600000,30.170000,30.360001,29.039900,1678500
2016-07-26,30.250000,30.530001,30.240000,30.520000,29.192940,2033900
2016-07-27,30.410000,30.790001,30.379999,30.549999,29.221634,2512400
