Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,4.800000,4.850000,4.620000,4.650000,4.650000,5480300
2016-04-29,4.640000,4.800000,4.590000,4.710000,4.710000,4146500
2016-05-02,4.730000,4.800000,4.640000,4.730000,4.730000,4427600
2016-05-03,4.640000,4.700000,4.300000,4.320000,4.320000,4663800
2016-05-04,4.240000,4.380000,4.220000,4.300000,4.300000,3365000
2016-05-05,4.150000,4.610000,3.950000,4.190000,4.190000,8711900
2016-05-06,4.180000,4.240000,4.090000,4.170000,4.170000,5541800
2016-05-09,4.120000,4.150000,3.950000,4.090000,4.090000,6397200
2016-05-10,4.090000,4.350000,4.050000,4.320000,4.320000,6206600
2016-05-11,4.320000,4.390000,4.080000,4.230000,4.230000,6360500
2016-05-12,4.270000,4.330000,4.090000,4.210000,4.210000,4238700
2016-05-13,4.200000,4.270000,4.000000,4.010000,4.010000,2937200
2016-05-16,4.010000,4.120000,4.000000,4.030000,4.030000,3020700
2016-05-17,4.010000,4.210000,3.980000,4.030000,4.030000,3416000
2016-05-18,4.000000,4.100000,3.890000,3.890000,3.890000,3411300
2016-05-19,3.830000,3.900000,3.720000,3.780000,3.780000,5426400
2016-05-20,3.810000,3.880000,3.770000,3.810000,3.810000,3916500
2016-05-23,3.790000,3.860000,3.730000,3.760000,3.760000,3772200
2016-05-24,3.800000,3.900000,3.700000,3.730000,3.730000,3899500
2016-05-25,3.780000,3.990000,3.770000,3.920000,3.920000,4085800
2016-05-26,3.970000,3.970000,3.800000,3.840000,3.840000,2346100
2016-05-27,3.860000,3.930000,3.840000,3.860000,3.860000,1725300
2016-05-31,3.890000,4.000000,3.820000,3.900000,3.900000,3913700
2016-06-01,3.880000,3.980000,3.820000,3.960000,3.960000,4099500
2016-06-02,3.910000,4.020000,3.910000,4.010000,4.010000,2358300
2016-06-03,4.150000,4.290000,4.110000,4.200000,4.200000,6022000
2016-06-06,4.270000,4.390000,4.270000,4.350000,4.350000,4252600
2016-06-07,4.380000,4.430000,4.330000,4.370000,4.370000,4468700
2016-06-08,4.410000,4.410000,4.290000,4.330000,4.330000,3487700
2016-06-09,4.290000,4.310000,4.040000,4.200000,4.200000,6183800
2016-06-10,4.140000,4.200000,4.110000,4.150000,4.150000,2288800
2016-06-13,4.120000,4.160000,3.980000,4.020000,4.020000,2501100
2016-06-14,3.980000,4.060000,3.880000,3.950000,3.950000,2836500
2016-06-15,3.990000,4.110000,3.960000,3.960000,3.960000,3140500
2016-06-16,3.880000,4.020000,3.820000,3.940000,3.940000,3113500
2016-06-17,3.950000,4.060000,3.940000,4.020000,4.020000,5567300
2016-06-20,4.090000,4.310000,4.090000,4.120000,4.120000,6472100
2016-06-21,4.120000,4.200000,4.100000,4.170000,4.170000,3487500
2016-06-22,4.200000,4.290000,4.140000,4.160000,4.160000,3243600
2016-06-23,4.240000,4.320000,4.210000,4.240000,4.240000,3567900
2016-06-24,4.000000,4.000000,3.750000,3.850000,3.850000,42116000
2016-06-27,3.750000,3.770000,3.520000,3.530000,3.530000,7380800
2016-06-28,3.620000,3.730000,3.570000,3.630000,3.630000,5015500
2016-06-29,3.740000,3.850000,3.660000,3.810000,3.810000,6506900
2016-06-30,3.860000,3.870000,3.730000,3.780000,3.780000,6156400
2016-07-01,3.830000,3.990000,3.780000,3.960000,3.960000,3706700
2016-07-05,3.950000,3.950000,3.650000,3.750000,3.750000,3682300
2016-07-06,3.700000,3.790000,3.650000,3.730000,3.730000,3595700
2016-07-07,3.760000,3.880000,3.740000,3.740000,3.740000,3496400
2016-07-08,3.830000,3.990000,3.820000,3.930000,3.930000,6496600
2016-07-11,3.940000,4.030000,3.860000,3.980000,3.980000,6394800
2016-07-12,4.000000,4.170000,3.920000,4.110000,4.110000,7177500
2016-07-13,4.140000,4.170000,4.010000,4.040000,4.040000,7570600
2016-07-14,4.040000,4.150000,3.960000,4.080000,4.080000,3767400
2016-07-15,4.110000,4.130000,4.030000,4.080000,4.080000,3154800
2016-07-18,4.100000,4.110000,4.030000,4.090000,4.090000,2952200
2016-07-19,4.020000,4.060000,3.910000,3.940000,3.940000,5450500
2016-07-20,3.940000,4.010000,3.850000,3.970000,3.970000,3618000
2016-07-21,3.920000,3.980000,3.770000,3.800000,3.800000,4124200
2016-07-22,3.780000,3.830000,3.720000,3.810000,3.810000,2881100
2016-07-25,3.810000,3.910000,3.750000,3.820000,3.820000,3465000
2016-07-26,3.820000,3.910000,3.800000,3.890000,3.890000,3367500
2016-07-27,3.910000,3.950000,3.850000,3.900000,3.900000,2684900
2016-07-28,3.890000,3.910000,3.800000,3.880000,3.880000,1678600
2016-07-29,3.850000,4.100000,3.810000,4.070000,4.070000,5101600
2016-08-01,4.040000,4.210000,3.960000,4.160000,4.160000,6537700
2016-08-02,4.500000,5.040000,4.440000,4.760000,4.760000,21419000
2016-08-03,4.730000,5.240000,4.640000,5.080000,5.080000,15195000
2016-08-04,5.110000,5.200000,5.020000,5.060000,5.060000,7257800
2016-08-05,5.120000,5.250000,5.060000,5.100000,5.100000,9625300
2016-08-08,5.100000,5.180000,5.070000,5.150000,5.150000,4803700
2016-08-09,5.170000,5.290000,5.140000,5.160000,5.160000,8247500
2016-08-10,5.170000,5.200000,5.040000,5.170000,5.170000,4268100
2016-08-11,5.220000,5.350000,5.170000,5.220000,5.220000,6631100
2016-08-12,5.250000,5.490000,5.210000,5.430000,5.430000,9588900
2016-08-15,5.500000,5.710000,5.430000,5.540000,5.540000,6910500
2016-08-16,5.500000,5.570000,5.390000,5.540000,5.540000,4180600
2016-08-17,5.530000,5.540000,5.310000,5.370000,5.370000,4097400
2016-08-18,5.400000,5.540000,5.380000,5.540000,5.540000,4514800
2016-08-19,5.460000,5.670000,5.460000,5.600000,5.600000,4147400
2016-08-22,5.550000,5.640000,5.420000,5.570000,5.570000,4892400
2016-08-23,5.640000,5.690000,5.560000,5.610000,5.610000,3898800
2016-08-24,5.570000,5.650000,5.490000,5.600000,5.600000,4107000
2016-08-25,5.590000,5.710000,5.580000,5.700000,5.700000,5434900
2016-08-26,5.680000,5.840000,5.630000,5.730000,5.730000,4897700
2016-08-29,5.780000,5.840000,5.720000,5.760000,5.760000,4457200
2016-08-30,5.750000,5.790000,5.660000,5.720000,5.720000,3019400
2016-08-31,5.730000,5.770000,5.640000,5.700000,5.700000,4124400
2016-09-01,5.730000,5.740000,5.500000,5.560000,5.560000,4410400
2016-09-02,5.590000,5.850000,5.560000,5.830000,5.830000,7205900
2016-09-06,5.810000,5.920000,5.800000,5.920000,5.920000,5900400
2016-09-07,5.900000,5.970000,5.850000,5.910000,5.910000,6531600
2016-09-08,5.920000,5.930000,5.770000,5.850000,5.850000,3749300
2016-09-09,5.690000,5.830000,5.430000,5.440000,5.440000,5894200
2016-09-12,5.400000,5.660000,5.350000,5.660000,5.660000,3022200
2016-09-13,5.500000,5.560000,5.190000,5.280000,5.280000,7650500
2016-09-14,5.270000,5.290000,5.200000,5.230000,5.230000,4425800
2016-09-15,5.250000,5.300000,5.210000,5.270000,5.270000,3672100
2016-09-16,5.290000,5.300000,5.170000,5.270000,5.270000,5283100
2016-09-19,5.300000,5.560000,5.240000,5.540000,5.540000,5033100
2016-09-20,5.560000,5.590000,5.420000,5.450000,5.450000,5852500
2016-09-21,5.500000,5.650000,5.450000,5.640000,5.640000,3675100
2016-09-22,5.690000,5.790000,5.650000,5.740000,5.740000,3640700
2016-09-23,5.640000,5.880000,5.630000,5.840000,5.840000,3446400
2016-09-26,5.780000,5.800000,5.580000,5.610000,5.610000,2644300
