Date,Open,High,Low,Close,Adj Close,Volume
2018-04-20,15.310000,15.750000,15.300000,15.420000,15.420000,6816963
2018-04-23,15.400000,15.500000,15.350000,15.450000,15.450000,1608100
2018-04-24,15.430000,15.830000,15.400000,15.730000,15.730000,1057500
2018-04-25,15.500000,15.700000,15.500000,15.560000,15.560000,566400
2018-04-26,15.680000,15.730000,15.500000,15.720000,15.720000,789200
2018-04-27,15.750000,15.750000,15.600000,15.680000,15.680000,515100
2018-04-30,15.680000,15.685000,15.500000,15.500000,15.500000,560700
2018-05-01,15.500000,15.550000,15.500000,15.530000,15.530000,391400
2018-05-02,15.550000,15.610000,15.500000,15.550000,15.550000,568400
2018-05-03,15.550000,15.570000,15.429000,15.550000,15.550000,684200
2018-05-04,15.460000,15.530000,15.354000,15.500000,15.500000,541300
2018-05-07,15.500000,15.720000,15.500000,15.580000,15.580000,646900
2018-05-08,15.500000,15.650000,15.480000,15.620000,15.620000,375500
2018-05-09,15.630000,15.680000,15.550000,15.650000,15.650000,227900
2018-05-10,15.660000,15.690000,15.570000,15.690000,15.690000,377000
2018-05-11,15.630000,16.000000,15.590000,15.980000,15.980000,648400
2018-05-14,16.000000,16.190001,16.000000,16.190001,16.190001,271800
2018-05-15,16.190001,16.650000,16.059999,16.629999,16.629999,431600
2018-05-16,16.700001,17.000000,16.700001,16.940001,16.940001,524100
2018-05-17,16.950001,17.250000,16.910000,17.120001,17.120001,491100
2018-05-18,17.000000,17.250000,16.950001,17.240000,17.240000,435700
2018-05-21,17.240000,17.500000,17.170000,17.500000,17.500000,261500
2018-05-22,17.500000,17.730000,17.420000,17.600000,17.600000,296300
2018-05-23,17.540001,17.660000,17.430000,17.540001,17.540001,215400
2018-05-24,17.549999,17.600000,17.040001,17.110001,17.110001,446200
2018-05-25,17.110001,17.139999,16.000000,16.780001,16.780001,731600
2018-05-29,16.780001,16.780001,16.299999,16.590000,16.590000,379400
2018-05-30,16.629999,16.940001,16.480000,16.879999,16.879999,288500
2018-05-31,16.950001,17.150000,16.670000,16.980000,16.980000,420600
2018-06-01,17.030001,17.100000,16.920000,17.070000,17.070000,256100
2018-06-04,17.030001,17.370001,17.030001,17.240000,17.240000,574100
2018-06-05,17.230000,17.330000,17.040001,17.070000,17.070000,324400
2018-06-06,17.100000,17.299999,17.063000,17.219999,17.219999,307400
2018-06-07,17.250000,17.330000,17.090000,17.150000,17.150000,336500
2018-06-08,17.150000,17.320000,17.139999,17.260000,17.260000,320300
2018-06-11,17.250000,17.450001,17.230000,17.370001,17.370001,618500
2018-06-12,17.360001,17.430000,17.121000,17.309999,17.309999,459500
2018-06-13,17.340000,17.450001,17.190001,17.430000,17.430000,1304000
2018-06-14,17.370001,17.450001,17.290001,17.420000,17.420000,1143000
2018-06-15,17.400000,17.450001,17.320000,17.340000,17.340000,3182000
2018-06-18,17.309999,17.450001,17.250000,17.440001,17.440001,1118900
2018-06-19,17.420000,17.420000,17.190001,17.350000,17.350000,978600
2018-06-20,17.370001,17.400000,17.250000,17.309999,17.309999,324100
2018-06-21,17.290001,17.360001,17.059999,17.280001,17.280001,559500
2018-06-22,17.350000,17.351000,16.990000,17.209999,17.209999,6497200
2018-06-25,17.100000,17.301001,17.080000,17.290001,17.290001,512200
2018-06-26,17.250000,17.250000,17.000000,17.170000,17.170000,471100
2018-06-27,17.170000,17.190001,16.809999,16.850000,16.850000,420100
2018-06-28,16.870001,16.870001,16.139999,16.260000,16.260000,679300
2018-06-29,16.320000,16.850000,16.320000,16.549999,16.549999,642900
2018-07-02,16.450001,16.480000,16.270000,16.400000,16.400000,216900
2018-07-03,16.420000,16.420000,16.099001,16.120001,16.120001,209000
2018-07-05,16.190001,16.340000,16.080000,16.230000,16.230000,360800
2018-07-06,16.230000,16.290001,16.090000,16.150000,16.150000,165300
2018-07-09,16.160000,16.350000,16.160000,16.299999,16.299999,270000
2018-07-10,16.320000,16.320000,16.100000,16.219999,16.219999,145800
2018-07-11,16.139999,16.250000,16.010000,16.100000,16.100000,224900
2018-07-12,16.190001,16.250000,16.040001,16.209999,16.209999,206800
2018-07-13,16.139999,16.250000,16.110001,16.180000,16.180000,101300
2018-07-16,16.170000,16.400000,16.170000,16.400000,16.400000,144200
2018-07-17,16.420000,16.440001,16.180000,16.299999,16.299999,130300
2018-07-18,16.290001,16.410000,16.250000,16.340000,16.340000,130700
2018-07-19,16.270000,16.500000,16.150000,16.500000,16.500000,178900
2018-07-20,16.440001,16.540001,16.309999,16.540001,16.540001,110800
2018-07-23,16.500000,16.700001,16.410000,16.650000,16.650000,152600
2018-07-24,16.690001,16.750000,16.530001,16.620001,16.620001,108500
2018-07-25,16.610001,16.770000,16.590000,16.740000,16.740000,99100
2018-07-26,16.760000,16.879999,16.672001,16.820000,16.820000,107500
2018-07-27,16.820000,16.900000,16.629999,16.680000,16.680000,97100
2018-07-30,16.650000,16.830000,16.549999,16.549999,16.549999,80600
2018-07-31,16.650000,16.820000,16.520000,16.790001,16.790001,137300
2018-08-01,16.750000,16.900000,16.740999,16.879999,16.879999,109000
2018-08-02,16.840000,17.000000,16.760000,16.900000,16.900000,114700
2018-08-03,16.940001,16.948999,16.540001,16.639999,16.639999,60400
2018-08-06,16.639999,16.920000,16.639999,16.840000,16.840000,61800
2018-08-07,16.820000,16.930000,16.750000,16.840000,16.840000,80900
2018-08-08,16.889999,16.930000,16.660000,16.889999,16.889999,118100
2018-08-09,16.889999,16.920000,16.750000,16.840000,16.840000,81200
2018-08-10,16.719999,16.910000,16.719999,16.850000,16.850000,93000
2018-08-13,16.870001,16.969999,16.680000,16.879999,16.879999,117300
2018-08-14,16.910000,17.000000,16.879999,16.900000,16.900000,178800
2018-08-15,16.879999,16.990000,16.820000,16.889999,16.889999,204100
2018-08-16,16.950001,16.990000,16.850000,16.879999,16.879999,149500
2018-08-17,16.820000,16.969999,16.820000,16.910000,16.910000,58500
2018-08-20,16.900000,16.940001,16.850000,16.860001,16.860001,59800
2018-08-21,16.830000,17.000000,16.830000,16.850000,16.850000,112900
2018-08-22,16.850000,16.969999,16.799999,16.834999,16.834999,62100
2018-08-23,16.860001,16.940001,16.820000,16.879999,16.879999,77300
2018-08-24,16.920000,16.947001,16.850000,16.879999,16.879999,71300
2018-08-27,16.940001,16.990000,16.719999,16.850000,16.850000,117800
2018-08-28,16.879999,16.940001,16.809999,16.809999,16.809999,40400
2018-08-29,16.820000,16.930000,16.820000,16.870001,16.870001,105300
2018-08-30,16.850000,16.969999,16.770000,16.889999,16.889999,139900
2018-08-31,16.980000,16.980000,16.860001,16.930000,16.930000,96500
2018-09-04,16.940001,16.990000,16.811001,16.940001,16.940001,88000
2018-09-05,16.950001,16.969999,16.840000,16.930000,16.930000,154400
2018-09-06,16.920000,17.000000,16.879999,16.900000,16.900000,113900
2018-09-07,16.900000,16.959999,16.820000,16.930000,16.930000,109900
2018-09-10,16.940001,17.000000,16.875000,16.920000,16.920000,93800
2018-09-11,16.900000,16.959999,16.850000,16.900000,16.900000,95600
2018-09-12,16.870001,16.870001,16.629999,16.840000,16.840000,89100
2018-09-13,16.870001,16.879999,16.709999,16.780001,16.780001,68400
2018-09-14,16.799999,16.990000,16.784000,16.840000,16.840000,129500
2018-09-17,16.790001,16.940001,16.690001,16.709999,16.709999,60400
2018-09-18,16.709999,16.980000,16.670000,16.680000,16.680000,125700
2018-09-19,16.670000,16.920000,16.660000,16.770000,16.770000,65800
2018-09-20,16.879999,16.900000,16.730000,16.870001,16.870001,90700
2018-09-21,16.870001,16.879999,16.660000,16.799999,16.799999,296100
