Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,44.950001,45.970001,44.730000,44.930000,42.772022,2692800
2016-04-29,44.709999,45.270000,43.139999,44.400002,42.267483,5702900
2016-05-02,44.570000,44.650002,43.630001,44.340000,42.210354,2650500
2016-05-03,43.610001,43.740002,42.810001,43.369999,41.286949,2512800
2016-05-04,42.740002,43.310001,41.740002,42.279999,40.249306,3138000
2016-05-05,42.470001,43.009998,42.060001,42.279999,40.249306,1812200
2016-05-06,41.980000,42.439999,41.709999,42.279999,40.249306,926200
2016-05-09,42.470001,42.669998,41.880001,42.189999,40.163620,1442000
2016-05-10,42.509998,43.110001,42.270000,42.900002,40.839523,1634900
2016-05-11,42.590000,43.500000,42.590000,43.029999,40.963276,1889500
2016-05-12,43.400002,43.820000,42.330002,42.689999,40.639603,1881600
2016-05-13,42.139999,43.139999,41.740002,41.970001,39.954193,2122000
2016-05-16,42.009998,42.880001,42.009998,42.540001,40.496819,1448800
2016-05-17,42.369999,43.480000,42.110001,43.150002,41.077522,2058800
2016-05-18,43.189999,44.849998,43.099998,44.630001,42.486431,2979800
2016-05-19,44.740002,45.139999,43.980000,44.369999,42.238918,2631600
2016-05-20,44.610001,45.180000,44.459999,45.180000,43.010014,3214500
2016-05-23,45.110001,45.459999,44.860001,45.150002,42.981457,2276700
2016-05-24,45.500000,46.250000,45.279999,45.919998,43.714466,2904200
2016-05-25,46.270000,47.250000,46.150002,46.799999,44.552200,2448900
2016-05-26,46.900002,47.000000,46.299999,46.619999,44.380856,1710400
2016-05-27,46.650002,47.049999,46.459999,47.000000,44.742603,987600
2016-05-31,47.320000,47.490002,46.660000,47.099998,44.837799,2226500
2016-06-01,46.459999,47.549999,46.029999,47.410000,45.132912,2264700
2016-06-02,47.209999,47.310001,46.549999,47.049999,44.790195,3537100
2016-06-03,46.220001,46.250000,44.820000,45.799999,43.600239,2869300
2016-06-06,46.000000,46.650002,45.880001,46.250000,44.028625,2772800
2016-06-07,46.400002,46.470001,45.959999,46.099998,43.885822,2031000
2016-06-08,46.080002,46.529999,45.840000,46.209999,43.990547,1802100
2016-06-09,45.730000,45.730000,44.840000,45.290001,43.114731,2307800
2016-06-10,44.470001,44.520000,43.980000,44.150002,42.029491,2435800
2016-06-13,43.650002,44.189999,43.389999,43.450001,41.570248,2016700
2016-06-14,43.320000,43.680000,42.270000,42.500000,40.661350,1957500
2016-06-15,42.709999,43.500000,42.439999,42.770000,40.919678,1614700
2016-06-16,42.680000,42.689999,41.139999,41.930000,40.116013,2346200
2016-06-17,42.099998,42.520000,41.840000,42.209999,40.383904,1877900
2016-06-20,43.349998,43.740002,42.360001,42.430000,40.594383,2283200
2016-06-21,42.599998,42.740002,41.849998,42.470001,40.632645,1372300
2016-06-22,42.590000,43.070000,42.389999,42.580002,40.737892,1604400
2016-06-23,43.419998,44.480000,43.389999,44.480000,42.555683,2239800
2016-06-24,40.980000,42.090000,40.009998,40.020000,38.288639,4254300
2016-06-27,39.299999,39.360001,36.820000,36.959999,35.361023,4796900
2016-06-28,37.959999,38.880001,37.500000,38.840000,37.159687,3126000
2016-06-29,38.840000,39.980000,38.660000,39.950001,38.221672,3492200
2016-06-30,40.330002,41.130001,39.889999,41.130001,39.350620,3154700
2016-07-01,40.619999,41.119999,40.430000,40.700001,38.939228,2028000
2016-07-05,40.070000,40.070000,38.820000,39.150002,37.456284,1743700
2016-07-06,38.680000,39.849998,38.389999,39.810001,38.087727,1741400
2016-07-07,39.900002,40.919998,39.900002,40.500000,38.747875,1855100
2016-07-08,41.400002,41.980000,41.040001,41.500000,39.704609,1864400
2016-07-11,41.810001,42.330002,41.590000,41.610001,39.809849,2136200
2016-07-12,42.290001,42.990002,42.259998,42.840000,40.986637,2363700
2016-07-13,42.750000,43.000000,42.279999,42.720001,40.871834,1577200
2016-07-14,43.680000,43.860001,43.230000,43.599998,41.713760,1507900
2016-07-15,44.009998,44.009998,43.400002,43.660000,41.771172,1368400
2016-07-18,43.529999,43.849998,43.369999,43.730000,41.838139,1814600
2016-07-19,44.299999,44.849998,43.349998,44.790001,42.852283,3472200
2016-07-20,45.360001,45.599998,44.810001,45.230000,43.273243,2430400
2016-07-21,45.279999,45.750000,44.970001,45.000000,43.053196,1595100
2016-07-22,45.160000,45.660000,44.880001,45.459999,43.493290,1329200
2016-07-25,45.349998,45.570000,45.139999,45.270000,43.311512,1374700
2016-07-26,45.230000,45.840000,45.180000,45.770000,43.789879,1704000
2016-07-27,45.950001,46.369999,45.470001,45.590000,43.617672,1986300
2016-07-28,45.470001,45.810001,45.060001,45.680000,43.703781,995200
2016-07-29,45.599998,45.810001,45.139999,45.240002,43.282814,1414500
2016-08-01,45.380001,45.490002,44.540001,44.630001,42.699207,2002600
2016-08-02,44.560001,44.810001,43.740002,44.000000,42.096458,2648800
2016-08-03,44.049999,44.950001,44.049999,44.730000,42.794872,1997800
2016-08-04,44.669998,44.980000,44.590000,44.830002,42.890549,2071500
2016-08-05,45.570000,46.310001,45.560001,46.230000,44.229977,2429900
2016-08-08,46.389999,46.610001,45.900002,46.020000,44.029068,1406600
2016-08-09,46.099998,46.349998,45.959999,46.080002,44.086472,1643400
2016-08-10,46.009998,46.049999,45.259998,45.330002,43.368919,1038300
2016-08-11,45.450001,45.720001,45.180000,45.520000,43.550701,1449000
2016-08-12,44.959999,45.250000,44.549999,45.189999,43.234974,1293800
2016-08-15,45.450001,46.150002,45.430000,46.099998,44.105602,1564200
2016-08-16,45.919998,46.000000,45.480000,45.490002,43.521996,2219500
2016-08-17,45.330002,45.889999,45.330002,45.669998,43.694210,2152300
2016-08-18,45.730000,45.970001,45.529999,45.950001,43.962097,2819500
