Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,21.344999,21.709999,21.225000,21.410000,21.410000,788400
2016-04-29,21.370001,21.459999,21.240000,21.420000,21.420000,1204600
2016-05-02,21.420000,21.549999,21.340000,21.504999,21.504999,1107800
2016-05-03,21.334999,21.525000,21.125000,21.245001,21.245001,965000
2016-05-04,21.195000,21.395000,21.150000,21.344999,21.344999,1231600
2016-05-05,21.455000,21.665001,21.365000,21.500000,21.500000,1370000
2016-05-06,21.375000,21.610001,21.260000,21.430000,21.430000,734600
2016-05-09,21.400000,21.680000,21.360001,21.600000,21.600000,801000
2016-05-10,21.740000,21.905001,21.565001,21.844999,21.844999,703200
2016-05-11,21.805000,21.910000,21.625000,21.680000,21.680000,920800
2016-05-12,21.795000,21.830000,21.495001,21.625000,21.625000,948600
2016-05-13,21.660000,21.670000,21.250000,21.365000,21.365000,1045400
2016-05-16,21.379999,21.764999,21.295000,21.730000,21.730000,773200
2016-05-17,21.725000,21.830000,21.485001,21.575001,21.575001,1328600
2016-05-18,21.540001,21.825001,21.500000,21.650000,21.650000,1031600
2016-05-19,21.580000,21.665001,21.180000,21.330000,21.330000,1307400
2016-05-20,21.445000,21.725000,21.309999,21.715000,21.715000,1182600
2016-05-23,21.725000,21.975000,21.615000,21.674999,21.674999,1227400
2016-05-24,21.840000,22.045000,21.655001,22.025000,22.025000,1492400
2016-05-25,22.090000,22.184999,21.879999,21.959999,21.959999,2241400
2016-05-26,23.000000,24.270000,23.000000,24.065001,24.065001,4917800
2016-05-27,24.000000,24.570000,23.920000,24.434999,24.434999,2976400
2016-05-31,24.625000,24.950001,24.365000,24.754999,24.754999,1895200
2016-06-01,24.885000,24.950001,24.615000,24.680000,24.680000,3359600
2016-06-02,24.665001,24.760000,24.475000,24.730000,24.730000,1736000
2016-06-03,24.700001,24.870001,24.375000,24.405001,24.405001,1059600
2016-06-06,24.445000,24.615000,24.295000,24.510000,24.510000,959400
2016-06-07,24.510000,24.764999,24.385000,24.670000,24.670000,1217000
2016-06-08,24.620001,24.850000,24.410000,24.850000,24.850000,1706800
