Date,Open,High,Low,Close,Adj Close,Volume
2017-09-20,29.000000,32.639999,27.910000,31.780001,31.780001,10174600
2017-09-21,32.540001,32.590000,30.700001,30.840000,30.840000,1573000
2017-09-22,30.660000,33.400002,30.600000,32.160000,32.160000,1396500
2017-09-25,32.310001,32.740002,31.299999,31.889999,31.889999,1005600
2017-09-26,31.920000,32.090000,31.450001,32.009998,32.009998,366300
2017-09-27,32.110001,32.930000,31.930000,32.000000,32.000000,703900
2017-09-28,31.940001,32.820000,31.809999,32.220001,32.220001,439900
2017-09-29,32.099998,32.349998,31.950001,32.000000,32.000000,797300
2017-10-02,31.969999,31.969999,31.500000,31.549999,31.549999,122800
2017-10-03,31.639999,32.169998,31.400000,32.000000,32.000000,406700
2017-10-04,32.000000,32.400002,31.570000,32.160000,32.160000,247400
2017-10-05,32.099998,32.470001,31.340000,32.080002,32.080002,204100
2017-10-06,32.230000,32.450001,32.070000,32.310001,32.310001,112400
2017-10-09,32.799999,34.119999,32.799999,33.299999,33.299999,695000
2017-10-10,33.549999,33.910000,33.049999,33.869999,33.869999,258000
2017-10-11,33.709999,34.000000,33.110001,33.599998,33.599998,148100
2017-10-12,33.669998,34.700001,32.790001,33.000000,33.000000,337200
2017-10-13,33.000000,34.009998,33.000000,33.939999,33.939999,159900
2017-10-16,33.560001,33.560001,32.849998,33.180000,33.180000,618800
2017-10-17,32.759998,32.880001,30.059999,32.520000,32.520000,510700
2017-10-18,32.520000,32.889999,32.020000,32.279999,32.279999,130800
2017-10-19,31.760000,32.169998,30.540001,30.809999,30.809999,421200
2017-10-20,30.559999,31.540001,29.900000,30.100000,30.100000,326200
2017-10-23,30.000000,30.680000,29.650000,29.780001,29.780001,236900
2017-10-24,29.740000,30.465000,29.639999,30.129999,30.129999,90400
2017-10-25,30.000000,30.150000,29.309999,30.000000,30.000000,149700
2017-10-26,30.030001,30.209999,29.469999,30.059999,30.059999,76000
2017-10-27,29.830000,30.000000,29.170000,29.670000,29.670000,111700
2017-10-30,29.660000,30.000000,29.257999,29.950001,29.950001,44600
2017-10-31,29.799999,30.850000,29.600000,30.799999,30.799999,241800
2017-11-01,30.690001,30.959999,29.844999,30.580000,30.580000,194500
2017-11-02,30.330000,30.480000,29.670000,29.690001,29.690001,140400
2017-11-03,29.760000,30.000000,29.320000,29.850000,29.850000,79300
2017-11-06,29.950001,30.420000,29.610001,29.900000,29.900000,44100
2017-11-07,29.809999,30.000000,28.910000,29.059999,29.059999,137300
2017-11-08,28.820000,29.850000,28.010000,29.340000,29.340000,183900
2017-11-09,29.150000,29.570000,28.990000,29.240000,29.240000,133900
2017-11-10,29.280001,29.400000,28.330000,28.650000,28.650000,133500
2017-11-13,28.420000,28.770000,28.170000,28.299999,28.299999,113300
2017-11-14,28.350000,29.000000,28.010000,28.540001,28.540001,181200
2017-11-15,28.469999,28.607000,28.000000,28.290001,28.290001,139300
2017-11-16,28.629999,29.450001,28.547001,29.160000,29.160000,193200
2017-11-17,29.469999,29.999001,27.250000,28.500000,28.500000,423800
2017-11-20,28.610001,28.750000,27.250000,27.299999,27.299999,207100
2017-11-21,27.469999,28.299999,27.270000,27.799999,27.799999,214500
2017-11-22,27.990000,28.100000,26.590000,26.910000,26.910000,200400
2017-11-24,26.860001,27.760000,26.700001,27.010000,27.010000,279200
2017-11-27,26.930000,27.120001,24.809999,25.809999,25.809999,298800
2017-11-28,25.870001,26.049999,24.900000,25.030001,25.030001,667600
2017-11-29,25.209999,25.353001,23.790001,24.000000,24.000000,484300
2017-11-30,24.250000,24.650000,23.770000,24.000000,24.000000,272200
2017-12-01,23.900000,24.080000,23.200001,23.690001,23.690001,407400
2017-12-04,24.059999,24.170000,22.730000,22.879999,22.879999,490700
2017-12-05,22.770000,23.730000,22.770000,23.010000,23.010000,730700
2017-12-06,23.129999,25.990000,23.000000,25.799999,25.799999,423800
2017-12-07,25.600000,27.235001,25.141001,26.900000,26.900000,492200
2017-12-08,26.889999,27.010000,25.490000,26.620001,26.620001,205700
2017-12-11,26.450001,26.950001,25.850000,26.030001,26.030001,160600
2017-12-12,26.010000,26.690001,25.900000,26.030001,26.030001,168300
2017-12-13,26.420000,26.620001,26.000000,26.240000,26.240000,248400
2017-12-14,26.340000,26.750000,26.090000,26.400000,26.400000,377300
2017-12-15,26.469999,26.879999,26.070000,26.840000,26.840000,322200
2017-12-18,27.000000,27.417999,25.879999,26.100000,26.100000,182500
2017-12-19,26.180000,26.504999,25.527000,26.299999,26.299999,84100
2017-12-20,26.440001,27.350000,26.330000,27.190001,27.190001,209200
2017-12-21,27.270000,28.270000,27.209999,27.950001,27.950001,136000
2017-12-22,27.840000,28.559999,27.650000,28.049999,28.049999,180500
2017-12-26,27.860001,28.240000,27.224001,27.610001,27.610001,124000
2017-12-27,27.450001,28.010000,27.160000,27.510000,27.510000,168700
2017-12-28,27.340000,27.754999,26.799999,27.000000,27.000000,225200
