Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,78.160004,79.739998,76.669998,77.779999,77.779999,323200
2016-04-29,77.820000,77.949997,74.709999,77.099998,77.099998,405500
2016-05-02,77.000000,77.849998,76.559998,77.800003,77.800003,261000
2016-05-03,77.489998,77.849998,75.599998,75.809998,75.809998,226400
2016-05-04,75.089996,76.349998,74.809998,76.160004,76.160004,319300
2016-05-05,76.459999,76.809998,74.870003,75.690002,75.690002,258000
2016-05-06,75.510002,76.250000,74.690002,76.239998,76.239998,183000
2016-05-09,75.959999,77.639999,75.410004,76.339996,76.339996,206400
2016-05-10,76.910004,77.190002,75.519997,76.860001,76.860001,165300
2016-05-11,76.550003,76.709999,75.739998,76.080002,76.080002,194400
2016-05-12,76.099998,76.180000,74.370003,75.260002,75.260002,249400
2016-05-13,75.239998,75.760002,74.220001,74.510002,74.510002,250600
2016-05-16,74.529999,75.290001,74.110001,74.959999,74.959999,342300
2016-05-17,74.570000,75.849998,74.360001,75.379997,75.379997,425900
2016-05-18,75.169998,76.480003,74.500000,76.029999,76.029999,296800
2016-05-19,75.519997,76.949997,74.959999,76.599998,76.599998,293700
2016-05-20,76.910004,77.910004,76.489998,77.849998,77.849998,361300
2016-05-23,78.000000,78.800003,77.750000,78.129997,78.129997,336600
2016-05-24,78.820000,80.470001,78.550003,80.330002,80.330002,326700
2016-05-25,80.510002,80.849998,79.489998,80.139999,80.139999,242500
2016-05-26,80.150002,80.550003,79.010002,79.330002,79.330002,242600
2016-05-27,79.599998,79.870003,79.070000,79.769997,79.769997,210500
2016-05-31,80.209999,80.480003,79.230003,79.809998,79.809998,299400
2016-06-01,79.339996,80.389999,79.029999,80.379997,80.379997,413100
2016-06-02,80.300003,82.120003,80.220001,81.910004,81.910004,621100
2016-06-03,81.510002,81.510002,80.809998,81.330002,81.330002,282700
2016-06-06,81.400002,81.709999,80.629997,81.190002,81.190002,259700
2016-06-07,81.209999,81.690002,80.730003,81.129997,81.129997,311000
2016-06-08,80.889999,81.580002,80.570000,81.180000,81.180000,342800
2016-06-09,80.820000,81.019997,79.860001,80.680000,80.680000,364900
2016-06-10,78.930000,79.010002,77.300003,78.559998,78.559998,491100
2016-06-13,78.209999,78.730003,77.519997,77.730003,77.730003,936600
2016-06-14,77.339996,77.379997,76.040001,76.959999,76.959999,308100
2016-06-15,77.190002,77.440002,76.489998,76.809998,76.809998,328800
2016-06-16,76.349998,77.150002,75.699997,77.080002,77.080002,326500
2016-06-17,76.949997,77.419998,75.510002,76.169998,76.169998,482600
2016-06-20,76.919998,77.360001,76.440002,77.029999,77.029999,469200
2016-06-21,77.129997,77.320000,75.870003,76.830002,76.830002,300500
2016-06-22,77.180000,77.220001,76.080002,76.110001,76.110001,311500
2016-06-23,76.820000,78.339996,75.849998,78.290001,78.290001,583500
2016-06-24,74.650002,74.970001,70.769997,71.760002,71.760002,5532000
2016-06-27,71.000000,71.000000,65.330002,65.580002,65.580002,1173700
2016-06-28,66.389999,68.349998,66.389999,68.309998,68.309998,909000
2016-06-29,68.800003,69.209999,67.339996,68.540001,68.540001,608200
2016-06-30,68.489998,69.260002,68.089996,69.190002,69.190002,597700
2016-07-01,68.959999,71.160004,68.040001,70.290001,70.290001,562900
2016-07-05,69.739998,70.089996,69.000000,69.690002,69.690002,413800
2016-07-06,69.349998,69.489998,68.739998,69.169998,69.169998,449200
2016-07-07,69.599998,70.230003,69.389999,70.230003,70.230003,435600
2016-07-08,71.000000,71.260002,70.440002,71.040001,71.040001,418700
2016-07-11,71.300003,71.769997,71.000000,71.339996,71.339996,421400
2016-07-12,71.940002,72.639999,71.610001,72.129997,72.129997,294500
2016-07-13,72.250000,72.760002,71.760002,72.059998,72.059998,322600
2016-07-14,72.809998,72.809998,71.699997,72.029999,72.029999,276200
2016-07-15,72.180000,72.830002,71.370003,72.070000,72.070000,401200
2016-07-18,72.230003,72.339996,70.559998,71.400002,71.400002,285600
2016-07-19,71.050003,72.389999,71.050003,71.879997,71.879997,269800
2016-07-20,72.470001,72.879997,71.820000,72.779999,72.779999,692300
2016-07-21,72.720001,72.750000,70.989998,71.199997,71.199997,319600
2016-07-22,71.099998,72.559998,70.599998,72.519997,72.519997,329600
2016-07-25,72.230003,73.199997,71.959999,72.419998,72.419998,574100
2016-07-26,77.900002,78.169998,75.099998,77.910004,77.910004,1582200
2016-07-27,78.000000,78.010002,76.510002,76.790001,76.790001,619900
2016-07-28,76.949997,76.949997,75.790001,75.820000,75.820000,345000
2016-07-29,75.739998,76.980003,74.989998,76.260002,76.260002,534300
2016-08-01,76.470001,77.360001,75.919998,76.669998,76.669998,376400
2016-08-02,76.650002,76.779999,75.230003,75.430000,75.430000,551500
2016-08-03,75.300003,75.820000,74.900002,75.519997,75.519997,570400
2016-08-04,75.500000,77.099998,74.620003,76.989998,76.989998,656600
2016-08-05,77.000000,77.260002,75.680000,77.250000,77.250000,872400
2016-08-08,77.160004,78.040001,76.529999,77.830002,77.830002,447800
2016-08-09,78.139999,78.489998,77.099998,77.309998,77.309998,298300
2016-08-10,77.419998,77.650002,77.019997,77.300003,77.300003,285200
2016-08-11,77.629997,78.089996,77.269997,77.970001,77.970001,252500
2016-08-12,77.760002,78.919998,77.760002,78.529999,78.529999,294300
2016-08-15,78.690002,79.110001,78.449997,78.480003,78.480003,223100
2016-08-16,78.059998,78.300003,77.379997,77.709999,77.709999,181100
2016-08-17,77.680000,78.410004,77.239998,77.680000,77.680000,201400
2016-08-18,77.489998,77.900002,77.370003,77.739998,77.739998,183400
2016-08-19,77.360001,78.040001,77.250000,77.860001,77.860001,158000
2016-08-22,77.790001,77.940002,77.080002,77.849998,77.849998,163000
2016-08-23,78.250000,78.739998,77.849998,77.949997,77.949997,240100
2016-08-24,77.769997,78.199997,77.019997,77.139999,77.139999,217200
2016-08-25,77.059998,77.709999,76.779999,77.379997,77.379997,135100
2016-08-26,77.470001,78.080002,76.989998,77.500000,77.500000,153400
2016-08-29,77.839996,77.989998,77.379997,77.849998,77.849998,146400
2016-08-30,77.870003,78.510002,77.449997,78.379997,78.379997,201500
2016-08-31,78.160004,78.419998,77.559998,77.610001,77.610001,212900
2016-09-01,77.500000,78.269997,77.330002,77.910004,77.910004,186400
2016-09-02,78.139999,78.870003,77.970001,78.809998,78.809998,163400
2016-09-06,78.739998,78.959999,78.400002,78.790001,78.790001,157200
2016-09-07,78.589996,79.250000,78.410004,79.250000,79.250000,173300
2016-09-08,78.930000,79.430000,78.589996,79.370003,79.370003,233300
2016-09-09,78.779999,79.500000,78.080002,78.160004,78.160004,368800
2016-09-12,77.709999,79.099998,77.150002,78.949997,78.949997,338300
2016-09-13,78.209999,78.620003,77.430000,77.540001,77.540001,276800
2016-09-14,77.760002,77.849998,77.029999,77.400002,77.400002,246800
2016-09-15,77.389999,79.070000,77.040001,78.959999,78.959999,211300
2016-09-16,78.760002,78.900002,78.089996,78.209999,78.209999,323000
2016-09-19,78.410004,79.000000,78.089996,78.519997,78.519997,188500
2016-09-20,78.769997,80.080002,78.459999,79.750000,79.750000,460200
2016-09-21,79.830002,81.230003,79.769997,81.150002,81.150002,259300
2016-09-22,81.599998,82.180000,81.059998,81.930000,81.930000,254500
2016-09-23,81.570000,81.980003,80.849998,80.970001,80.970001,185500
2016-09-26,80.639999,81.360001,79.510002,80.849998,80.849998,150700
2016-09-27,80.589996,81.550003,80.269997,81.250000,81.250000,185600
2016-09-28,81.250000,82.099998,81.000000,81.919998,81.919998,202200
2016-09-29,81.839996,82.199997,81.110001,81.250000,81.250000,244000
2016-09-30,81.349998,82.120003,80.860001,81.830002,81.830002,318400
2016-10-03,81.529999,82.870003,81.510002,82.730003,82.730003,257800
2016-10-04,83.110001,83.480003,81.900002,82.330002,82.330002,344300
2016-10-05,82.809998,84.430000,82.669998,83.620003,83.620003,568300
2016-10-06,83.309998,83.940002,82.000000,83.470001,83.470001,210100
2016-10-07,83.239998,83.889999,82.250000,82.750000,82.750000,462300
2016-10-10,82.919998,83.930000,82.699997,82.739998,82.739998,244600
2016-10-11,82.500000,83.730003,82.160004,83.660004,83.660004,410600
2016-10-12,83.879997,84.360001,82.110001,83.830002,83.830002,508100
2016-10-13,83.029999,83.339996,82.260002,83.089996,83.089996,372300
2016-10-14,83.190002,84.809998,83.089996,83.129997,83.129997,406800
2016-10-17,83.019997,84.120003,82.949997,83.529999,83.529999,272800
2016-10-18,84.139999,84.160004,82.769997,82.839996,82.839996,252900
2016-10-19,83.120003,84.750000,82.599998,84.510002,84.510002,529200
2016-10-20,84.430000,84.430000,81.720001,82.360001,82.360001,529600
2016-10-21,79.839996,80.970001,76.739998,80.889999,80.889999,1344700
2016-10-24,82.260002,83.489998,81.470001,81.500000,81.500000,402600
2016-10-25,81.809998,81.809998,80.900002,81.470001,81.470001,378300
2016-10-26,81.339996,82.199997,80.300003,80.750000,80.750000,424700
2016-10-27,81.059998,81.129997,79.820000,80.000000,80.000000,681400
2016-10-28,80.070000,80.900002,79.339996,79.980003,79.980003,313400
2016-10-31,79.959999,80.050003,79.339996,79.550003,79.550003,227400
2016-11-01,79.500000,79.800003,79.019997,79.110001,79.110001,420400
2016-11-02,79.260002,79.730003,78.110001,78.260002,78.260002,341900
2016-11-03,78.419998,79.110001,78.080002,78.180000,78.180000,209800
2016-11-04,78.000000,78.949997,77.470001,78.129997,78.129997,278200
2016-11-07,78.889999,79.970001,78.889999,79.519997,79.519997,258500
2016-11-08,79.500000,79.500000,78.580002,78.760002,78.760002,269900
2016-11-09,78.529999,78.550003,76.510002,77.389999,77.389999,620800
2016-11-10,78.120003,78.559998,74.389999,74.620003,74.620003,1138200
2016-11-11,74.510002,75.510002,74.209999,75.180000,75.180000,281800
2016-11-14,75.279999,75.940002,73.480003,73.680000,73.680000,400600
2016-11-15,73.769997,75.849998,73.230003,75.339996,75.339996,460700
2016-11-16,75.330002,76.209999,74.690002,76.150002,76.150002,387200
2016-11-17,76.330002,76.559998,75.699997,76.050003,76.050003,454000
2016-11-18,75.930000,76.940002,75.309998,76.489998,76.489998,471500
2016-11-21,76.779999,77.330002,76.269997,76.889999,76.889999,386700
2016-11-22,77.260002,77.470001,76.480003,77.230003,77.230003,253800
2016-11-23,77.070000,77.550003,76.989998,77.440002,77.440002,203800
2016-11-25,77.730003,77.730003,77.180000,77.300003,77.300003,68000
2016-11-28,77.410004,77.680000,75.320000,75.570000,75.570000,376200
2016-11-29,75.709999,76.010002,74.620003,74.690002,74.690002,355200
2016-11-30,72.459999,73.370003,70.639999,71.720001,71.720001,1101100
2016-12-01,71.169998,71.879997,71.099998,71.790001,71.790001,577100
2016-12-02,71.269997,71.599998,70.570000,70.589996,70.589996,305900
2016-12-05,70.879997,72.349998,70.599998,71.830002,71.830002,336300
2016-12-06,72.000000,72.639999,70.629997,72.120003,72.120003,296900
2016-12-07,72.389999,74.099998,72.080002,73.839996,73.839996,296700
2016-12-08,74.019997,75.300003,73.669998,75.000000,75.000000,299200
2016-12-09,75.489998,75.489998,74.169998,74.349998,74.349998,187100
2016-12-12,73.050003,74.360001,73.050003,73.879997,73.879997,299600
2016-12-13,73.949997,74.940002,73.639999,73.720001,73.720001,260900
2016-12-14,73.470001,74.410004,72.970001,73.139999,73.139999,210600
2016-12-15,72.900002,74.949997,72.449997,73.580002,73.580002,290800
2016-12-16,73.489998,74.059998,72.930000,72.980003,72.980003,297700
2016-12-19,73.220001,74.260002,72.989998,73.930000,73.930000,196200
2016-12-20,73.930000,74.239998,73.480003,74.000000,74.000000,243400
2016-12-21,74.190002,74.190002,73.349998,73.370003,73.370003,226300
2016-12-22,73.669998,73.669998,72.769997,73.139999,73.139999,293400
2016-12-23,72.879997,74.059998,72.540001,73.300003,73.300003,179600
2016-12-27,73.050003,73.529999,72.419998,72.500000,72.500000,385700
2016-12-28,72.800003,72.930000,71.870003,72.330002,72.330002,250700
2016-12-29,72.570000,72.989998,71.919998,72.370003,72.370003,324900
2016-12-30,72.250000,73.480003,71.830002,72.430000,72.430000,196300
2017-01-03,72.540001,73.750000,72.540001,73.059998,73.059998,408200
2017-01-04,73.400002,74.480003,73.400002,73.790001,73.790001,345100
2017-01-05,73.760002,74.199997,73.139999,73.930000,73.930000,360700
2017-01-06,73.930000,74.080002,73.610001,73.820000,73.820000,316800
2017-01-09,73.809998,74.309998,73.809998,73.919998,73.919998,407200
