Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,7.180000,7.230000,7.030000,7.100000,7.100000,211400
2016-04-29,7.050000,7.090000,6.920000,7.050000,7.050000,193200
2016-05-02,7.050000,7.080000,6.860000,7.020000,7.020000,212200
2016-05-03,7.000000,7.010000,6.890000,7.010000,7.010000,78800
2016-05-04,6.950000,7.050000,6.920000,7.010000,7.010000,112300
2016-05-05,7.000000,7.070000,6.980000,7.050000,7.050000,106300
2016-05-06,7.010000,7.050000,6.980000,7.020000,7.020000,147300
2016-05-09,7.030000,7.180000,6.950000,7.120000,7.120000,105300
2016-05-10,7.110000,7.110000,6.920000,6.930000,6.930000,149700
2016-05-11,7.090000,7.320000,6.920000,7.190000,7.190000,385800
2016-05-12,7.200000,7.210000,7.020000,7.110000,7.110000,253200
2016-05-13,7.090000,7.120000,6.980000,7.010000,7.010000,143200
2016-05-16,6.960000,6.990000,6.770000,6.770000,6.770000,187600
2016-05-17,6.720000,6.800000,6.510000,6.570000,6.570000,136900
2016-05-18,6.550000,6.640000,6.500000,6.540000,6.540000,94400
2016-05-19,6.530000,6.580000,6.440000,6.570000,6.570000,126700
2016-05-20,6.550000,6.990000,6.550000,6.960000,6.960000,134300
2016-05-23,6.960000,7.050000,6.840000,6.860000,6.860000,130500
2016-05-24,6.920000,7.050000,6.920000,7.020000,7.020000,362400
2016-05-25,7.040000,7.090000,6.920000,6.990000,6.990000,158400
2016-05-26,7.020000,7.040000,6.940000,7.020000,7.020000,131400
2016-05-27,7.050000,7.100000,6.980000,6.990000,6.990000,171100
2016-05-31,6.980000,7.020000,6.910000,6.970000,6.970000,112000
2016-06-01,6.920000,7.060000,6.480000,7.020000,7.020000,159600
2016-06-02,6.980000,7.050000,6.960000,7.040000,7.040000,187900
2016-06-03,7.030000,7.080000,6.940000,6.940000,6.940000,80800
2016-06-06,6.940000,7.000000,6.850000,6.920000,6.920000,92200
2016-06-07,6.940000,6.980000,6.860000,6.930000,6.930000,86200
2016-06-08,6.920000,7.000000,6.910000,6.970000,6.970000,71200
2016-06-09,6.940000,6.950000,6.840000,6.870000,6.870000,44500
2016-06-10,6.940000,6.940000,6.620000,6.630000,6.630000,77800
2016-06-13,6.620000,6.720000,6.180000,6.230000,6.230000,210100
2016-06-14,6.250000,6.470000,6.120000,6.460000,6.460000,227400
2016-06-15,6.420000,6.500000,6.280000,6.300000,6.300000,57600
2016-06-16,6.280000,6.390000,6.100000,6.120000,6.120000,58900
2016-06-17,6.180000,6.180000,5.990000,5.990000,5.990000,235900
2016-06-20,6.090000,6.350000,6.050000,6.260000,6.260000,170800
2016-06-21,6.260000,6.260000,6.020000,6.060000,6.060000,130700
2016-06-22,6.090000,6.210000,5.900000,6.050000,6.050000,159200
2016-06-23,6.070000,6.290000,6.070000,6.160000,6.160000,246200
2016-06-24,5.970000,6.220000,5.900000,5.930000,5.930000,2711000
2016-06-27,5.900000,5.930000,5.720000,5.750000,5.750000,208500
2016-06-28,5.750000,6.060000,5.740000,5.970000,5.970000,135900
2016-06-29,6.040000,6.290000,5.910000,5.960000,5.960000,132800
2016-06-30,6.000000,6.040000,5.730000,5.840000,5.840000,354400
2016-07-01,5.910000,6.090000,5.860000,6.040000,6.040000,166200
2016-07-05,5.950000,6.190000,5.810000,5.950000,5.950000,182700
2016-07-06,5.940000,6.050000,5.870000,5.980000,5.980000,284400
2016-07-07,5.980000,6.150000,5.800000,5.820000,5.820000,215200
2016-07-08,5.860000,6.140000,5.860000,6.030000,6.030000,185600
