Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,1.940000,2.020000,1.860000,1.960000,1.960000,165200
2016-04-29,1.950000,2.000000,1.820000,1.900000,1.900000,140600
2016-05-02,1.920000,1.920000,1.810000,1.860000,1.860000,166700
2016-05-03,1.810000,1.860000,1.760000,1.810000,1.810000,252300
2016-05-04,1.810000,1.870000,1.680000,1.740000,1.740000,209600
2016-05-05,1.740000,1.770000,1.630000,1.690000,1.690000,103400
2016-05-06,1.670000,1.760000,1.630000,1.710000,1.710000,102200
2016-05-09,1.740000,1.750000,1.660000,1.730000,1.730000,68500
2016-05-10,1.600000,1.730000,1.600000,1.720000,1.720000,46400
2016-05-11,1.720000,1.750000,1.650000,1.690000,1.690000,38800
2016-05-12,1.700000,1.730000,1.570000,1.590000,1.590000,211100
2016-05-13,1.580000,1.620000,1.550000,1.590000,1.590000,105700
2016-05-16,1.590000,1.590000,1.520000,1.540000,1.540000,109000
2016-05-17,1.540000,1.550000,1.500000,1.520000,1.520000,103900
2016-05-18,1.520000,1.610000,1.500000,1.520000,1.520000,138300
2016-05-19,1.520000,1.640000,1.490000,1.490000,1.490000,96300
2016-05-20,1.530000,1.570000,1.480000,1.510000,1.510000,130800
2016-05-23,1.510000,1.670000,1.510000,1.570000,1.570000,169000
2016-05-24,1.600000,1.640000,1.580000,1.610000,1.610000,74700
2016-05-25,1.620000,1.670000,1.570000,1.590000,1.590000,115400
2016-05-26,1.590000,1.690000,1.560000,1.570000,1.570000,96300
2016-05-27,1.570000,1.630000,1.520000,1.560000,1.560000,116700
2016-05-31,1.590000,1.590000,1.510000,1.530000,1.530000,131000
2016-06-01,1.540000,1.560000,1.470000,1.520000,1.520000,309000
2016-06-02,1.520000,1.650000,1.520000,1.570000,1.570000,255800
2016-06-03,1.570000,1.640000,1.540000,1.620000,1.620000,260300
2016-06-06,1.640000,1.680000,1.550000,1.650000,1.650000,252100
2016-06-07,1.650000,1.870000,1.610000,1.860000,1.860000,248600
2016-06-08,1.860000,1.860000,1.780000,1.810000,1.810000,94500
2016-06-09,1.790000,1.810000,1.690000,1.700000,1.700000,102600
2016-06-10,1.660000,1.730000,1.590000,1.650000,1.650000,80700
