Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,23.860001,24.190001,23.580000,23.709999,23.709999,143700
2016-04-29,23.660000,23.860001,23.400000,23.670000,23.670000,167000
2016-05-02,23.910000,24.129999,23.459999,24.070000,24.070000,200800
2016-05-03,23.730000,23.920000,23.309999,23.520000,23.520000,174100
2016-05-04,23.440001,23.709999,23.129999,23.340000,23.340000,111400
2016-05-05,23.490000,23.590000,23.160000,23.180000,23.180000,101800
2016-05-06,23.020000,23.320000,22.780001,23.080000,23.080000,105700
2016-05-09,23.000000,23.170000,22.840000,22.969999,22.969999,178700
2016-05-10,23.150000,23.650000,23.080000,23.500000,23.500000,191900
2016-05-11,23.360001,23.670000,23.180000,23.219999,23.219999,107000
2016-05-12,23.379999,23.490000,22.860001,23.129999,23.129999,105700
2016-05-13,23.040001,23.450001,22.799999,22.889999,22.889999,127800
2016-05-16,22.840000,23.490000,22.790001,23.469999,23.469999,220600
2016-05-17,23.370001,23.520000,22.660000,23.000000,23.000000,270100
2016-05-18,22.980000,23.610001,22.980000,23.570000,23.570000,206600
2016-05-19,23.389999,23.660000,22.940001,23.240000,23.240000,108500
2016-05-20,23.370001,23.420000,23.020000,23.250000,23.250000,102400
2016-05-23,23.219999,23.510000,23.110001,23.330000,23.330000,123500
2016-05-24,23.430000,23.980000,23.160000,23.870001,23.870001,147000
2016-05-25,23.959999,24.120001,23.860001,23.969999,23.969999,87700
2016-05-26,24.010000,24.010000,23.660000,23.950001,23.950001,102000
2016-05-27,23.950001,24.150000,23.740000,24.129999,24.129999,97300
2016-05-31,24.160000,24.309999,24.049999,24.240000,24.240000,142600
2016-06-01,24.100000,24.990000,23.930000,24.469999,24.469999,325700
2016-06-02,24.400000,24.469999,23.980000,24.389999,24.389999,160000
2016-06-03,24.150000,24.440001,23.740000,24.350000,24.350000,172700
2016-06-06,24.389999,24.680000,24.209999,24.299999,24.299999,182100
2016-06-07,24.350000,24.370001,24.030001,24.059999,24.059999,104500
2016-06-08,24.219999,24.480000,24.090000,24.200001,24.200001,153800
2016-06-09,24.030001,24.129999,23.770000,24.080000,24.080000,118800
2016-06-10,23.799999,24.200001,23.780001,24.000000,24.000000,105700
2016-06-13,23.840000,24.219999,23.590000,23.660000,23.660000,183000
2016-06-14,23.590000,23.750000,22.980000,23.080000,23.080000,205800
2016-06-15,23.110001,23.680000,23.049999,23.190001,23.190001,108900
2016-06-16,23.049999,23.330000,23.049999,23.299999,23.299999,118400
2016-06-17,23.250000,23.500000,23.080000,23.120001,23.120001,161000
2016-06-20,23.530001,23.760000,23.330000,23.350000,23.350000,125900
2016-06-21,23.430000,23.559999,23.110001,23.389999,23.389999,104100
2016-06-22,23.440001,23.610001,23.219999,23.240000,23.240000,54900
2016-06-23,23.600000,23.850000,23.540001,23.690001,23.690001,87200
2016-06-24,22.270000,23.690001,21.830000,22.559999,22.559999,236700
2016-06-27,22.200001,22.200001,21.780001,21.990000,21.990000,316100
2016-06-28,23.219999,23.530001,22.820000,23.430000,23.430000,312500
2016-06-29,23.700001,24.250000,23.500000,24.180000,24.180000,280700
2016-06-30,24.410000,24.459999,23.969999,24.410000,24.410000,222200
2016-07-01,24.459999,24.690001,24.200001,24.530001,24.530001,194700
2016-07-05,24.400000,24.580000,24.100000,24.400000,24.400000,180200
2016-07-06,24.090000,24.610001,24.090000,24.610001,24.610001,113600
2016-07-07,24.600000,24.920000,24.459999,24.760000,24.760000,168400
2016-07-08,25.000000,25.150000,24.830000,25.030001,25.030001,536400
2016-07-11,25.170000,25.389999,25.059999,25.309999,25.309999,279200
2016-07-12,25.309999,25.790001,25.309999,25.639999,25.639999,274800
2016-07-13,25.700001,25.969999,25.590000,25.930000,25.930000,325000
2016-07-14,26.080000,26.280001,25.930000,25.940001,25.940001,175500
2016-07-15,26.100000,26.320000,25.850000,26.059999,26.059999,300500
2016-07-18,26.070000,26.360001,26.030001,26.209999,26.209999,200400
2016-07-19,26.200001,26.490000,26.110001,26.389999,26.389999,219200
2016-07-20,26.450001,26.450001,26.180000,26.219999,26.219999,139500
2016-07-21,26.090000,26.340000,25.920000,26.200001,26.200001,206900
2016-07-22,26.219999,26.680000,26.139999,26.650000,26.650000,195700
2016-07-25,26.730000,26.969999,26.590000,26.820000,26.820000,349500
2016-07-26,26.629999,27.000000,26.059999,26.469999,26.469999,327300
2016-07-27,26.260000,26.400000,25.360001,26.299999,26.299999,353600
2016-07-28,26.170000,26.500000,26.110001,26.389999,26.389999,162100
2016-07-29,26.309999,26.580000,26.299999,26.410000,26.410000,200200
2016-08-01,26.510000,26.590000,26.280001,26.370001,26.370001,172600
2016-08-02,26.230000,26.580000,26.180000,26.280001,26.280001,181300
2016-08-03,26.400000,26.770000,26.400000,26.530001,26.530001,162700
2016-08-04,26.590000,26.860001,26.500000,26.809999,26.809999,190900
2016-08-05,26.940001,27.320000,26.809999,27.309999,27.309999,159000
2016-08-08,27.299999,27.570000,27.299999,27.379999,27.379999,237900
2016-08-09,27.440001,27.740000,27.430000,27.730000,27.730000,233300
2016-08-10,27.870001,27.870001,27.490000,27.549999,27.549999,200900
2016-08-11,27.559999,27.719999,27.469999,27.570000,27.570000,121100
2016-08-12,27.480000,27.600000,27.330000,27.420000,27.420000,72700
2016-08-15,27.510000,27.750000,27.510000,27.680000,27.680000,88700
2016-08-16,27.629999,27.840000,27.469999,27.559999,27.559999,71300
2016-08-17,27.610001,27.730000,27.370001,27.549999,27.549999,97700
2016-08-18,27.580000,27.900000,27.559999,27.790001,27.790001,100700
2016-08-19,27.750000,28.000000,27.549999,27.860001,27.860001,141900
2016-08-22,27.889999,27.930000,27.700001,27.900000,27.900000,168400
2016-08-23,28.000000,28.090000,27.900000,27.959999,27.959999,63400
2016-08-24,27.950001,27.950001,27.690001,27.740000,27.740000,91500
2016-08-25,26.850000,27.889999,26.840000,27.860001,27.860001,103200
2016-08-26,27.980000,28.139999,27.719999,27.830000,27.830000,161000
2016-08-29,27.900000,28.150000,27.790001,27.809999,27.809999,118200
2016-08-30,27.799999,28.120001,27.799999,27.980000,27.980000,112500
2016-08-31,27.930000,28.139999,27.760000,28.080000,28.080000,154400
2016-09-01,28.100000,28.209999,27.660000,27.790001,27.790001,83800
2016-09-02,27.879999,28.030001,27.780001,28.000000,28.000000,71400
2016-09-06,28.010000,28.040001,27.600000,27.830000,27.830000,106900
2016-09-07,27.740000,28.090000,27.740000,28.080000,28.080000,93900
2016-09-08,28.070000,28.260000,27.959999,28.090000,28.090000,107500
2016-09-09,27.940001,28.160000,27.799999,27.809999,27.809999,109900
2016-09-12,27.709999,27.950001,27.360001,27.940001,27.940001,67400
2016-09-13,27.700001,27.700001,27.150000,27.290001,27.290001,69400
2016-09-14,27.370001,27.459999,27.120001,27.129999,27.129999,82100
2016-09-15,27.129999,27.670000,27.129999,27.629999,27.629999,76000
2016-09-16,27.590000,27.820000,27.379999,27.620001,27.620001,155900
2016-09-19,27.660000,28.010000,27.360001,27.490000,27.490000,73300
2016-09-20,27.709999,27.760000,27.450001,27.459999,27.459999,71300
2016-09-21,27.450001,27.700001,27.309999,27.480000,27.480000,141600
2016-09-22,27.650000,28.040001,27.540001,28.030001,28.030001,184300
2016-09-23,27.080000,27.900000,27.080000,27.719999,27.719999,216000
2016-09-26,27.580000,27.580000,27.190001,27.219999,27.219999,118200
2016-09-27,27.200001,27.660000,27.180000,27.540001,27.540001,68800
2016-09-28,27.600000,27.860001,27.490000,27.860001,27.860001,100600
2016-09-29,27.850000,27.870001,27.340000,27.480000,27.480000,131900
2016-09-30,27.610001,27.980000,27.520000,27.750000,27.750000,108100
2016-10-03,27.590000,27.920000,27.430000,27.860001,27.860001,115600
2016-10-04,27.850000,28.160000,27.809999,27.950001,27.950001,89300
2016-10-05,28.100000,28.540001,28.080000,28.400000,28.400000,237900
2016-10-06,28.459999,28.459999,28.010000,28.160000,28.160000,65600
2016-10-07,28.129999,28.129999,27.740000,27.850000,27.850000,95700
2016-10-10,28.010000,28.100000,27.900000,27.920000,27.920000,75300
2016-10-11,27.740000,27.860001,27.299999,27.430000,27.430000,102100
2016-10-12,27.480000,27.690001,27.420000,27.629999,27.629999,126500
2016-10-13,27.290001,27.290001,26.910000,27.000000,27.000000,94300
2016-10-14,27.129999,27.570000,26.860001,27.049999,27.049999,125500
2016-10-17,27.080000,27.160000,26.820000,26.879999,26.879999,122800
2016-10-18,27.160000,27.410000,26.950001,27.090000,27.090000,134000
2016-10-19,27.190001,27.700001,27.190001,27.570000,27.570000,122800
2016-10-20,27.450001,27.680000,27.290001,27.330000,27.330000,87700
2016-10-21,27.090000,27.309999,26.840000,27.120001,27.120001,130200
2016-10-24,27.309999,27.660000,27.299999,27.430000,27.430000,79100
2016-10-25,28.379999,28.540001,26.400000,26.459999,26.459999,246700
2016-10-26,26.459999,27.420000,26.459999,26.959999,26.959999,147900
2016-10-27,27.150000,27.420000,27.049999,27.400000,27.400000,99200
2016-10-28,27.520000,27.709999,26.889999,27.190001,27.190001,111200
2016-10-31,27.280001,27.490000,27.240000,27.430000,27.430000,193700
2016-11-01,27.469999,27.540001,26.750000,26.950001,26.950001,73400
2016-11-02,26.799999,26.920000,26.350000,26.420000,26.420000,92400
2016-11-03,26.469999,26.730000,26.150000,26.430000,26.430000,78900
2016-11-04,26.480000,26.820000,26.330000,26.549999,26.549999,89000
2016-11-07,26.969999,27.700001,26.969999,27.670000,27.670000,141800
2016-11-08,27.600000,27.600000,27.000000,27.040001,27.040001,61000
2016-11-09,27.010000,27.930000,27.010000,27.850000,27.850000,121600
2016-11-10,28.120001,29.100000,28.010000,28.900000,28.900000,133200
2016-11-11,29.100000,29.100000,28.129999,28.549999,28.549999,306400
2016-11-14,28.799999,29.290001,28.340000,28.530001,28.530001,395200
2016-11-15,28.500000,28.830000,27.920000,28.770000,28.770000,185700
2016-11-16,28.580000,28.580000,27.809999,27.980000,27.980000,253300
2016-11-17,28.100000,28.370001,27.850000,27.860001,27.860001,222300
2016-11-18,27.959999,28.440001,27.790001,28.219999,28.219999,218300
2016-11-21,28.480000,28.540001,27.580000,27.650000,27.650000,207000
2016-11-22,27.820000,27.950001,27.559999,27.750000,27.750000,150800
2016-11-23,27.799999,27.950001,27.700001,27.740000,27.740000,109600
2016-11-25,27.959999,27.959999,27.620001,27.780001,27.780001,45400
2016-11-28,27.610001,27.770000,27.370001,27.410000,27.410000,94900
2016-11-29,27.570000,27.959999,27.430000,27.570000,27.570000,173600
2016-11-30,27.879999,28.490000,27.809999,28.180000,28.180000,199300
2016-12-01,28.320000,28.520000,27.780001,27.990000,27.990000,222800
