Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,8.460000,8.740000,8.430000,8.460000,7.229831,1346200
2016-04-29,8.300000,8.460000,8.080000,8.240000,7.041821,1388000
2016-05-02,8.100000,8.310000,8.030000,8.310000,7.101643,866400
2016-05-03,8.010000,8.040000,7.810000,7.840000,6.699986,961000
2016-05-04,7.760000,7.880000,7.400000,7.580000,6.477792,1931900
2016-05-05,7.740000,7.820000,7.420000,7.450000,6.366695,1578200
2016-05-06,7.570000,7.860000,7.540000,7.800000,6.665802,816600
2016-05-09,7.670000,7.830000,7.530000,7.780000,6.648711,723200
2016-05-10,7.790000,8.150000,7.780000,8.120000,6.939271,950100
2016-05-11,7.920000,8.210000,7.810000,7.970000,6.811082,1108300
2016-05-12,8.030000,8.100000,7.770000,7.870000,6.725623,564400
2016-05-13,7.760000,7.960000,7.680000,7.830000,6.691440,556800
2016-05-16,7.930000,8.120000,7.930000,8.110000,6.930724,535700
2016-05-17,8.120000,8.380000,8.050000,8.140000,6.956363,733300
2016-05-18,8.000000,8.090000,7.900000,7.970000,6.811082,884000
2016-05-19,7.710000,7.720000,7.430000,7.470000,6.383787,1443700
2016-05-20,7.550000,7.590000,7.410000,7.530000,6.435062,1134000
2016-05-23,7.600000,7.860000,7.600000,7.710000,6.588889,1056600
2016-05-24,7.740000,7.830000,7.630000,7.770000,6.640164,652400
2016-05-25,7.790000,7.950000,7.710000,7.840000,6.699986,1093800
2016-05-26,8.050000,8.100000,7.810000,7.900000,6.751261,936600
2016-05-27,7.910000,8.040000,7.780000,8.020000,6.853812,827700
2016-05-31,8.390000,8.920000,8.390000,8.880000,7.588759,3591400
2016-06-01,8.760000,8.840000,8.480000,8.640000,7.383657,1779000
2016-06-02,8.660000,9.000000,8.540000,9.000000,7.691310,1661700
2016-06-03,9.000000,9.010000,8.670000,8.960000,7.657126,1086700
2016-06-06,9.030000,9.520000,9.000000,9.410000,8.041693,2065600
2016-06-07,9.490000,9.810000,9.490000,9.780000,8.357890,1750000
2016-06-08,9.860000,10.410000,9.840000,10.260000,8.768092,3031600
2016-06-09,9.760000,9.910000,9.580000,9.880000,8.785877,1788600
2016-06-10,9.500000,9.520000,9.010000,9.080000,8.074471,1985200
2016-06-13,8.860000,9.180000,8.780000,8.870000,7.887726,1277900
2016-06-14,8.790000,8.880000,8.350000,8.430000,7.496453,1750000
2016-06-15,8.490000,8.600000,8.200000,8.220000,7.309708,1460800
2016-06-16,8.000000,8.120000,7.820000,8.060000,7.167427,1548200
2016-06-17,8.080000,8.390000,8.060000,8.170000,7.265245,1029500
2016-06-20,8.450000,8.540000,8.250000,8.340000,7.416420,1015300
2016-06-21,8.180000,8.340000,8.070000,8.150000,7.247460,1007900
2016-06-22,8.150000,8.210000,8.050000,8.050000,7.158534,773600
2016-06-23,8.430000,8.450000,8.250000,8.440000,7.505344,938900
2016-06-24,7.820000,8.180000,7.810000,7.980000,7.096286,4751300
2016-06-27,7.740000,7.740000,7.500000,7.540000,6.705013,2441800
2016-06-28,7.840000,8.000000,7.800000,7.960000,7.078501,1783200
2016-06-29,8.140000,8.200000,8.010000,8.100000,7.202998,910900
2016-06-30,7.780000,7.880000,7.640000,7.870000,6.998467,2273800
2016-07-01,7.750000,7.950000,7.750000,7.870000,6.998467,1017400
2016-07-05,7.720000,7.760000,7.520000,7.540000,6.705013,1866900
2016-07-06,7.420000,7.610000,7.360000,7.570000,6.731690,1082000
2016-07-07,7.390000,7.460000,7.210000,7.260000,6.456020,2093600
2016-07-08,7.250000,7.560000,7.240000,7.530000,6.696121,1148100
2016-07-11,7.610000,7.810000,7.590000,7.780000,6.918435,1171400
2016-07-12,7.750000,8.000000,7.700000,7.870000,6.998467,1367700
2016-07-13,7.830000,7.930000,7.710000,7.710000,6.856186,945000
2016-07-14,7.800000,7.940000,7.800000,7.830000,6.962898,936900
2016-07-15,7.840000,7.870000,7.790000,7.850000,6.980682,614800
2016-07-18,7.730000,7.940000,7.700000,7.900000,7.025146,853400
2016-07-19,7.840000,7.960000,7.800000,7.810000,6.945112,726400
2016-07-20,7.910000,8.210000,7.840000,8.130000,7.229675,1099600
2016-07-21,8.150000,8.370000,8.140000,8.280000,7.363064,892000
2016-07-22,8.240000,8.260000,8.140000,8.180000,7.274138,620600
2016-07-25,8.150000,8.160000,8.020000,8.070000,7.176319,764000
2016-07-26,7.980000,8.230000,7.970000,8.140000,7.238567,823700
2016-07-27,8.210000,8.250000,8.000000,8.030000,7.140749,744100
2016-07-28,8.000000,8.040000,7.710000,7.850000,6.980682,1190700
2016-07-29,7.870000,8.030000,7.770000,7.940000,7.060716,746400
2016-08-01,7.790000,7.860000,7.640000,7.680000,6.829509,924300
2016-08-02,7.710000,7.800000,7.380000,7.420000,6.598301,1429300
2016-08-03,7.420000,7.700000,7.400000,7.690000,6.838401,974700
2016-08-04,7.540000,7.800000,7.530000,7.680000,6.829509,1058600
2016-08-05,7.720000,7.960000,7.680000,7.940000,7.060716,924500
2016-08-08,8.000000,8.190000,7.980000,8.160000,7.256352,1384700
2016-08-09,8.160000,8.210000,8.000000,8.080000,7.185212,943100
2016-08-10,8.090000,8.110000,7.930000,8.000000,7.114071,774100
2016-08-11,8.020000,8.200000,8.010000,8.150000,7.247460,632400
2016-08-12,8.180000,8.300000,8.170000,8.260000,7.345279,902200
