Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,26.160000,26.469999,26.049999,26.120001,21.822344,668600
2016-04-29,25.959999,26.240000,25.230000,25.590000,21.379545,1143800
2016-05-02,25.700001,26.000000,25.610001,25.860001,21.605122,1038800
2016-05-03,25.670000,25.850000,25.430000,25.830000,21.580059,581600
2016-05-04,25.660000,26.040001,25.530001,25.990000,21.713734,777600
2016-05-05,25.959999,26.209999,25.900000,26.070000,21.780571,638100
2016-05-06,25.990000,26.410000,25.780001,26.350000,22.014500,802100
2016-05-09,26.430000,26.559999,26.190001,26.389999,22.047916,752200
2016-05-10,26.600000,27.000000,26.430000,26.770000,22.365393,821100
2016-05-11,26.670000,26.770000,26.430000,26.549999,22.181593,1170300
2016-05-12,26.639999,26.860001,26.230000,26.410000,22.064631,751300
2016-05-13,26.360001,26.450001,25.980000,26.230000,21.914240,557100
2016-05-16,26.230000,26.559999,26.180000,26.330000,21.997789,518000
2016-05-17,26.299999,26.379999,25.790001,26.010000,21.730442,724400
2016-05-18,25.969999,26.170000,25.290001,25.549999,21.346125,827000
2016-05-19,25.320000,25.490000,24.620001,25.010000,20.894974,975900
2016-05-20,25.129999,25.290001,24.930000,25.080000,20.953461,1167000
2016-05-23,25.180000,25.270000,24.889999,24.980000,20.869913,630000
2016-05-24,25.219999,25.280001,24.959999,25.110001,20.978525,1160300
2016-05-25,25.240000,25.580000,24.900000,25.500000,21.304356,819800
2016-05-26,25.530001,25.629999,25.389999,25.540001,21.337772,468700
2016-05-27,25.570000,25.809999,25.500000,25.639999,21.421320,532800
2016-05-31,25.690001,25.760000,25.440001,25.600000,21.387897,1389900
2016-06-01,25.500000,25.830000,25.379999,25.570000,21.362837,791100
2016-06-02,25.549999,26.240000,25.549999,26.230000,21.914240,658500
2016-06-03,26.440001,26.639999,25.969999,26.170000,21.864115,567500
2016-06-06,26.260000,26.480000,25.780001,26.100000,21.805635,563900
2016-06-07,26.150000,26.360001,26.080000,26.200001,21.889181,539100
2016-06-08,26.290001,26.680000,26.160000,26.620001,22.240074,774500
2016-06-09,26.510000,26.650000,26.420000,26.620001,22.240074,454100
2016-06-10,26.400000,26.500000,26.209999,26.379999,22.039560,654600
2016-06-13,26.389999,26.580000,26.080000,26.150000,21.847408,802000
