Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,29.070000,29.350000,29.049999,29.139999,25.466740,549400
2016-04-29,28.980000,29.120001,28.530001,28.889999,25.248255,1412300
2016-05-02,28.980000,29.480000,28.980000,29.459999,25.746407,773200
2016-05-03,29.430000,29.650000,29.240000,29.620001,25.886238,635600
2016-05-04,29.370001,30.030001,29.350000,29.900000,26.130939,1368400
2016-05-05,29.879999,30.000000,29.760000,29.969999,26.192116,823400
2016-05-06,29.889999,30.420000,29.790001,30.400000,26.567913,472000
2016-05-09,30.410000,30.900000,30.170000,30.680000,26.812616,711100
2016-05-10,30.700001,30.799999,30.290001,30.459999,26.620348,685800
2016-05-11,30.450001,30.450001,29.610001,29.910000,26.139679,2105900
2016-05-12,29.950001,30.639999,29.780001,30.459999,26.620348,503700
2016-05-13,30.490000,30.490000,30.080000,30.270000,26.454298,764800
2016-05-16,30.260000,30.799999,30.059999,30.760000,26.882534,574800
2016-05-17,30.639999,30.700001,29.860001,30.070000,26.279509,758400
2016-05-18,29.969999,30.000000,29.170000,29.580000,25.851276,625400
2016-05-19,29.350000,29.370001,29.000000,29.230000,25.545395,889900
2016-05-20,29.299999,29.320000,29.020000,29.290001,25.597834,640400
2016-05-23,29.370001,29.780001,29.150000,29.709999,25.964890,927500
2016-05-24,29.860001,30.139999,29.780001,29.969999,26.192116,953800
2016-05-25,29.910000,29.969999,29.570000,29.830000,26.069761,463800
2016-05-26,29.870001,30.139999,29.750000,30.030001,26.244556,435900
2016-05-27,30.030001,30.459999,30.000000,30.250000,26.436821,278400
2016-05-31,30.290001,30.290001,29.900000,30.180000,26.375645,917300
2016-06-01,30.129999,30.540001,29.959999,30.290001,26.471781,796800
2016-06-02,30.170000,30.360001,29.910000,30.320000,26.497995,1295300
2016-06-03,30.549999,30.790001,30.330000,30.780001,26.900013,856300
2016-06-06,30.790001,30.920000,30.200001,30.209999,26.401861,725800
