Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,60.169998,61.369999,60.169998,61.369999,60.429317,5300
2018-01-17,61.360001,61.799999,61.209999,61.549999,60.606560,5200
2018-01-18,61.500000,61.500000,61.340000,61.480000,60.537632,2400
2018-01-19,61.450001,61.799999,61.340000,61.790001,60.842880,12000
2018-01-22,61.259998,61.910000,61.060001,61.560001,60.616409,14700
2018-01-23,61.340000,61.630001,61.099998,61.279999,60.340694,8700
2018-01-24,61.580002,62.209999,61.580002,62.000000,61.049660,7200
2018-01-25,62.189999,62.689999,62.040001,62.200001,61.246597,5000
2018-01-26,62.230000,64.440002,62.230000,63.830002,62.851612,9600
2018-01-29,63.340000,63.410000,62.419998,63.000000,62.034332,5300
2018-01-30,61.860001,62.349998,61.049999,62.349998,61.394295,17700
2018-01-31,61.759998,62.240002,61.279999,61.939999,60.990582,8700
2018-02-01,62.459999,62.590000,61.160000,61.459999,60.517937,5200
2018-02-02,61.340000,61.340000,60.009998,60.009998,59.090164,2900
2018-02-05,60.000000,60.369999,58.139999,58.139999,57.248825,10800
2018-02-06,57.700001,59.919998,56.520000,59.369999,58.459972,7200
2018-02-07,59.090000,60.500000,58.410000,58.709999,57.810089,15900
2018-02-08,58.520000,58.730000,57.279999,57.380001,56.500477,11800
2018-02-09,57.869999,59.220001,56.599998,57.889999,57.002659,11900
2018-02-12,58.419998,59.700001,58.000000,59.599998,58.686447,13700
2018-02-13,59.200001,59.830002,58.740002,59.580002,58.666756,4200
2018-02-14,59.029999,60.790001,59.029999,60.060001,59.139400,22700
2018-02-15,59.900002,60.700001,59.340000,59.939999,59.021236,32800
2018-02-16,59.820000,60.240002,59.119999,59.410000,58.499359,25100
2018-02-20,59.230000,59.230000,58.310001,59.160000,58.253193,10200
2018-02-21,59.270000,60.040001,58.090000,58.700001,57.800243,10400
2018-02-22,58.779999,59.299999,57.459999,58.590000,57.691933,7200
2018-02-23,57.930000,58.619999,57.650002,58.410000,57.514687,5500
2018-02-26,58.369999,58.900002,58.049999,58.049999,57.160206,8200
2018-02-27,58.000000,58.000000,57.250000,57.450001,56.569405,4800
2018-02-28,57.209999,58.419998,56.610001,58.009998,57.120815,5800
2018-03-01,58.500000,59.299999,57.770000,58.830002,57.928253,4100
2018-03-02,58.549999,59.369999,58.549999,59.029999,58.125187,2500
2018-03-05,58.619999,59.540001,58.020000,59.490002,58.578136,4300
2018-03-06,59.889999,60.090000,57.730000,59.799999,58.883381,14300
2018-03-07,59.759998,60.000000,59.110001,59.779999,58.863686,5800
2018-03-08,59.799999,60.630001,59.660000,60.509998,59.582497,3500
2018-03-09,60.779999,61.860001,60.500000,61.160000,60.222538,5900
2018-03-12,61.369999,62.590000,61.090000,61.869999,60.921654,3900
2018-03-13,62.000000,62.610001,61.070000,61.529999,60.586864,5400
2018-03-14,62.130001,62.759998,61.130001,61.470001,60.527786,4200
2018-03-15,62.080002,62.270000,61.430000,61.450001,60.508091,7600
2018-03-16,61.650002,62.490002,61.450001,61.490002,60.547482,5500
2018-03-19,61.310001,62.119999,61.080002,61.980000,61.029964,2800
2018-03-20,61.070000,61.320000,60.680000,61.049999,60.114223,4000
2018-03-21,61.040001,62.259998,61.029999,62.169998,61.217052,10300
2018-03-22,62.169998,62.270000,61.349998,61.349998,60.409622,1500
2018-03-23,61.810001,61.950001,59.799999,59.830002,58.912922,6500
2018-03-26,60.400002,61.959999,59.869999,61.950001,61.000431,2000
2018-03-27,61.990002,63.799999,61.639999,62.459999,61.502609,10200
2018-03-28,62.849998,63.130001,61.750000,62.669998,61.709393,2200
2018-03-29,62.939999,63.139999,61.950001,61.950001,61.000431,5200
2018-04-02,62.320000,62.650002,61.180000,61.939999,60.990582,2900
2018-04-03,61.900002,62.080002,61.070000,61.650002,60.705025,2300
2018-04-04,61.259998,64.209999,61.259998,63.619999,62.644829,9100
2018-04-05,63.130001,64.379997,63.130001,63.840000,62.861454,2900
2018-04-06,63.250000,63.250000,61.730000,61.830002,60.882271,6900
2018-04-09,62.689999,62.689999,60.220001,60.959999,60.025600,4900
2018-04-10,60.990002,61.779999,60.549999,61.470001,60.527786,12200
2018-04-11,61.380001,61.380001,60.540001,61.200001,60.261925,1600
2018-04-12,61.139999,62.630001,61.009998,61.230000,60.291466,5100
2018-04-13,61.419998,61.619999,61.310001,61.619999,60.675484,2700
2018-04-16,61.900002,63.939999,61.900002,62.959999,61.994946,6400
2018-04-17,63.770000,64.050003,62.680000,63.020000,62.054028,17800
2018-04-18,64.000000,64.000000,62.740002,62.820000,61.857090,6800
2018-04-19,61.820000,62.320000,61.419998,61.770000,60.823185,1100
2018-04-20,61.889999,62.799999,61.290001,62.799999,61.837399,5100
2018-04-23,62.090000,62.090000,60.389999,60.450001,59.523422,7600
2018-04-24,60.639999,60.639999,59.709999,60.380001,59.454494,2600
2018-04-25,60.180000,60.180000,59.209999,59.799999,58.883381,2300
2018-04-26,60.160000,63.250000,60.160000,60.759998,59.828667,24400
