Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,2.350000,2.420000,2.340000,2.350000,2.344063,58100
2016-04-29,2.350000,2.460000,2.230000,2.320000,2.314138,89300
2016-05-02,2.430000,2.450000,2.290000,2.330000,2.324113,63600
2016-05-03,2.370000,2.740000,2.370000,2.550000,2.543557,410200
2016-05-04,2.560000,2.650000,2.540000,2.580000,2.573482,91100
2016-05-05,2.560000,2.620000,2.530000,2.550000,2.543557,64600
2016-05-06,2.550000,2.590000,2.550000,2.560000,2.553532,28500
2016-05-09,2.600000,2.600000,2.530000,2.560000,2.553532,62000
2016-05-10,2.510000,2.610000,2.510000,2.590000,2.583456,333700
2016-05-11,2.560000,2.650000,2.560000,2.620000,2.613380,97300
2016-05-12,2.630000,2.650000,2.500000,2.550000,2.543557,280900
2016-05-13,2.550000,2.560000,2.490000,2.550000,2.543557,98200
2016-05-16,2.550000,2.650000,2.540000,2.550000,2.543557,44600
2016-05-17,2.480000,2.510000,2.410000,2.480000,2.473734,178200
2016-05-18,2.460000,2.550000,2.420000,2.460000,2.453785,94500
2016-05-19,2.410000,2.410000,2.160000,2.330000,2.324113,87700
2016-05-20,2.260000,2.480000,2.260000,2.460000,2.453785,142400
2016-05-23,2.460000,2.590000,2.460000,2.490000,2.483709,126300
2016-05-24,2.500000,2.600000,2.490000,2.490000,2.483709,180200
2016-05-25,2.500000,2.630000,2.490000,2.600000,2.593431,96200
2016-05-26,2.560000,2.650000,2.560000,2.630000,2.623355,63600
2016-05-27,2.590000,2.760000,2.590000,2.730000,2.723103,35000
2016-05-31,2.730000,2.820000,2.680000,2.690000,2.683204,51000
2016-06-01,2.610000,2.730000,2.610000,2.700000,2.693178,46800
2016-06-02,2.700000,2.770000,2.680000,2.700000,2.693178,45500
2016-06-03,2.810000,2.810000,2.680000,2.710000,2.703153,75700
2016-06-06,2.720000,2.750000,2.570000,2.700000,2.693178,170400
2016-06-07,2.710000,2.880000,2.680000,2.880000,2.872724,48900
2016-06-08,2.880000,2.930000,2.830000,2.900000,2.892673,140500
2016-06-09,2.850000,2.940000,2.850000,2.930000,2.922597,46300
2016-06-10,2.870000,2.910000,2.850000,2.870000,2.862749,67000
2016-06-13,2.850000,2.860000,2.750000,2.810000,2.802900,75000
2016-06-14,2.850000,2.980000,2.780000,2.800000,2.792926,190000
2016-06-15,2.800000,2.850000,2.770000,2.790000,2.782951,174300
2016-06-16,2.850000,2.850000,2.740000,2.790000,2.782951,331000
2016-06-17,2.850000,2.950000,2.810000,2.910000,2.902648,130100
2016-06-20,2.980000,2.980000,2.910000,2.940000,2.932572,73000
2016-06-21,2.940000,2.940000,2.760000,2.910000,2.902648,312200
2016-06-22,2.880000,2.980000,2.880000,2.950000,2.942547,97900
2016-06-23,2.950000,2.980000,2.920000,2.920000,2.912623,86400
2016-06-24,2.780000,2.870000,2.720000,2.790000,2.782951,92000
2016-06-27,2.750000,2.770000,2.550000,2.570000,2.563507,98100
2016-06-28,2.650000,2.880000,2.650000,2.710000,2.703153,394300
2016-06-29,2.700000,2.820000,2.670000,2.740000,2.733077,99900
2016-06-30,2.730000,2.940000,2.690000,2.930000,2.922597,93600
2016-07-01,2.890000,2.950000,2.890000,2.940000,2.932572,127900
2016-07-05,2.950000,2.950000,2.830000,2.930000,2.922597,79400
2016-07-06,2.860000,2.940000,2.760000,2.780000,2.772976,128600
2016-07-07,2.850000,2.860000,2.660000,2.790000,2.782951,153400
2016-07-08,2.830000,2.950000,2.830000,2.940000,2.932572,122600
2016-07-11,2.940000,3.050000,2.940000,2.990000,2.982446,146300
2016-07-12,2.980000,3.180000,2.980000,3.170000,3.161991,777100
2016-07-13,3.200000,3.290000,3.170000,3.270000,3.261738,440600
2016-07-14,3.300000,3.300000,3.240000,3.260000,3.251764,140400
2016-07-15,3.250000,3.310000,3.210000,3.300000,3.291662,167500
2016-07-18,3.300000,3.360000,3.190000,3.320000,3.311612,93400
2016-07-19,3.290000,3.360000,3.240000,3.340000,3.331561,130100
2016-07-20,3.340000,3.360000,3.300000,3.340000,3.331561,93500
2016-07-21,3.360000,3.380000,3.340000,3.340000,3.331561,109600
2016-07-22,3.340000,3.400000,3.270000,3.390000,3.381435,79700
2016-07-25,3.290000,3.400000,3.280000,3.390000,3.381435,108400
2016-07-26,3.400000,3.410000,3.350000,3.410000,3.401385,177100
2016-07-27,3.400000,3.620000,3.330000,3.610000,3.600879,319900
2016-07-28,3.510000,3.570000,3.310000,3.370000,3.361485,160000
2016-07-29,3.380000,3.440000,3.320000,3.440000,3.431309,106000
2016-08-01,3.390000,3.490000,3.350000,3.450000,3.441283,229700
2016-08-02,3.450000,3.500000,3.410000,3.450000,3.441283,77600
