Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,43.689999,44.049999,43.250000,43.380001,41.047455,7402600
2016-04-29,42.980000,43.230000,42.590000,42.959999,40.650043,10307000
2016-05-02,43.189999,44.480000,43.020000,44.310001,41.927456,8180300
2016-05-03,43.689999,44.000000,43.290001,43.669998,41.321861,5867400
2016-05-04,43.459999,43.790001,43.220001,43.669998,41.321861,5344700
2016-05-05,43.880001,44.230000,43.689999,43.919998,41.558422,5104500
2016-05-06,43.730000,44.169998,43.270000,43.930000,41.567890,4545900
2016-05-09,43.939999,44.410000,43.889999,44.279999,41.899067,6360500
2016-05-10,44.320000,45.080002,44.259998,45.040001,42.618198,5503400
2016-05-11,44.840000,45.169998,44.330002,44.400002,42.012619,5150900
2016-05-12,44.509998,45.009998,44.380001,44.849998,42.438412,9609400
2016-05-13,44.680000,44.919998,44.220001,44.360001,41.974762,12203600
2016-05-16,44.250000,44.730000,44.240002,44.520000,42.126163,5675900
2016-05-17,44.560001,44.599998,42.980000,43.250000,40.924442,8548700
2016-05-18,42.930000,43.650002,42.869999,43.240002,40.914986,6612900
2016-05-19,43.560001,43.560001,42.570000,43.270000,40.943375,5262500
2016-05-20,43.299999,43.689999,43.209999,43.360001,41.028530,6185800
2016-05-23,43.380001,43.590000,43.049999,43.189999,40.867672,6582100
2016-05-24,43.580002,44.230000,43.299999,44.150002,41.776058,6476300
2016-05-25,44.110001,44.490002,43.930000,44.220001,41.842285,5037600
2016-05-26,44.139999,44.599998,44.049999,44.349998,41.965298,4381200
2016-05-27,44.349998,44.779999,44.310001,44.779999,42.372169,5224700
2016-05-31,44.770000,44.950001,44.290001,44.490002,42.097782,11593300
2016-06-01,44.500000,44.830002,44.330002,44.830002,42.419483,6449000
2016-06-02,44.630001,45.070000,44.580002,45.070000,42.646591,5327400
2016-06-03,45.020000,45.250000,44.820000,45.240002,42.807442,4977600
2016-06-06,45.279999,45.439999,44.880001,45.119999,42.693897,5831200
2016-06-07,45.189999,45.619999,45.150002,45.330002,42.892609,5203700
2016-06-08,45.250000,45.279999,44.599998,45.049999,42.627666,6205300
2016-06-09,44.880001,45.349998,44.869999,45.220001,42.788521,4428500
2016-06-10,44.720001,45.369999,44.720001,45.020000,42.599274,5624400
2016-06-13,45.200001,45.299999,44.099998,44.169998,41.794971,7757800
2016-06-14,44.119999,44.200001,43.580002,44.020000,41.653042,5282000
2016-06-15,44.099998,44.349998,43.740002,43.830002,41.473267,5995500
2016-06-16,43.689999,44.240002,43.540001,44.230000,41.851753,6131500
2016-06-17,44.230000,44.230000,43.610001,44.040001,41.671970,9147400
2016-06-20,44.549999,44.919998,44.209999,44.230000,41.851753,5726100
2016-06-21,44.410000,44.669998,44.209999,44.480000,42.088306,5981000
2016-06-22,44.430000,44.709999,44.160000,44.180000,41.804443,8507000
2016-06-23,44.669998,44.860001,44.439999,44.849998,42.438412,5518600
2016-06-24,42.770000,43.680000,41.820000,42.270000,39.997139,22314500
2016-06-27,41.880001,42.000000,41.270000,41.380001,39.154991,12791800
2016-06-28,41.290001,41.889999,41.080002,41.849998,39.763081,10393700
2016-06-29,42.220001,43.000000,41.900002,42.970001,40.827236,10550400
2016-06-30,43.240002,45.750000,42.590000,45.509998,43.240566,33312100
2016-07-01,45.240002,46.320000,44.990002,45.110001,42.860516,12238500
2016-07-05,45.049999,45.730000,44.869999,44.900002,42.660988,7820400
2016-07-06,44.720001,45.340000,44.689999,45.200001,42.946030,6838600
2016-07-07,45.150002,45.580002,44.840000,45.169998,42.917522,6842100
2016-07-08,45.630001,46.110001,45.080002,46.099998,43.801147,8490300
2016-07-11,46.080002,46.119999,45.590000,45.849998,43.563610,6572100
2016-07-12,45.790001,46.360001,45.660000,45.730000,43.449596,6809500
2016-07-13,45.830002,46.040001,45.279999,45.599998,43.326077,5362100
2016-07-14,45.820000,46.009998,45.500000,45.680000,43.402100,6900100
2016-07-15,45.349998,46.000000,45.349998,45.389999,43.126553,10023100
2016-07-18,45.650002,45.700001,45.380001,45.419998,43.155056,4915600
2016-07-19,45.369999,45.580002,45.049999,45.580002,43.307083,6328500
2016-07-20,45.660000,45.790001,45.000000,45.169998,42.917522,5168400
2016-07-21,45.139999,45.320000,44.790001,45.180000,42.927021,7221500
2016-07-22,45.410000,45.480000,45.090000,45.130001,42.879513,4097400
2016-07-25,45.310001,45.830002,45.299999,45.759998,43.478104,9321400
2016-07-26,45.700001,45.820000,45.040001,45.250000,42.993534,9026500
2016-07-27,45.250000,45.500000,43.889999,43.939999,41.748859,8888300
2016-07-28,43.889999,44.250000,43.439999,44.180000,41.976891,7129400
2016-07-29,44.060001,44.400002,43.860001,43.980000,41.786861,8839900
2016-08-01,43.910000,43.980000,43.279999,43.480000,41.311798,5903800
2016-08-02,43.619999,43.619999,42.689999,43.029999,40.884243,6345200
2016-08-03,42.980000,43.230000,42.759998,43.099998,40.950752,5070900
2016-08-04,43.160000,43.230000,42.299999,42.500000,40.380665,8960600
2016-08-05,42.759998,43.610001,42.619999,43.270000,41.112270,8541000
2016-08-08,43.310001,43.570000,43.189999,43.419998,41.254784,4924600
2016-08-09,43.570000,43.840000,43.259998,43.520000,41.349796,5518500
2016-08-10,43.650002,43.799999,43.250000,43.470001,41.302296,3289400
2016-08-11,43.650002,43.700001,43.040001,43.139999,40.988750,5343000
2016-08-12,43.099998,43.290001,42.900002,43.169998,41.017258,10827500
2016-08-15,43.250000,43.310001,42.919998,42.959999,40.817730,5194300
2016-08-16,42.950001,43.029999,42.669998,42.700001,40.570694,4748400
2016-08-17,42.910000,43.060001,42.400002,43.009998,40.865238,5585300
2016-08-18,42.980000,43.279999,42.869999,43.230000,41.074268,4605100
2016-08-19,43.070000,43.279999,42.830002,43.060001,40.912743,4704500
2016-08-22,43.000000,43.299999,42.799999,43.200001,41.045769,3856900
2016-08-23,43.320000,43.470001,43.130001,43.209999,41.055260,5753600
2016-08-24,43.290001,43.360001,42.880001,43.000000,40.855732,4047800
2016-08-25,43.020000,43.290001,42.889999,43.080002,40.931747,4833200
2016-08-26,43.160000,43.560001,42.910000,43.060001,40.912743,4807800
2016-08-29,43.169998,43.180000,42.770000,43.040001,40.893738,4381900
2016-08-30,44.849998,45.090000,44.209999,44.740002,42.508968,14198400
2016-08-31,44.730000,45.160000,44.590000,45.020000,42.775005,11220500
2016-09-01,45.139999,45.200001,43.709999,43.950001,41.758358,14287200
2016-09-02,44.220001,44.570000,44.049999,44.189999,41.986389,5968000
2016-09-06,44.529999,44.880001,43.900002,44.419998,42.204926,5182200
2016-09-07,44.439999,44.509998,43.540001,43.599998,41.425812,7266100
2016-09-08,43.990002,43.990002,43.450001,43.639999,41.463818,6539800
2016-09-09,43.090000,43.270000,42.090000,42.090000,39.991108,10857200
2016-09-12,42.419998,43.619999,41.959999,43.549999,41.378307,14138000
2016-09-13,42.970001,43.180000,42.540001,42.689999,40.561192,11695500
2016-09-14,42.660000,42.930000,42.330002,42.540001,40.418682,9360400
2016-09-15,42.380001,43.090000,42.279999,43.020000,40.874737,6936700
2016-09-16,42.660000,43.070000,42.540001,42.910000,40.770226,10721600
2016-09-19,42.970001,43.380001,42.840000,42.869999,40.732220,13094700
2016-09-20,43.279999,43.830002,42.799999,42.840000,40.703712,7264900
2016-09-21,42.810001,43.060001,42.509998,42.930000,40.789219,10801400
2016-09-22,43.340000,43.570000,43.139999,43.369999,41.207283,7446300
2016-09-23,43.340000,43.430000,43.090000,43.160000,41.007759,4948100
2016-09-26,42.680000,43.009998,42.650002,42.720001,40.589695,5585900
2016-09-27,43.389999,43.389999,42.750000,43.160000,41.007759,8302200
2016-09-28,43.110001,43.470001,43.060001,43.400002,41.418121,6266300
2016-09-29,43.189999,43.880001,43.110001,43.139999,41.169987,8816400
2016-09-30,43.330002,44.119999,43.220001,43.900002,41.895290,9351000
