Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,6.070000,6.170000,6.020000,6.020000,5.563423,6130500
2016-04-29,6.000000,6.000000,5.790000,5.880000,5.434041,9206700
2016-05-02,5.840000,5.920000,5.770000,5.830000,5.387833,10293100
2016-05-03,5.830000,5.860000,5.650000,5.860000,5.415557,7815400
2016-05-04,5.840000,6.090000,5.800000,6.050000,5.591148,6816800
2016-05-05,6.000000,6.090000,5.930000,5.940000,5.489490,9529900
2016-05-06,5.950000,6.170000,5.850000,6.140000,5.674321,10169400
2016-05-09,6.200000,6.280000,6.040000,6.260000,5.785221,8157200
2016-05-10,6.320000,6.350000,5.990000,6.090000,5.628114,13231200
2016-05-11,3.940000,4.030000,3.600000,3.630000,3.354689,138515700
2016-05-12,3.740000,3.750000,3.220000,3.580000,3.308481,63669700
2016-05-13,3.490000,3.680000,3.490000,3.680000,3.400897,30946800
2016-05-16,3.710000,3.750000,3.350000,3.490000,3.225307,19278000
2016-05-17,3.510000,3.520000,3.180000,3.380000,3.123649,41725800
2016-05-18,3.360000,3.560000,3.330000,3.510000,3.243789,31169700
2016-05-19,3.520000,3.520000,3.260000,3.330000,3.077441,26279600
2016-05-20,3.330000,3.480000,3.330000,3.430000,3.169858,15002500
2016-05-23,3.440000,3.530000,3.430000,3.460000,3.197582,13262700
2016-05-24,3.430000,3.490000,3.410000,3.440000,3.179099,10799600
2016-05-25,3.470000,3.530000,3.430000,3.510000,3.243789,14018000
2016-05-26,3.560000,3.560000,3.450000,3.500000,3.234548,9801700
2016-05-27,3.500000,3.550000,3.460000,3.530000,3.262273,8044700
2016-05-31,3.590000,3.650000,3.570000,3.580000,3.308481,10953100
2016-06-01,3.610000,3.630000,3.530000,3.570000,3.299239,9990000
2016-06-02,3.550000,3.590000,3.540000,3.550000,3.280756,10036300
2016-06-03,3.570000,3.590000,3.500000,3.550000,3.280756,6269900
2016-06-06,3.540000,3.610000,3.530000,3.570000,3.299239,7148500
2016-06-07,3.590000,3.650000,3.550000,3.640000,3.363930,10289800
2016-06-08,3.640000,3.660000,3.580000,3.610000,3.336205,18978500
2016-06-09,3.590000,3.600000,3.510000,3.520000,3.253031,6959400
2016-06-10,3.500000,3.520000,3.420000,3.500000,3.234548,5642800
2016-06-13,3.470000,3.540000,3.440000,3.470000,3.206824,4790000
2016-06-14,3.420000,3.520000,3.290000,3.300000,3.049717,11606700
2016-06-15,3.370000,3.440000,3.280000,3.370000,3.114408,12089500
2016-06-16,3.330000,3.350000,3.240000,3.280000,3.031234,6554100
2016-06-17,3.290000,3.360000,3.270000,3.300000,3.049717,9588500
2016-06-20,3.330000,3.480000,3.310000,3.480000,3.216065,8561900
2016-06-21,3.450000,3.490000,3.370000,3.450000,3.188340,6720000
2016-06-22,3.470000,3.500000,3.440000,3.480000,3.216065,11168400
2016-06-23,3.490000,3.530000,3.460000,3.460000,3.197582,8016900
2016-06-24,3.350000,3.470000,3.300000,3.400000,3.142133,57667100
2016-06-27,3.350000,3.370000,3.110000,3.140000,2.901852,16382500
2016-06-28,3.160000,3.270000,3.160000,3.200000,2.957301,11693900
2016-06-29,3.220000,3.300000,3.210000,3.240000,2.994268,8168100
2016-06-30,3.270000,3.310000,3.230000,3.310000,3.058958,7495700
2016-07-01,3.310000,3.440000,3.310000,3.400000,3.142133,6006200
2016-07-05,3.390000,3.400000,3.180000,3.220000,2.975785,8403800
2016-07-06,3.190000,3.270000,3.170000,3.260000,3.012751,8128000
2016-07-07,3.280000,3.370000,3.230000,3.260000,3.012751,8851500
2016-07-08,3.270000,3.360000,3.250000,3.290000,3.040475,10345400
2016-07-11,3.320000,3.380000,3.250000,3.280000,3.031234,12256900
2016-07-12,3.320000,3.360000,3.290000,3.350000,3.095925,11488500
2016-07-13,3.360000,3.390000,3.330000,3.330000,3.077441,5768800
2016-07-14,3.340000,3.400000,3.340000,3.390000,3.132891,5177900
2016-07-15,3.420000,3.440000,3.320000,3.360000,3.105166,7743700
2016-07-18,3.330000,3.410000,3.330000,3.400000,3.142133,4178800
2016-07-19,3.400000,3.450000,3.400000,3.440000,3.179099,4679000
2016-07-20,3.450000,3.480000,3.410000,3.470000,3.206824,7662700
2016-07-21,3.450000,3.540000,3.450000,3.470000,3.206824,9341600
2016-07-22,3.470000,3.490000,3.420000,3.470000,3.206824,2501400
2016-07-25,3.490000,3.510000,3.440000,3.450000,3.188340,4640000
2016-07-26,3.430000,3.530000,3.420000,3.520000,3.253031,4719400
2016-07-27,3.540000,3.630000,3.520000,3.610000,3.336205,14554400
2016-07-28,3.610000,3.640000,3.490000,3.510000,3.243789,5035300
2016-07-29,3.530000,3.530000,3.420000,3.460000,3.197582,6355200
2016-08-01,3.440000,3.550000,3.440000,3.510000,3.243789,3782000
2016-08-02,3.470000,3.530000,3.290000,3.290000,3.040475,10175700
2016-08-03,3.460000,3.590000,3.320000,3.480000,3.216065,26964300
2016-08-04,3.490000,3.550000,3.450000,3.510000,3.243789,5567500
2016-08-05,3.540000,3.600000,3.510000,3.560000,3.289998,5817800
2016-08-08,3.540000,3.600000,3.530000,3.580000,3.308481,6050900
2016-08-09,3.580000,3.630000,3.560000,3.590000,3.317722,6866100
2016-08-10,3.570000,3.600000,3.540000,3.550000,3.280756,4842700
2016-08-11,3.540000,3.660000,3.540000,3.630000,3.354689,7926300
2016-08-12,3.610000,3.670000,3.600000,3.640000,3.363930,4921500
2016-08-15,3.620000,3.780000,3.620000,3.770000,3.484070,6740000
2016-08-16,3.750000,3.780000,3.670000,3.780000,3.493312,7040100
2016-08-17,3.750000,3.790000,3.500000,3.520000,3.253031,11047500
2016-08-18,3.540000,3.580000,3.500000,3.540000,3.271514,3868400
2016-08-19,3.540000,3.580000,3.500000,3.520000,3.253031,3723900
2016-08-22,3.520000,3.570000,3.490000,3.530000,3.262273,5145400
2016-08-23,3.500000,3.660000,3.500000,3.660000,3.406539,5272900
2016-08-24,3.620000,3.690000,3.580000,3.620000,3.369309,4356800
2016-08-25,3.620000,3.670000,3.580000,3.610000,3.360001,6161700
2016-08-26,3.610000,3.670000,3.590000,3.650000,3.397231,4715300
2016-08-29,3.630000,3.700000,3.600000,3.690000,3.434461,6992100
2016-08-30,3.670000,3.730000,3.670000,3.700000,3.443769,3397500
2016-08-31,3.720000,3.740000,3.620000,3.680000,3.425154,5923300
2016-09-01,3.620000,3.680000,3.530000,3.620000,3.369309,5356400
2016-09-02,3.670000,3.710000,3.610000,3.710000,3.453076,4165000
2016-09-06,3.660000,3.680000,3.530000,3.610000,3.360001,9442500
2016-09-07,3.580000,3.760000,3.580000,3.750000,3.490306,6262700
2016-09-08,3.770000,3.810000,3.710000,3.750000,3.490306,5284900
2016-09-09,3.700000,3.780000,3.660000,3.670000,3.415846,10561500
2016-09-12,3.640000,3.820000,3.640000,3.820000,3.555459,8413700
2016-09-13,3.780000,3.820000,3.620000,3.650000,3.397231,10455300
2016-09-14,3.680000,3.690000,3.530000,3.540000,3.294849,4641700
2016-09-15,3.740000,3.740000,3.530000,3.580000,3.332079,6031600
2016-09-16,3.590000,3.680000,3.560000,3.670000,3.415846,15330500
2016-09-19,3.660000,3.730000,3.520000,3.590000,3.341386,7098200
2016-09-20,3.580000,3.610000,3.540000,3.550000,3.304156,6559600
2016-09-21,3.560000,3.610000,3.520000,3.600000,3.350694,6214000
2016-09-22,3.600000,3.690000,3.600000,3.630000,3.378617,5336200
2016-09-23,3.630000,3.860000,3.580000,3.710000,3.453076,12004600
2016-09-26,3.680000,3.690000,3.580000,3.600000,3.350694,5746900
2016-09-27,3.600000,3.630000,3.500000,3.620000,3.369309,9850700
2016-09-28,3.590000,3.680000,3.530000,3.560000,3.313464,7941400
2016-09-29,3.580000,3.630000,3.510000,3.520000,3.276234,7991600
2016-09-30,3.560000,3.610000,3.510000,3.570000,3.322771,7883900
2016-10-03,3.580000,3.600000,3.550000,3.580000,3.332079,9840800
2016-10-04,3.600000,3.600000,3.540000,3.550000,3.304156,5497600
2016-10-05,3.570000,3.620000,3.520000,3.530000,3.285541,14619000
2016-10-06,3.540000,3.570000,3.510000,3.520000,3.276234,4936000
2016-10-07,3.550000,3.560000,3.500000,3.530000,3.285541,4934900
2016-10-10,3.560000,3.590000,3.520000,3.580000,3.332079,5239500
2016-10-11,3.600000,3.640000,3.340000,3.370000,3.136622,14864000
2016-10-12,3.390000,3.430000,3.190000,3.390000,3.155237,19281700
2016-10-13,3.330000,3.360000,3.260000,3.260000,3.034240,8917800
2016-10-14,3.290000,3.360000,3.280000,3.340000,3.108699,7494000
2016-10-17,3.350000,3.380000,3.250000,3.260000,3.034240,8494000
2016-10-18,3.300000,3.310000,3.230000,3.250000,3.024932,8670600
2016-10-19,3.250000,3.280000,3.210000,3.240000,3.015624,7912600
2016-10-20,3.250000,3.340000,3.240000,3.320000,3.090084,6391600
2016-10-21,3.290000,3.310000,3.220000,3.260000,3.034240,8909500
2016-10-24,3.260000,3.300000,3.220000,3.240000,3.015624,6076500
2016-10-25,3.220000,3.250000,3.150000,3.170000,2.950472,6116700
2016-10-26,3.160000,3.240000,3.160000,3.210000,2.987702,3254600
2016-10-27,3.200000,3.220000,3.100000,3.120000,2.903934,4693900
2016-10-28,3.120000,3.170000,3.110000,3.150000,2.931858,3680800
2016-10-31,3.150000,3.190000,3.140000,3.150000,2.931858,4249900
2016-11-01,3.170000,3.200000,3.010000,3.050000,2.838782,9336000
2016-11-02,3.270000,3.550000,3.210000,3.510000,3.266927,19721200
2016-11-03,3.550000,3.640000,3.530000,3.580000,3.332079,9763300
2016-11-04,3.570000,3.650000,3.520000,3.570000,3.322771,5858300
2016-11-07,3.580000,3.690000,3.580000,3.660000,3.406539,5959700
2016-11-08,3.670000,3.740000,3.620000,3.650000,3.397231,6591500
2016-11-09,3.510000,3.910000,3.490000,3.860000,3.592688,10056300
2016-11-10,3.940000,4.220000,3.910000,4.220000,3.927757,22840900
2016-11-11,4.150000,4.210000,4.060000,4.150000,3.862606,17772500
2016-11-14,4.210000,4.480000,4.190000,4.330000,4.030140,11921900
2016-11-15,4.330000,4.350000,4.100000,4.330000,4.030140,7308000
2016-11-16,4.300000,4.500000,4.300000,4.470000,4.160444,6125300
2016-11-17,4.550000,4.700000,4.410000,4.670000,4.346595,11019700
2016-11-18,4.670000,4.760000,4.570000,4.680000,4.355901,5780400
2016-11-21,4.700000,4.720000,4.510000,4.630000,4.309365,8649400
2016-11-22,4.650000,4.830000,4.640000,4.820000,4.510562,6527900
2016-11-23,4.790000,4.930000,4.770000,4.900000,4.609334,5539600
2016-11-25,4.940000,4.950000,4.830000,4.870000,4.581113,2117200
2016-11-28,4.900000,4.920000,4.810000,4.840000,4.552894,7514900
2016-11-29,4.860000,4.890000,4.820000,4.860000,4.571707,5900900
2016-11-30,4.880000,4.940000,4.820000,4.870000,4.581113,8741400
2016-12-01,4.900000,4.940000,4.790000,4.860000,4.571707,6462900
2016-12-02,4.840000,4.940000,4.800000,4.840000,4.552894,4048600
2016-12-05,4.860000,4.970000,4.840000,4.890000,4.599927,4288400
2016-12-06,4.880000,4.970000,4.840000,4.900000,4.609334,13498000
2016-12-07,4.910000,5.090000,4.810000,5.050000,4.750436,14951100
2016-12-08,5.090000,5.220000,5.010000,5.180000,4.872724,17180600
2016-12-09,5.080000,5.200000,5.070000,5.110000,4.806876,12212900
2016-12-12,5.110000,5.110000,4.770000,4.810000,4.524672,11223800
2016-12-13,4.880000,4.880000,4.690000,4.720000,4.440011,18057900
2016-12-14,4.770000,4.800000,4.660000,4.670000,4.392977,10639500
2016-12-15,4.680000,4.860000,4.660000,4.800000,4.515265,10608300
2016-12-16,4.830000,4.870000,4.730000,4.740000,4.458824,15214900
2016-12-19,4.760000,4.900000,4.720000,4.890000,4.599927,6614100
2016-12-20,4.930000,5.040000,4.860000,5.020000,4.722215,4939400
2016-12-21,4.980000,5.030000,4.930000,4.950000,4.656367,3388500
2016-12-22,4.940000,4.950000,4.650000,4.660000,4.383570,5505300
2016-12-23,4.700000,4.780000,4.650000,4.700000,4.421197,2789500
2016-12-27,4.690000,4.770000,4.680000,4.730000,4.449418,2102400
2016-12-28,4.760000,4.760000,4.600000,4.630000,4.355350,4426200
2016-12-29,4.660000,4.720000,4.520000,4.620000,4.345943,2821500
2016-12-30,4.610000,4.620000,4.500000,4.520000,4.251874,4158500
