Date,Open,High,Low,Close,Adj Close,Volume
2018-07-26,26.500000,27.450001,25.000000,26.700001,26.700001,43213200
2018-07-27,27.540001,27.540001,23.209999,24.600000,24.600000,19923300
2018-07-30,23.309999,23.900000,21.879999,22.500000,22.500000,13967700
2018-07-31,22.200001,22.709999,19.620001,22.590000,22.590000,13709600
2018-08-01,19.379999,21.400000,18.620001,20.309999,20.309999,19339000
2018-08-02,19.270000,20.180000,19.030001,19.660000,19.660000,9268500
2018-08-03,19.270000,20.270000,18.910000,19.070000,19.070000,6996400
2018-08-06,19.219999,21.090000,18.920000,20.160000,20.160000,8338600
2018-08-07,21.080000,21.900000,20.670000,20.889999,20.889999,7573000
2018-08-08,21.420000,21.459999,19.860001,20.270000,20.270000,3717300
2018-08-09,20.389999,20.559999,19.459999,20.000000,20.000000,4833500
2018-08-10,19.850000,20.030001,19.490000,19.510000,19.510000,2570300
2018-08-13,19.209999,20.100000,19.200001,19.440001,19.440001,2215000
2018-08-14,19.459999,19.520000,18.879999,19.000000,19.000000,8037800
2018-08-15,17.900000,18.500000,17.580000,17.700001,17.700001,11714100
2018-08-16,18.270000,19.100000,18.160000,19.040001,19.040001,5947200
2018-08-17,18.650000,19.030001,18.379999,19.000000,19.000000,2720500
2018-08-20,18.820000,19.340000,18.799999,18.950001,18.950001,3004500
2018-08-21,19.139999,19.500000,18.450001,18.750000,18.750000,3252000
2018-08-22,18.670000,18.950001,18.010000,18.400000,18.400000,4433700
2018-08-23,18.379999,18.799999,18.120001,18.309999,18.309999,6116100
2018-08-24,18.250000,18.500000,17.200001,17.219999,17.219999,7078400
2018-08-27,17.700001,19.209999,17.500000,19.170000,19.170000,5672500
2018-08-28,19.490000,19.959999,18.820000,19.540001,19.540001,4853900
2018-08-29,19.540001,21.240000,18.910000,21.150000,21.150000,5081000
2018-08-30,20.680000,20.850000,17.879999,17.990000,17.990000,9283500
2018-08-31,18.870001,19.670000,17.549999,19.350000,19.350000,10318400
2018-09-04,18.660000,21.180000,18.600000,20.750000,20.750000,10007500
2018-09-05,20.440001,20.450001,18.799999,18.799999,18.799999,7036900
2018-09-06,19.280001,19.780001,18.910000,19.110001,19.110001,3377700
2018-09-07,19.030001,20.250000,19.000000,19.570000,19.570000,4413300
2018-09-10,19.680000,20.049999,19.480000,19.740000,19.740000,2649300
2018-09-11,19.549999,23.770000,19.309999,23.570000,23.570000,10743600
2018-09-12,22.770000,23.750000,22.020000,23.040001,23.040001,8983000
2018-09-13,24.500000,30.480000,24.420000,29.959999,29.959999,17080800
2018-09-14,28.889999,30.000000,26.280001,26.340000,26.340000,16722800
2018-09-17,25.980000,27.879999,24.200001,24.360001,24.360001,7534400
2018-09-18,24.660000,25.660000,22.309999,22.639999,22.639999,6798300
2018-09-19,23.280001,24.360001,22.480000,23.000000,23.000000,4488000
2018-09-20,23.360001,25.250000,23.059999,24.650000,24.650000,5142500
2018-09-21,25.510000,26.590000,24.430000,25.600000,25.600000,6063500
2018-09-24,24.760000,27.129999,24.219999,26.490000,26.490000,4746800
2018-09-25,26.150000,27.799999,26.100000,26.940001,26.940001,4184600
2018-09-26,26.980000,27.110001,25.500000,26.059999,26.059999,4111400
2018-09-27,26.360001,26.590000,25.340000,26.330000,26.330000,3154700
2018-09-28,26.000000,26.299999,25.520000,26.290001,26.290001,2564700
