Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,50.020000,50.560001,49.189999,49.340000,48.040344,138900
2016-04-29,49.340000,49.580002,48.400002,49.169998,47.874813,315100
2016-05-02,49.330002,49.630001,48.750000,49.540001,48.235069,177100
2016-05-03,49.040001,49.869999,47.660000,47.750000,46.492218,207400
2016-05-04,47.130001,48.119999,46.560001,47.150002,46.043022,215900
2016-05-05,47.189999,47.480000,46.660000,46.970001,45.867245,227700
2016-05-06,46.810001,47.270000,46.340000,47.270000,46.160210,151000
2016-05-09,47.119999,47.529999,46.779999,47.320000,46.209030,211300
2016-05-10,47.639999,48.279999,47.400002,47.849998,46.726585,133000
2016-05-11,47.610001,48.209999,47.320000,47.400002,46.287155,90800
2016-05-12,47.770000,47.970001,46.950001,47.389999,46.277386,122600
2016-05-13,47.299999,47.910000,46.259998,46.520000,45.427818,108800
2016-05-16,46.400002,47.480000,46.400002,46.990002,45.886780,92000
2016-05-17,46.849998,47.470001,46.040001,46.500000,45.408279,212400
2016-05-18,46.450001,48.299999,46.450001,48.160000,47.029312,373600
2016-05-19,47.939999,49.040001,47.660000,48.009998,46.882824,233600
2016-05-20,48.330002,49.029999,48.160000,48.930000,47.781227,168500
2016-05-23,48.799999,49.209999,48.549999,48.759998,47.615215,127900
2016-05-24,49.090000,49.990002,49.090000,49.900002,48.728455,232400
2016-05-25,50.000000,50.849998,49.720001,50.130001,48.953056,194300
2016-05-26,50.020000,50.090000,49.330002,49.360001,48.201138,144200
2016-05-27,49.290001,49.660000,48.910000,49.660000,48.494095,201300
2016-05-31,49.700001,49.700001,48.660000,49.180000,48.025360,178300
2016-06-01,48.820000,49.639999,48.459999,49.490002,48.328083,119900
2016-06-02,49.389999,49.750000,49.000000,49.720001,48.552685,116900
2016-06-03,49.220001,49.369999,47.580002,49.340000,48.181599,197800
2016-06-06,49.330002,50.650002,49.330002,50.380001,49.197193,371300
2016-06-07,50.450001,50.470001,49.500000,49.610001,48.445267,227700
2016-06-08,49.560001,50.139999,49.150002,50.040001,48.865170,148000
2016-06-09,49.770000,49.980000,48.930000,49.700001,48.533150,202100
2016-06-10,49.049999,49.910000,48.779999,49.610001,48.445267,211700
2016-06-13,49.470001,49.860001,49.029999,49.230000,48.074196,255500
2016-06-14,48.919998,49.759998,48.630001,48.730000,47.585922,320800
2016-06-15,48.830002,49.459999,48.430000,48.509998,47.371090,241400
2016-06-16,48.220001,48.549999,47.650002,48.270000,47.136730,284100
2016-06-17,48.419998,48.660000,47.770000,48.169998,47.039074,395200
2016-06-20,48.810001,49.509998,48.810001,48.939999,47.790997,268700
2016-06-21,48.939999,49.820000,48.570000,49.770000,48.601513,761000
2016-06-22,49.779999,50.150002,49.060001,49.279999,48.123013,302500
2016-06-23,49.570000,50.980000,49.509998,50.980000,49.783100,385200
2016-06-24,48.310001,48.970001,46.660000,46.669998,45.574291,919300
2016-06-27,46.029999,46.869999,44.610001,45.150002,44.089981,484500
2016-06-28,45.840000,46.400002,45.150002,46.080002,44.998142,229700
2016-06-29,46.540001,47.610001,46.419998,47.599998,46.482460,208800
2016-06-30,47.709999,48.849998,47.169998,48.849998,47.703106,252900
2016-07-01,48.529999,48.529999,47.330002,48.490002,47.351566,361700
2016-07-05,47.919998,48.060001,47.119999,47.439999,46.326214,330900
2016-07-06,46.910000,47.889999,46.820000,47.860001,46.736355,215100
2016-07-07,48.090000,48.639999,47.820000,48.400002,47.263676,144600
2016-07-08,49.000000,49.750000,48.810001,49.720001,48.552685,278400
2016-07-11,50.000000,50.470001,49.779999,50.240002,49.060474,297500
2016-07-12,50.250000,52.880001,50.169998,52.689999,51.452950,506800
2016-07-13,52.040001,52.790001,52.040001,52.630001,51.394367,270600
2016-07-14,53.480000,54.090000,53.090000,53.689999,52.429478,435800
2016-07-15,54.340000,54.340000,53.790001,54.099998,52.829849,364200
2016-07-18,53.900002,54.040001,53.389999,53.669998,52.409946,186900
2016-07-19,53.360001,54.279999,53.360001,53.660000,52.400185,182600
2016-07-20,54.230000,54.230000,53.279999,53.590000,52.331825,156900
2016-07-21,53.410000,54.040001,52.580002,52.740002,51.501781,213700
2016-07-22,52.910000,53.570000,52.599998,53.459999,52.204876,241300
2016-07-25,53.570000,54.259998,52.959999,53.450001,52.195118,159100
2016-07-26,53.450001,53.820000,53.290001,53.540001,52.282993,192100
2016-07-27,53.459999,54.150002,53.459999,53.849998,52.585724,99700
2016-07-28,53.639999,53.900002,53.130001,53.630001,52.370888,186800
2016-07-29,53.439999,53.910000,53.070000,53.110001,51.863094,244200
