Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,3.570000,3.740000,3.510000,3.540000,3.540000,107100
2016-04-29,3.540000,3.650000,3.380000,3.520000,3.520000,81500
2016-05-02,3.540000,3.700000,3.490000,3.610000,3.610000,94200
2016-05-03,3.560000,3.620000,3.410000,3.430000,3.430000,45800
2016-05-04,3.470000,3.470000,3.250000,3.260000,3.260000,98900
2016-05-05,3.300000,3.580000,3.260000,3.400000,3.400000,62600
2016-05-06,3.360000,3.450000,3.260000,3.440000,3.440000,148400
2016-05-09,3.410000,3.570000,3.320000,3.440000,3.440000,50300
2016-05-10,3.490000,3.630000,3.460000,3.530000,3.530000,40600
2016-05-11,3.360000,3.370000,3.070000,3.110000,3.110000,202900
2016-05-12,3.110000,3.110000,2.940000,3.100000,3.100000,628800
2016-05-13,3.050000,3.180000,3.050000,3.160000,3.160000,68000
2016-05-16,3.130000,3.230000,3.010000,3.040000,3.040000,83700
2016-05-17,3.050000,3.140000,2.940000,2.990000,2.990000,102900
2016-05-18,3.070000,3.100000,3.010000,3.060000,3.060000,27600
2016-05-19,3.000000,3.090000,2.960000,3.080000,3.080000,73600
2016-05-20,3.100000,3.450000,3.050000,3.330000,3.330000,115400
2016-05-23,3.340000,3.450000,3.300000,3.330000,3.330000,98100
2016-05-24,3.330000,3.460000,3.330000,3.450000,3.450000,184900
2016-05-25,3.490000,3.530000,3.410000,3.500000,3.500000,217700
2016-05-26,3.450000,3.560000,3.430000,3.550000,3.550000,78100
2016-05-27,3.500000,3.660000,3.500000,3.660000,3.660000,83100
2016-05-31,3.660000,3.740000,3.570000,3.700000,3.700000,103800
2016-06-01,3.570000,3.730000,3.570000,3.680000,3.680000,64500
2016-06-02,3.670000,3.720000,3.220000,3.670000,3.670000,121100
2016-06-03,3.650000,3.650000,3.500000,3.560000,3.560000,82500
2016-06-06,3.540000,3.750000,3.260000,3.680000,3.680000,68900
2016-06-07,3.650000,3.790000,3.620000,3.780000,3.780000,89500
2016-06-08,3.780000,3.840000,3.700000,3.810000,3.810000,42900
2016-06-09,3.800000,3.810000,3.690000,3.780000,3.780000,86700
2016-06-10,3.690000,3.720000,3.490000,3.540000,3.540000,141000
2016-06-13,3.530000,3.620000,3.270000,3.390000,3.390000,86300
2016-06-14,3.340000,3.540000,3.310000,3.410000,3.410000,53800
2016-06-15,3.460000,3.460000,3.330000,3.340000,3.340000,35700
2016-06-16,3.270000,3.310000,3.200000,3.240000,3.240000,57300
2016-06-17,3.250000,3.300000,3.200000,3.260000,3.260000,124800
2016-06-20,3.330000,3.430000,3.290000,3.310000,3.310000,53700
2016-06-21,3.330000,3.340000,3.180000,3.200000,3.200000,81700
2016-06-22,3.220000,3.240000,2.820000,3.170000,3.170000,68800
2016-06-23,3.210000,3.280000,3.180000,3.190000,3.190000,110500
2016-06-24,3.000000,3.190000,2.950000,3.090000,3.090000,303400
2016-06-27,3.060000,3.170000,2.940000,3.150000,3.150000,113400
2016-06-28,3.200000,3.370000,3.150000,3.250000,3.250000,68000
2016-06-29,3.300000,3.420000,3.250000,3.410000,3.410000,59500
2016-06-30,3.450000,3.590000,3.370000,3.550000,3.550000,99200
2016-07-01,3.610000,3.610000,3.500000,3.560000,3.560000,42700
2016-07-05,3.820000,3.820000,3.320000,3.400000,3.400000,42800
2016-07-06,3.350000,3.630000,3.310000,3.340000,3.340000,71700
2016-07-07,3.380000,3.400000,3.120000,3.260000,3.260000,96700
2016-07-08,3.310000,3.420000,3.130000,3.400000,3.400000,111100
2016-07-11,3.400000,3.630000,3.190000,3.560000,3.560000,135500
2016-07-12,3.550000,3.670000,3.410000,3.600000,3.600000,110100
2016-07-13,3.600000,3.690000,3.560000,3.660000,3.660000,61100
2016-07-14,3.680000,3.780000,3.540000,3.720000,3.720000,36000
2016-07-15,3.720000,4.000000,3.670000,3.990000,3.990000,64000
2016-07-18,3.990000,4.060000,3.960000,4.020000,4.020000,44400
2016-07-19,4.040000,4.050000,3.890000,3.970000,3.970000,37600
2016-07-20,4.010000,4.010000,3.890000,3.930000,3.930000,23300
2016-07-21,3.960000,4.000000,3.800000,3.810000,3.810000,25900
2016-07-22,3.830000,3.880000,3.750000,3.860000,3.860000,22500
2016-07-25,3.850000,3.850000,3.760000,3.780000,3.780000,26800
2016-07-26,3.810000,3.820000,3.540000,3.600000,3.600000,64500
2016-07-27,3.580000,3.730000,3.570000,3.700000,3.700000,80800
2016-07-28,3.560000,3.770000,3.560000,3.690000,3.690000,39500
2016-07-29,3.660000,3.680000,3.590000,3.630000,3.630000,92000
2016-08-01,3.620000,3.740000,3.460000,3.650000,3.650000,56900
2016-08-02,3.620000,3.620000,3.480000,3.520000,3.520000,45700
2016-08-03,3.530000,3.600000,3.500000,3.590000,3.590000,34200
2016-08-04,3.650000,3.680000,3.440000,3.460000,3.460000,65000
2016-08-05,3.460000,3.500000,3.420000,3.460000,3.460000,54000
2016-08-08,3.450000,3.500000,3.400000,3.470000,3.470000,35800
2016-08-09,3.450000,3.500000,3.370000,3.370000,3.370000,56300
2016-08-10,3.420000,3.420000,3.050000,3.190000,3.190000,70600
2016-08-11,3.190000,3.250000,3.160000,3.220000,3.220000,70900
2016-08-12,3.210000,3.230000,3.170000,3.220000,3.220000,48200
2016-08-15,3.170000,3.350000,3.170000,3.320000,3.320000,70200
2016-08-16,3.290000,3.580000,3.280000,3.370000,3.370000,49300
2016-08-17,3.360000,3.490000,3.210000,3.310000,3.310000,36700
2016-08-18,3.300000,3.480000,3.260000,3.300000,3.300000,69900
2016-08-19,3.300000,3.300000,3.120000,3.170000,3.170000,80700
2016-08-22,3.150000,3.200000,3.120000,3.150000,3.150000,65000
2016-08-23,3.130000,3.210000,3.130000,3.190000,3.190000,38600
2016-08-24,3.180000,3.410000,3.080000,3.140000,3.140000,72200
2016-08-25,3.100000,3.350000,3.100000,3.150000,3.150000,30200
2016-08-26,3.320000,3.360000,3.050000,3.090000,3.090000,35600
2016-08-29,3.060000,3.090000,3.020000,3.070000,3.070000,53800
2016-08-30,3.050000,3.210000,3.050000,3.100000,3.100000,29800
2016-08-31,3.130000,3.160000,3.020000,3.060000,3.060000,115900
2016-09-01,3.070000,3.200000,3.040000,3.190000,3.190000,57300
2016-09-02,3.190000,3.360000,3.190000,3.360000,3.360000,49400
2016-09-06,3.340000,3.450000,3.340000,3.440000,3.440000,35900
2016-09-07,3.440000,3.500000,3.420000,3.480000,3.480000,50000
2016-09-08,3.470000,3.480000,3.380000,3.470000,3.470000,70300
2016-09-09,3.410000,3.440000,3.160000,3.220000,3.220000,55200
2016-09-12,3.220000,3.380000,3.200000,3.260000,3.260000,79700
2016-09-13,3.290000,3.290000,3.060000,3.060000,3.060000,96900
2016-09-14,3.040000,3.110000,2.970000,3.030000,3.030000,140600
2016-09-15,3.060000,3.110000,2.990000,3.020000,3.020000,64600
2016-09-16,3.040000,3.310000,3.000000,3.230000,3.230000,151100
2016-09-19,3.270000,3.270000,3.130000,3.190000,3.190000,64800
2016-09-20,3.230000,3.230000,3.060000,3.090000,3.090000,69200
2016-09-21,3.070000,3.250000,3.070000,3.110000,3.110000,120300
2016-09-22,3.160000,3.160000,3.080000,3.120000,3.120000,104700
2016-09-23,3.110000,3.370000,3.070000,3.110000,3.110000,67700
2016-09-26,3.100000,3.110000,3.050000,3.060000,3.060000,74600
2016-09-27,3.150000,3.150000,3.030000,3.060000,3.060000,69800
2016-09-28,3.040000,3.100000,2.810000,3.040000,3.040000,79700
2016-09-29,3.060000,3.130000,3.000000,3.010000,3.010000,54900
2016-09-30,3.030000,3.130000,3.000000,3.020000,3.020000,133400
