Date,Open,High,Low,Close,Adj Close,Volume
2017-03-16,2.750000,2.750000,2.670000,2.750000,2.750000,153500
2017-03-17,2.750000,2.900000,2.701000,2.900000,2.900000,235700
2017-03-20,2.900000,2.930000,2.800000,2.900000,2.900000,161200
2017-03-21,2.910000,2.910000,2.730000,2.750000,2.750000,192900
2017-03-22,2.800000,2.930000,2.670000,2.720000,2.720000,187000
2017-03-23,2.700000,2.900000,2.640000,2.890000,2.890000,206600
2017-03-24,2.900000,2.900000,2.750000,2.830000,2.830000,147900
2017-03-27,2.830000,2.900000,2.750000,2.900000,2.900000,203700
2017-03-28,2.860000,2.890000,2.790000,2.850000,2.850000,151900
2017-03-29,2.890000,2.900000,2.860000,2.890000,2.890000,172600
2017-03-30,2.900000,3.050000,2.860000,2.980000,2.980000,608100
2017-03-31,3.040000,3.130000,2.990000,3.090000,3.090000,519900
2017-04-03,3.100000,3.100000,3.020000,3.080000,3.080000,159000
2017-04-04,3.100000,3.100000,3.030000,3.100000,3.100000,104500
2017-04-05,3.150000,3.240000,3.080000,3.160000,3.160000,89000
2017-04-06,3.100000,3.419000,3.100000,3.210000,3.210000,387600
2017-04-07,3.210000,3.270000,3.199000,3.270000,3.270000,284500
2017-04-10,3.300000,3.400000,3.250000,3.370000,3.370000,352400
2017-04-11,3.400000,3.500000,3.350000,3.430000,3.430000,474900
2017-04-12,3.430000,3.500000,3.400000,3.460000,3.460000,236300
2017-04-13,3.500000,3.500000,3.430000,3.500000,3.500000,189400
2017-04-17,3.500000,3.500000,3.420000,3.450000,3.450000,211700
2017-04-18,3.500000,3.520000,3.430000,3.450000,3.450000,346400
2017-04-19,3.450000,3.515000,3.435000,3.480000,3.480000,271400
2017-04-20,3.500000,3.600000,3.490000,3.590000,3.590000,300100
2017-04-21,3.600000,3.660000,3.500000,3.580000,3.580000,272800
2017-04-24,3.730000,3.760000,3.610000,3.750000,3.750000,461600
2017-04-25,3.850000,3.990000,3.750000,3.980000,3.980000,969600
2017-04-26,4.000000,4.000000,3.750000,3.910000,3.910000,633300
2017-04-27,3.950000,3.950000,3.790000,3.880000,3.880000,491000
2017-04-28,3.780000,3.940000,3.770000,3.890000,3.890000,642300
2017-05-01,3.960000,3.980000,3.930000,3.960000,3.960000,210900
2017-05-02,3.980000,3.990000,3.860000,3.960000,3.960000,280700
2017-05-03,3.980000,4.000000,3.850000,3.880000,3.880000,187400
2017-05-04,3.880000,3.950000,3.750000,3.890000,3.890000,448200
2017-05-05,3.920000,3.920000,3.660000,3.750000,3.750000,504300
2017-05-08,3.750000,3.755000,3.690000,3.740000,3.740000,231500
2017-05-09,3.750000,3.782000,3.310000,3.620000,3.620000,414600
2017-05-10,4.000000,4.000000,3.740000,3.820000,3.820000,395100
2017-05-11,3.830000,3.950000,3.770000,3.830000,3.830000,317900
