Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,10.960000,11.290000,10.960000,11.000000,11.000000,143100
2016-04-29,10.980000,10.990000,10.690000,10.800000,10.800000,187400
2016-05-02,10.800000,10.980000,10.710000,10.840000,10.840000,141700
2016-05-03,10.390000,10.810000,10.020000,10.500000,10.500000,523800
2016-05-04,10.500000,10.660000,10.400000,10.610000,10.610000,347900
2016-05-05,10.690000,10.860000,10.500000,10.640000,10.640000,174300
2016-05-06,10.530000,10.720000,10.500000,10.670000,10.670000,137900
2016-05-09,10.630000,10.860000,10.630000,10.710000,10.710000,152400
2016-05-10,10.720000,10.860000,10.670000,10.720000,10.720000,218700
2016-05-11,10.680000,10.860000,10.500000,10.630000,10.630000,193800
2016-05-12,10.650000,10.710000,10.400000,10.510000,10.510000,204900
2016-05-13,10.480000,10.590000,10.330000,10.540000,10.540000,285600
2016-05-16,10.550000,10.730000,10.390000,10.610000,10.610000,254900
2016-05-17,10.570000,10.800000,10.510000,10.570000,10.570000,214900
2016-05-18,10.560000,10.730000,10.520000,10.640000,10.640000,357500
2016-05-19,10.600000,10.790000,10.370000,10.510000,10.510000,344700
2016-05-20,10.540000,10.740000,10.540000,10.680000,10.680000,216300
2016-05-23,10.720000,11.000000,10.680000,10.700000,10.700000,200400
2016-05-24,10.740000,11.140000,10.720000,11.110000,11.110000,331000
2016-05-25,11.190000,11.640000,11.090000,11.520000,11.520000,685100
2016-05-26,11.510000,11.700000,11.340000,11.660000,11.660000,433400
2016-05-27,11.590000,11.920000,11.590000,11.690000,11.690000,193800
2016-05-31,11.700000,12.000000,11.420000,11.980000,11.980000,467300
2016-06-01,11.970000,12.210000,11.850000,12.130000,12.130000,177400
2016-06-02,12.130000,12.510000,12.130000,12.470000,12.470000,173100
2016-06-03,12.430000,12.540000,12.230000,12.260000,12.260000,95100
2016-06-06,12.230000,12.370000,12.020000,12.290000,12.290000,86700
2016-06-07,12.260000,12.760000,12.240000,12.480000,12.480000,239100
2016-06-08,12.470000,12.500000,12.220000,12.340000,12.340000,109600
2016-06-09,12.270000,12.500000,12.130000,12.230000,12.230000,111400
2016-06-10,12.090000,12.220000,11.900000,12.190000,12.190000,158200
2016-06-13,12.160000,12.260000,11.780000,11.890000,11.890000,205900
2016-06-14,11.920000,11.970000,11.850000,11.900000,11.900000,192200
2016-06-15,11.970000,12.270000,11.920000,12.040000,12.040000,208700
2016-06-16,11.920000,12.090000,11.560000,11.960000,11.960000,258700
2016-06-17,11.900000,11.950000,11.460000,11.630000,11.630000,444100
2016-06-20,11.810000,11.980000,11.760000,11.810000,11.810000,191800
2016-06-21,11.860000,11.920000,11.730000,11.830000,11.830000,209500
2016-06-22,11.810000,12.130000,11.720000,11.780000,11.780000,177100
2016-06-23,11.840000,12.060000,11.840000,12.000000,12.000000,136400
2016-06-24,11.400000,11.560000,10.680000,11.300000,11.300000,197700
2016-06-27,11.140000,11.140000,10.870000,10.930000,10.930000,393700
2016-06-28,11.040000,11.230000,10.890000,10.930000,10.930000,187900
2016-06-29,11.030000,11.210000,10.980000,11.060000,11.060000,174800
2016-06-30,11.040000,11.300000,10.980000,11.260000,11.260000,155500
2016-07-01,11.220000,11.680000,11.140000,11.250000,11.250000,51000
2016-07-05,11.250000,11.250000,10.950000,10.970000,10.970000,98100
2016-07-06,10.870000,11.350000,10.870000,11.330000,11.330000,172200
2016-07-07,11.380000,11.560000,11.350000,11.430000,11.430000,108700
2016-07-08,11.590000,11.980000,11.300000,11.870000,11.870000,183900
2016-07-11,11.990000,12.210000,11.970000,12.160000,12.160000,98500
2016-07-12,12.200000,12.590000,12.200000,12.500000,12.500000,115200
2016-07-13,12.520000,12.690000,12.500000,12.630000,12.630000,100000
2016-07-14,12.730000,12.730000,12.470000,12.500000,12.500000,166700
2016-07-15,12.530000,12.530000,12.280000,12.300000,12.300000,77700
2016-07-18,12.320000,12.470000,12.280000,12.320000,12.320000,57500
2016-07-19,12.280000,12.400000,12.140000,12.220000,12.220000,109300
2016-07-20,12.280000,12.500000,12.270000,12.490000,12.490000,105500
2016-07-21,12.470000,12.600000,12.340000,12.420000,12.420000,81300
2016-07-22,12.420000,12.550000,12.220000,12.460000,12.460000,83800
2016-07-25,12.410000,12.730000,12.410000,12.480000,12.480000,141200
2016-07-26,12.480000,12.620000,12.170000,12.450000,12.450000,485300
2016-07-27,12.490000,12.590000,12.240000,12.430000,12.430000,143200
2016-07-28,12.380000,12.460000,12.120000,12.390000,12.390000,353300
2016-07-29,12.340000,12.360000,12.080000,12.310000,12.310000,148600
2016-08-01,12.330000,12.710000,12.270000,12.360000,12.360000,114700
2016-08-02,12.320000,12.460000,12.250000,12.280000,12.280000,65000
2016-08-03,12.280000,12.560000,12.210000,12.390000,12.390000,83300
2016-08-04,12.350000,12.500000,12.320000,12.400000,12.400000,58100
2016-08-05,12.440000,12.720000,12.320000,12.640000,12.640000,89300
2016-08-08,12.600000,13.180000,12.600000,13.150000,13.150000,172300
2016-08-09,13.140000,13.380000,13.050000,13.170000,13.170000,142000
2016-08-10,13.170000,13.300000,13.110000,13.180000,13.180000,83100
2016-08-11,13.190000,13.340000,13.000000,13.220000,13.220000,62000
2016-08-12,13.200000,13.310000,13.080000,13.300000,13.300000,73200
2016-08-15,13.290000,13.580000,13.140000,13.430000,13.430000,116000
2016-08-16,13.360000,13.490000,13.310000,13.360000,13.360000,70300
2016-08-17,13.300000,13.660000,13.300000,13.370000,13.370000,100000
2016-08-18,13.350000,13.750000,13.350000,13.690000,13.690000,134900
2016-08-19,13.620000,13.720000,13.400000,13.460000,13.460000,80000
2016-08-22,13.390000,13.640000,13.170000,13.620000,13.620000,108900
2016-08-23,13.660000,13.970000,13.620000,13.640000,13.640000,80500
2016-08-24,13.590000,13.760000,13.320000,13.370000,13.370000,175000
2016-08-25,13.360000,13.560000,13.260000,13.530000,13.530000,82800
2016-08-26,13.580000,13.630000,13.110000,13.390000,13.390000,48700
2016-08-29,13.320000,13.500000,13.210000,13.420000,13.420000,52000
2016-08-30,13.340000,13.600000,13.250000,13.390000,13.390000,107600
2016-08-31,13.270000,13.560000,13.030000,13.550000,13.550000,189200
2016-09-01,13.520000,13.680000,13.410000,13.490000,13.490000,94100
2016-09-02,13.510000,13.620000,13.390000,13.490000,13.490000,103000
2016-09-06,13.490000,13.650000,13.370000,13.420000,13.420000,91000
2016-09-07,13.360000,13.590000,13.140000,13.580000,13.580000,82600
2016-09-08,13.600000,13.700000,13.520000,13.630000,13.630000,85500
2016-09-09,13.550000,13.750000,13.380000,13.430000,13.430000,154300
2016-09-12,13.300000,13.530000,13.200000,13.390000,13.390000,83900
2016-09-13,13.360000,13.630000,13.230000,13.390000,13.390000,138300
2016-09-14,13.390000,13.810000,13.370000,13.770000,13.770000,106500
2016-09-15,13.740000,13.840000,13.660000,13.750000,13.750000,103400
2016-09-16,13.700000,13.880000,13.690000,13.790000,13.790000,371200
2016-09-19,13.760000,13.940000,13.760000,13.870000,13.870000,574800
2016-09-20,13.870000,13.970000,13.690000,13.690000,13.690000,143800
2016-09-21,13.650000,13.910000,13.650000,13.770000,13.770000,234000
2016-09-22,13.850000,13.860000,13.790000,13.790000,13.790000,200500
2016-09-23,13.840000,13.850000,13.750000,13.770000,13.770000,176700
2016-09-26,13.750000,13.750000,13.600000,13.630000,13.630000,134200
2016-09-27,13.640000,13.840000,13.600000,13.790000,13.790000,229500
2016-09-28,13.750000,13.850000,13.750000,13.790000,13.790000,246900
2016-09-29,13.780000,13.850000,13.600000,13.650000,13.650000,147400
2016-09-30,13.670000,13.780000,13.590000,13.740000,13.740000,317400
2016-10-03,13.670000,13.780000,13.610000,13.750000,13.750000,152400
2016-10-04,13.710000,13.800000,13.440000,13.610000,13.610000,573400
2016-10-05,13.600000,13.720000,13.420000,13.430000,13.430000,166900
2016-10-06,13.450000,13.490000,13.200000,13.430000,13.430000,184000
2016-10-07,13.480000,13.480000,13.150000,13.150000,13.150000,119100
2016-10-10,12.900000,12.990000,12.500000,12.590000,12.590000,508500
2016-10-11,12.600000,12.630000,12.280000,12.610000,12.610000,350700
2016-10-12,12.500000,12.640000,12.390000,12.480000,12.480000,253300
2016-10-13,12.440000,12.550000,12.230000,12.480000,12.480000,340400
2016-10-14,12.480000,12.510000,12.240000,12.290000,12.290000,363900
2016-10-17,12.340000,12.350000,12.110000,12.310000,12.310000,239300
2016-10-18,12.380000,12.440000,12.270000,12.350000,12.350000,213400
2016-10-19,12.350000,12.550000,12.280000,12.410000,12.410000,407200
2016-10-20,12.390000,12.560000,12.260000,12.430000,12.430000,286600
2016-10-21,12.410000,12.610000,12.270000,12.450000,12.450000,408800
2016-10-24,12.470000,13.070000,12.460000,12.950000,12.950000,430600
2016-10-25,12.890000,13.060000,12.830000,12.950000,12.950000,157000
2016-10-26,12.950000,13.350000,12.900000,13.180000,13.180000,208200
2016-10-27,13.270000,13.380000,13.070000,13.120000,13.120000,233900
2016-10-28,13.040000,13.380000,13.040000,13.350000,13.350000,247700
2016-10-31,13.420000,13.560000,13.120000,13.510000,13.510000,285600
2016-11-01,12.510000,12.950000,12.200000,12.330000,12.330000,723400
2016-11-02,11.970000,12.220000,11.460000,12.010000,12.010000,677000
2016-11-03,12.000000,12.110000,11.780000,11.960000,11.960000,253900
2016-11-04,12.060000,12.060000,11.800000,11.850000,11.850000,372500
2016-11-07,12.010000,12.340000,11.950000,12.290000,12.290000,324400
2016-11-08,12.340000,12.340000,12.120000,12.250000,12.250000,143200
2016-11-09,12.120000,12.510000,12.080000,12.480000,12.480000,238900
2016-11-10,12.580000,12.750000,12.370000,12.550000,12.550000,177700
2016-11-11,12.940000,13.440000,12.920000,13.140000,13.140000,417400
2016-11-14,13.160000,13.580000,13.160000,13.210000,13.210000,429200
2016-11-15,13.070000,13.270000,12.860000,13.110000,13.110000,334900
2016-11-16,13.120000,13.220000,12.960000,13.130000,13.130000,146600
2016-11-17,13.180000,13.280000,12.840000,13.260000,13.260000,191100
2016-11-18,13.220000,13.440000,13.220000,13.410000,13.410000,116800
2016-11-21,13.440000,13.600000,13.310000,13.550000,13.550000,168400
