Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,8.250000,8.450000,7.965000,8.020000,8.020000,704900
2016-04-29,8.020000,8.020000,7.689000,7.880000,7.880000,473300
2016-05-02,7.830000,8.080000,7.490000,7.970000,7.970000,1208100
2016-05-03,7.930000,8.080000,7.531000,7.590000,7.590000,580600
2016-05-04,7.640000,7.910000,7.440000,7.470000,7.470000,1050200
2016-05-05,7.520000,7.770000,7.210000,7.270000,7.270000,1170100
2016-05-06,7.250000,7.540000,7.190000,7.500000,7.500000,498500
2016-05-09,7.520000,7.550000,7.160000,7.390000,7.390000,611200
2016-05-10,7.070000,7.200000,6.300000,6.370000,6.370000,1710800
2016-05-11,6.360000,6.650000,6.350000,6.370000,6.370000,682500
2016-05-12,6.390000,6.530000,6.090000,6.150000,6.150000,664400
2016-05-13,7.170000,7.170000,6.400000,6.610000,6.610000,3046200
2016-05-16,6.340000,6.460000,5.890000,6.350000,6.350000,3101700
2016-05-17,6.100000,6.340000,5.800000,6.020000,6.020000,3680400
2016-05-18,5.980000,6.180000,5.830000,6.040000,6.040000,1458700
2016-05-19,6.000000,6.150000,5.920000,6.080000,6.080000,950900
2016-05-20,6.070000,6.150000,5.980000,6.110000,6.110000,795000
2016-05-23,6.060000,6.450000,6.000000,6.350000,6.350000,930900
2016-05-24,6.390000,6.490000,6.220000,6.340000,6.340000,668100
2016-05-25,6.340000,6.370000,6.230000,6.290000,6.290000,863900
2016-05-26,6.300000,6.440000,6.260000,6.360000,6.360000,386200
2016-05-27,6.410000,6.680000,6.302000,6.410000,6.410000,1339500
2016-05-31,6.370000,6.600000,6.220000,6.340000,6.340000,1146900
2016-06-01,6.290000,6.290000,6.150000,6.240000,6.240000,580400
2016-06-02,6.230000,6.310000,6.150000,6.310000,6.310000,388800
2016-06-03,6.300000,6.310000,6.020000,6.070000,6.070000,568400
2016-06-06,6.100000,6.535000,6.100000,6.440000,6.440000,775700
2016-06-07,6.380000,6.460000,6.250000,6.430000,6.430000,816700
2016-06-08,6.470000,6.590000,6.440000,6.520000,6.520000,743800
2016-06-09,6.490000,6.590000,6.390000,6.430000,6.430000,405900
2016-06-10,6.400000,6.510000,6.240000,6.300000,6.300000,831100
2016-06-13,6.260000,6.410000,5.915000,6.060000,6.060000,1096300
2016-06-14,5.930000,6.190000,5.860000,5.910000,5.910000,1169200
2016-06-15,5.880000,6.250000,5.830000,6.010000,6.010000,608200
2016-06-16,5.970000,6.110000,5.900000,6.030000,6.030000,637500
2016-06-17,6.060000,6.340000,5.980000,6.020000,6.020000,1084000
2016-06-20,6.000000,6.330000,6.000000,6.180000,6.180000,643400
2016-06-21,6.300000,6.300000,6.020000,6.230000,6.230000,758700
2016-06-22,6.340000,6.380000,5.830000,5.900000,5.900000,984300
2016-06-23,5.880000,6.060000,5.720000,5.890000,5.890000,1192000
2016-06-24,5.600000,5.730000,5.270000,5.590000,5.590000,5804200
2016-06-27,5.530000,5.590000,5.110000,5.220000,5.220000,1572400
2016-06-28,5.280000,5.500000,5.240000,5.490000,5.490000,869800
2016-06-29,5.540000,5.670000,5.430000,5.650000,5.650000,708200
2016-06-30,5.650000,5.950000,5.622000,5.930000,5.930000,717100
2016-07-01,5.880000,5.880000,5.160000,5.440000,5.440000,1900400
