Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,41.099998,41.099998,37.500000,39.330002,37.115990,1470500
2016-04-29,39.450001,39.480000,38.200001,38.549999,36.379906,721200
2016-05-02,38.840000,40.349998,38.549999,40.290001,38.021957,844800
2016-05-03,40.000000,40.650002,39.660000,40.580002,38.295631,769600
2016-05-04,40.509998,40.580002,39.310001,39.320000,37.106556,526400
2016-05-05,39.419998,39.549999,38.759998,39.160000,37.097088,354200
2016-05-06,39.090000,39.869999,38.610001,39.750000,37.656006,412900
2016-05-09,39.099998,40.599998,39.099998,40.439999,38.309658,461700
2016-05-10,40.430000,40.570000,39.919998,40.270000,38.148609,285700
2016-05-11,40.080002,40.900002,39.970001,40.410000,38.281235,289500
2016-05-12,40.480000,40.480000,39.000000,39.709999,37.618111,367500
2016-05-13,39.740002,40.060001,39.500000,39.889999,37.788628,207100
2016-05-16,39.830002,41.849998,39.830002,41.660000,39.465393,819400
2016-05-17,41.549999,41.549999,40.110001,40.470001,38.338078,410300
2016-05-18,40.700001,41.389999,40.310001,41.139999,38.972782,313100
2016-05-19,40.740002,40.980000,40.259998,40.630001,38.489643,201100
2016-05-20,40.990002,42.200001,40.599998,42.189999,39.967468,530200
2016-05-23,42.270000,42.840000,41.730000,41.959999,39.749584,588700
2016-05-24,42.020000,43.720001,41.939999,43.650002,41.350555,618400
2016-05-25,43.750000,43.849998,42.320000,42.540001,40.299030,386500
2016-05-26,42.330002,43.759998,42.279999,43.290001,41.009521,340200
2016-05-27,43.599998,44.779999,43.169998,44.700001,42.345245,641700
2016-05-31,44.930000,44.959999,44.250000,44.450001,42.108418,456600
2016-06-01,44.470001,45.790001,44.060001,45.669998,43.264145,607300
2016-06-02,45.950001,46.209999,44.110001,44.500000,42.155777,825300
2016-06-03,44.799999,45.110001,44.400002,44.759998,42.402081,390000
2016-06-06,45.000000,45.099998,44.340000,44.950001,42.582069,269800
2016-06-07,45.000000,45.639999,44.630001,45.360001,42.970474,235100
2016-06-08,45.439999,45.900002,44.619999,45.689999,43.283089,256900
2016-06-09,45.360001,45.939999,45.360001,45.610001,43.207306,249600
2016-06-10,45.060001,45.130001,44.090000,44.310001,41.975788,321500
2016-06-13,44.000000,44.880001,43.860001,44.430000,42.089466,303500
2016-06-14,44.520000,45.779999,44.240002,45.480000,43.084152,473300
2016-06-15,45.580002,46.730000,45.580002,46.419998,43.974636,492700
2016-06-16,46.529999,46.529999,45.060001,45.889999,43.472561,456000
2016-06-17,45.790001,45.930000,44.720001,45.009998,42.638916,557700
2016-06-20,45.840000,45.840000,45.029999,45.060001,42.686272,365300
2016-06-21,45.389999,45.759998,45.220001,45.419998,43.027313,298600
2016-06-22,45.490002,45.810001,44.930000,45.410000,43.017845,429300
2016-06-23,45.400002,46.049999,45.320000,46.049999,43.624126,311300
2016-06-24,43.750000,44.610001,42.500000,43.869999,41.558964,610300
2016-06-27,43.490002,43.599998,42.500000,42.820000,40.564281,533900
2016-06-28,43.380001,44.930000,43.000000,44.720001,42.364189,445200
2016-06-29,45.259998,46.000000,44.939999,45.919998,43.500969,411300
2016-06-30,46.049999,47.799999,45.830002,47.799999,45.281944,617400
2016-07-01,47.880001,48.549999,47.500000,47.810001,45.291412,474200
2016-07-05,47.970001,48.419998,47.410000,47.740002,45.225098,400200
2016-07-06,47.720001,49.049999,47.500000,47.939999,45.414562,635500
2016-07-07,52.119999,52.880001,49.299999,50.389999,47.735504,2842300
2016-07-08,50.900002,52.680000,50.900002,52.200001,49.450150,1155600
2016-07-11,52.840000,53.560001,52.570000,53.310001,50.501678,597400
2016-07-12,53.880001,54.799999,52.660000,52.970001,50.179592,500500
2016-07-13,52.660000,53.330002,52.029999,52.430000,49.668034,796700
2016-07-14,53.419998,53.419998,52.299999,52.880001,50.094330,482000
2016-07-15,53.000000,53.000000,52.250000,52.740002,49.961704,401300
2016-07-18,52.740002,54.730000,52.740002,54.220001,51.363735,551300
2016-07-19,54.259998,55.950001,54.259998,55.669998,52.737354,700400
2016-07-20,55.990002,56.209999,54.930000,55.549999,52.623676,801300
2016-07-21,55.389999,55.790001,53.770000,53.869999,51.032169,958100
2016-07-22,53.389999,54.110001,49.779999,51.529999,48.815445,2123900
2016-07-25,52.279999,52.480000,50.500000,51.639999,48.919643,733600
2016-07-26,51.840000,52.619999,51.439999,52.490002,49.724869,715600
2016-07-27,53.000000,53.230000,51.910000,52.610001,49.838551,424200
2016-07-28,52.860001,52.860001,51.689999,51.849998,49.118587,360200
2016-07-29,51.549999,51.889999,50.930000,51.700001,48.976490,397900
2016-08-01,51.700001,53.500000,51.490002,52.750000,49.971172,672500
2016-08-02,52.750000,53.240002,52.090000,52.150002,49.402782,653800
2016-08-03,52.250000,53.220001,52.150002,52.840000,50.200832,562300
2016-08-04,53.000000,54.250000,53.000000,54.139999,51.435909,488300
2016-08-05,54.220001,54.500000,52.660000,53.459999,50.789860,490600
2016-08-08,53.680000,54.360001,53.369999,53.549999,50.875370,280000
2016-08-09,53.580002,54.939999,53.549999,54.779999,52.043930,488600
2016-08-10,54.990002,54.990002,53.400002,54.110001,51.407394,253500
2016-08-11,54.009998,54.750000,53.389999,53.689999,51.008377,217100
2016-08-12,53.939999,54.290001,53.590000,54.200001,51.492905,282400
2016-08-15,54.430000,54.599998,53.959999,54.560001,51.834927,398500
2016-08-16,54.730000,55.000000,54.000000,54.169998,51.464397,370800
2016-08-17,54.290001,54.570000,53.709999,54.330002,51.616409,279300
2016-08-18,54.689999,55.400002,54.529999,55.400002,52.632961,407900
2016-08-19,55.430000,55.599998,54.110001,54.150002,51.445404,435100
2016-08-22,54.090000,54.320000,53.009998,53.330002,50.666355,481500
2016-08-23,53.529999,53.660000,52.500000,52.689999,50.058319,480900
2016-08-24,52.380001,52.490002,50.700001,50.950001,48.405231,587300
2016-08-25,50.680000,50.939999,47.599998,48.869999,46.429115,1637700
2016-08-26,49.360001,52.360001,49.110001,50.619999,48.091717,1318000
2016-08-29,50.520000,51.439999,50.119999,50.189999,47.683189,457200
2016-08-30,50.009998,50.660000,49.299999,49.889999,47.398174,644100
2016-08-31,49.419998,50.580002,49.139999,50.480000,47.958710,506900
2016-09-01,50.299999,52.349998,49.689999,51.490002,48.918259,1077300
2016-09-02,52.220001,54.189999,52.009998,53.529999,50.856373,708500
2016-09-06,53.930000,54.770000,52.209999,52.759998,50.124828,589200
2016-09-07,52.849998,55.849998,52.759998,55.849998,53.060490,1834000
2016-09-08,56.000000,56.250000,54.299999,54.830002,52.091434,894900
2016-09-09,54.279999,54.279999,51.580002,51.799999,49.212772,766000
2016-09-12,51.130001,51.840000,49.860001,51.799999,49.212772,910100
2016-09-13,51.220001,51.869999,50.480000,51.009998,48.462227,361800
2016-09-14,51.119999,51.389999,50.209999,50.610001,48.082211,680000
2016-09-15,50.799999,51.500000,50.759998,51.099998,48.547733,497200
2016-09-16,51.389999,51.459999,50.119999,50.560001,48.034714,373300
2016-09-19,50.799999,51.549999,50.130001,50.169998,47.664185,787400
2016-09-20,50.009998,50.980000,50.000000,50.360001,47.844696,398600
2016-09-21,50.430000,50.799999,49.209999,50.490002,47.968204,762200
2016-09-22,50.630001,51.369999,50.450001,51.130001,48.576237,651800
2016-09-23,50.730000,51.480000,50.200001,50.259998,47.749691,255800
2016-09-26,49.919998,50.209999,49.220001,49.439999,46.970650,546900
2016-09-27,49.259998,49.400002,48.330002,48.709999,46.277103,881500
2016-09-28,48.669998,51.299999,48.250000,51.150002,48.595238,1860200
2016-09-29,51.529999,51.970001,50.630001,51.709999,49.127270,805900
2016-09-30,51.880001,53.299999,51.770000,51.790001,49.203278,660900
2016-10-03,52.330002,52.860001,51.330002,51.570000,48.994263,505800
2016-10-04,51.650002,51.689999,50.650002,50.810001,48.272221,385100
2016-10-05,51.150002,52.290001,50.509998,51.770000,49.184273,281800
2016-10-06,51.590000,51.639999,50.700001,51.369999,48.804256,511600
2016-10-07,53.000000,55.000000,52.840000,53.169998,50.514351,1313300
2016-10-10,53.500000,54.009998,52.799999,53.099998,50.447842,418000
2016-10-11,52.630001,53.939999,52.369999,52.660000,50.029823,667500
2016-10-12,52.500000,53.090000,50.919998,51.060001,48.509731,488100
2016-10-13,50.279999,50.590000,47.250000,47.570000,45.194046,1596900
2016-10-14,48.110001,49.669998,47.950001,48.259998,45.849583,725700
2016-10-17,48.410000,49.040001,47.459999,47.490002,45.118042,428000
2016-10-18,47.880001,48.529999,46.430000,46.720001,44.386501,690000
2016-10-19,47.330002,47.500000,46.119999,46.270000,43.958977,457400
2016-10-20,46.020000,46.330002,45.110001,45.500000,43.227436,755600
2016-10-21,45.439999,45.490002,44.230000,45.209999,42.951920,632000
2016-10-24,45.560001,47.599998,45.549999,47.529999,45.156044,1184600
2016-10-25,47.299999,47.520000,45.570000,45.930000,43.635960,470400
2016-10-26,46.169998,47.860001,45.020000,46.619999,44.291496,765600
2016-10-27,47.139999,47.750000,46.119999,46.410000,44.091984,498600
2016-10-28,44.910000,45.490002,40.389999,40.430000,38.410664,3001100
2016-10-31,40.450001,43.160000,40.450001,40.610001,38.581676,1290200
2016-11-01,40.919998,41.520000,40.610001,41.500000,39.427223,1067100
2016-11-02,41.599998,42.590000,41.270000,42.349998,40.234768,1030100
2016-11-03,42.330002,43.099998,42.160000,42.380001,40.454319,669500
2016-11-04,42.320000,42.680000,41.709999,42.040001,40.129768,507900
2016-11-07,42.799999,43.369999,41.950001,42.349998,40.425671,500600
2016-11-08,42.130001,42.740002,41.369999,42.230000,40.311134,415100
2016-11-09,40.580002,42.900002,40.099998,42.709999,40.769318,442700
2016-11-10,43.169998,43.470001,41.900002,42.139999,40.225220,611200
2016-11-11,42.000000,43.570000,41.580002,43.470001,41.494797,480900
2016-11-14,43.369999,45.080002,43.250000,43.869999,41.876606,730300
2016-11-15,44.750000,46.450001,44.189999,46.250000,44.148472,794500
2016-11-16,46.740002,48.250000,45.950001,46.130001,44.033924,733500
2016-11-17,46.009998,46.380001,44.869999,45.680000,43.604366,464100
2016-11-18,45.910000,46.630001,44.750000,46.450001,44.339378,681500
2016-11-21,47.000000,47.490002,45.430000,46.180000,44.081654,629900
2016-11-22,46.200001,47.200001,46.049999,46.639999,44.520744,346700
2016-11-23,46.680000,47.130001,46.200001,46.529999,44.415749,201700
2016-11-25,46.549999,46.630001,45.930000,46.150002,44.053013,173400
2016-11-28,46.000000,46.419998,45.189999,45.810001,43.728462,603400
2016-11-29,45.480000,47.349998,45.169998,46.410000,44.301201,449400
2016-11-30,46.450001,46.799999,45.869999,45.990002,43.900288,297700
2016-12-01,45.900002,46.259998,44.279999,44.590000,42.563900,809900
2016-12-02,44.369999,45.049999,42.889999,43.389999,41.418427,942400
2016-12-05,43.840000,44.200001,43.439999,44.090000,42.086620,296800
2016-12-06,44.459999,46.509998,44.430000,45.250000,43.193913,758500
2016-12-07,45.169998,45.450001,44.470001,45.400002,43.337097,348700
2016-12-08,45.419998,46.500000,45.369999,45.630001,43.556641,323000
2016-12-09,46.490002,46.490002,44.500000,44.860001,42.821629,781100
2016-12-12,44.509998,44.520000,43.259998,43.650002,41.666611,480300
2016-12-13,44.299999,45.290001,43.730000,44.720001,42.687984,470200
2016-12-14,44.700001,44.790001,43.250000,43.470001,41.494797,432200
2016-12-15,43.500000,43.980000,42.630001,43.919998,41.924343,530000
2016-12-16,44.169998,44.430000,43.529999,44.209999,42.201160,386900
2016-12-19,43.820000,44.240002,43.299999,43.970001,41.972073,334000
2016-12-20,43.700001,44.650002,43.450001,44.259998,42.248890,351900
2016-12-21,44.330002,46.330002,43.950001,46.040001,43.948009,587500
2016-12-22,46.500000,47.430000,45.490002,45.630001,43.556641,504900
2016-12-23,45.480000,45.759998,44.450001,45.070000,43.022087,254400
2016-12-27,45.310001,45.410000,44.570000,44.619999,42.592529,295600
2016-12-28,44.630001,44.820000,43.369999,43.500000,41.523422,328800
2016-12-29,43.529999,43.959999,42.610001,43.570000,41.590244,321600
2016-12-30,43.380001,43.930000,42.410000,42.480000,40.549770,395600
2017-01-03,42.830002,45.180000,42.689999,44.849998,42.812084,604400
2017-01-04,45.000000,45.389999,43.720001,44.240002,42.229805,390300
2017-01-05,44.299999,44.700001,43.610001,43.660000,41.676159,195600
2017-01-06,44.380001,45.450001,43.900002,44.910000,42.869354,664800
2017-01-09,44.939999,45.520000,43.910000,44.160000,42.153435,461800
2017-01-10,43.810001,44.200001,40.689999,42.000000,40.091579,1772100
2017-01-11,42.250000,44.349998,42.119999,44.200001,42.191616,747000
2017-01-12,43.750000,44.049999,41.799999,41.919998,40.015213,882500
2017-01-13,42.240002,43.730000,41.950001,43.310001,41.342060,470600
2017-01-17,43.250000,43.250000,42.330002,42.840000,40.893414,338000
2017-01-18,43.049999,43.680000,42.930000,43.619999,41.637966,381600
2017-01-19,43.009998,43.639999,42.139999,42.290001,40.368412,753000
2017-01-20,41.990002,44.439999,41.759998,42.740002,40.797962,1109700
2017-01-23,42.869999,43.549999,41.020000,43.340000,41.370697,1844600
2017-01-24,41.500000,44.099998,40.919998,41.150002,39.280205,3661900
2017-01-25,41.220001,42.130001,40.799999,40.980000,39.117928,1142300
2017-01-26,40.810001,41.419998,39.259998,40.110001,38.287460,1263700
2017-01-27,40.110001,40.410000,39.250000,39.830002,38.020184,752200
2017-01-30,39.599998,39.810001,38.799999,39.419998,37.628815,601700
2017-01-31,38.959999,39.610001,38.849998,39.099998,37.323353,467700
2017-02-01,39.430000,39.650002,37.369999,38.900002,37.132442,1355000
2017-02-02,38.590000,39.369999,38.389999,38.939999,37.170628,453800
2017-02-03,39.080002,40.080002,39.080002,39.540001,37.743366,395400
2017-02-06,39.450001,40.040001,39.009998,39.090000,37.313808,364800
2017-02-07,39.340000,39.400002,38.590000,38.930000,37.161083,360000
2017-02-08,39.060001,41.500000,38.930000,40.310001,38.478371,1424200
2017-02-09,39.910000,40.099998,39.400002,39.959999,38.334473,797300
2017-02-10,40.250000,42.189999,40.029999,41.910000,40.205154,1136500
2017-02-13,42.139999,42.330002,41.209999,41.790001,40.090031,884000
2017-02-14,41.779999,42.290001,41.099998,41.939999,40.233932,378700
2017-02-15,41.750000,42.220001,41.410000,41.849998,40.147594,481000
2017-02-16,41.610001,42.290001,41.419998,42.160000,40.444981,446200
2017-02-17,41.950001,42.040001,41.549999,41.849998,40.147594,419500
2017-02-21,41.869999,42.619999,41.840000,42.570000,40.838303,346300
2017-02-22,42.160000,42.770000,41.900002,42.349998,40.627254,357400
2017-02-23,42.369999,42.369999,41.599998,42.009998,40.301083,366300
2017-02-24,41.410000,41.779999,40.700001,41.029999,39.360950,647200
2017-02-27,41.060001,41.410000,40.430000,40.799999,39.140301,367600
2017-02-28,40.689999,40.900002,40.310001,40.590000,38.938847,436200
2017-03-01,40.959999,41.169998,39.910000,40.930000,39.265018,932200
2017-03-02,41.500000,41.810001,40.520000,40.680000,39.025188,615800
2017-03-03,40.740002,40.980000,40.150002,40.910000,39.245831,275900
2017-03-06,40.830002,40.860001,40.080002,40.720001,39.063560,279600
2017-03-07,40.869999,41.669998,40.430000,41.360001,39.677528,353400
2017-03-08,41.470001,43.080002,41.130001,42.709999,40.972610,1156000
2017-03-09,42.730000,44.450001,42.669998,44.160000,42.363625,1153800
2017-03-10,43.529999,45.060001,43.430000,45.000000,43.169456,1139300
2017-03-13,44.900002,45.250000,44.529999,45.189999,43.351723,439700
2017-03-14,45.000000,45.259998,44.400002,44.709999,42.891247,391300
2017-03-15,44.709999,44.709999,43.779999,44.470001,42.661018,443800
2017-03-16,44.709999,44.970001,44.020000,44.119999,42.325249,352500
2017-03-17,44.000000,44.669998,43.700001,44.320000,42.517117,496600
2017-03-20,44.389999,45.049999,44.009998,45.009998,43.179047,418700
2017-03-21,45.009998,45.029999,43.750000,43.860001,42.075832,822300
2017-03-22,44.000000,44.730000,43.740002,44.700001,42.881660,594800
2017-03-23,44.590000,45.000000,44.290001,44.720001,42.900845,340400
2017-03-24,44.990002,45.720001,44.660000,44.750000,42.929626,593400
2017-03-27,44.689999,45.070000,44.099998,44.990002,43.159863,411800
2017-03-28,45.130001,45.480000,44.730000,44.930000,43.102306,173900
2017-03-29,45.119999,46.709999,44.900002,46.500000,44.608437,974400
2017-03-30,46.080002,46.900002,45.660000,46.349998,44.464535,545700
2017-03-31,46.450001,47.330002,46.040001,46.750000,44.848267,632700
2017-04-03,47.040001,47.130001,46.290001,46.570000,44.675591,651900
2017-04-04,46.439999,46.580002,45.130001,46.099998,44.224709,805600
2017-04-05,46.180000,46.639999,45.700001,45.799999,43.936913,358200
2017-04-06,45.520000,46.320000,45.520000,46.099998,44.224709,226700
2017-04-07,47.250000,47.459999,45.619999,46.200001,44.320644,976800
2017-04-10,46.689999,48.189999,46.689999,47.680000,45.740433,948500
2017-04-11,47.340000,47.930000,46.279999,46.990002,45.078510,701600
2017-04-12,47.189999,47.570000,46.540001,46.830002,44.925014,1011200
2017-04-13,46.730000,47.230000,46.130001,46.139999,44.263081,387500
2017-04-17,46.299999,46.299999,45.470001,45.740002,43.879353,417100
2017-04-18,45.380001,46.250000,44.419998,45.099998,43.265388,507000
2017-04-19,45.509998,45.980000,44.580002,44.959999,43.131084,573100
2017-04-20,45.360001,45.389999,44.369999,44.790001,42.967999,539400
2017-04-21,44.549999,45.169998,44.430000,44.820000,42.996773,355900
2017-04-24,45.119999,45.490002,44.529999,45.099998,43.265388,441000
2017-04-25,45.540001,45.790001,44.209999,44.900002,43.073517,539300
2017-04-26,44.410000,45.099998,44.320000,44.540001,42.728168,315200
2017-04-27,44.820000,45.070000,44.060001,44.279999,42.478737,600300
2017-04-28,44.720001,49.320000,44.000000,48.549999,46.575050,1810500
2017-05-01,48.799999,50.580002,48.799999,49.910000,47.879719,1341100
2017-05-02,50.000000,50.990002,49.599998,50.080002,48.042809,803100
2017-05-03,49.619999,51.180000,49.549999,50.830002,48.957817,461900
2017-05-04,50.470001,50.700001,50.099998,50.480000,48.620705,348300
2017-05-05,50.400002,50.560001,49.759998,50.340000,48.485863,482400
2017-05-08,50.520000,50.709999,50.009998,50.400002,48.543652,258000
2017-05-09,50.799999,51.049999,50.320000,50.910000,49.034874,471800
2017-05-10,51.360001,51.500000,50.759998,51.169998,49.285294,366300
