Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,42.310001,42.310001,37.259998,38.930000,38.930000,1007000
2016-04-29,38.910000,39.000000,36.400002,36.740002,36.740002,859800
2016-05-02,37.419998,37.770000,36.869999,37.270000,37.270000,512700
2016-05-03,36.880001,37.560001,36.700001,37.029999,37.029999,377300
2016-05-04,36.610001,37.130001,36.110001,36.450001,36.450001,309500
2016-05-05,36.619999,36.880001,36.130001,36.290001,36.290001,350400
2016-05-06,36.200001,36.500000,35.889999,36.200001,36.200001,242200
2016-05-09,36.090000,36.500000,35.880001,36.220001,36.220001,212500
2016-05-10,36.500000,36.500000,36.000000,36.200001,36.200001,285800
2016-05-11,36.240002,36.500000,35.599998,35.750000,35.750000,212600
2016-05-12,35.830002,36.000000,34.599998,35.049999,35.049999,350500
2016-05-13,35.060001,35.430000,34.430000,34.630001,34.630001,227600
2016-05-16,34.900002,35.320000,34.630001,35.189999,35.189999,225200
2016-05-17,35.029999,35.340000,34.580002,34.970001,34.970001,354800
2016-05-18,34.689999,35.680000,34.480000,35.230000,35.230000,236600
2016-05-19,34.930000,35.500000,34.090000,34.919998,34.919998,257000
2016-05-20,35.099998,35.570000,34.410000,35.459999,35.459999,208400
2016-05-23,35.500000,35.540001,34.950001,35.160000,35.160000,193900
2016-05-24,35.509998,36.520000,35.509998,36.250000,36.250000,171200
2016-05-25,36.509998,36.759998,36.119999,36.720001,36.720001,217300
2016-05-26,36.700001,37.060001,36.500000,36.720001,36.720001,310000
2016-05-27,36.590000,37.549999,36.369999,36.610001,36.610001,214900
2016-05-31,36.520000,37.040001,36.310001,36.580002,36.580002,244100
2016-06-01,36.209999,37.259998,35.509998,37.169998,37.169998,366700
2016-06-02,36.860001,37.980000,36.700001,37.849998,37.849998,372400
2016-06-03,37.610001,37.869999,37.000000,37.340000,37.340000,185800
2016-06-06,37.520000,38.009998,37.080002,37.820000,37.820000,229000
2016-06-07,37.980000,38.799999,37.750000,38.750000,38.750000,243900
2016-06-08,38.810001,39.230000,38.810001,39.119999,39.119999,217900
2016-06-09,38.939999,39.310001,38.630001,39.240002,39.240002,275100
2016-06-10,38.910000,38.910000,37.439999,37.869999,37.869999,315700
2016-06-13,37.689999,37.939999,36.919998,37.230000,37.230000,340700
2016-06-14,36.889999,37.720001,36.889999,37.090000,37.090000,477000
2016-06-15,37.330002,37.869999,36.849998,37.450001,37.450001,412000
2016-06-16,37.070000,37.250000,36.450001,37.220001,37.220001,125700
2016-06-17,37.320000,37.689999,36.849998,36.919998,36.919998,259000
2016-06-20,37.619999,38.200001,37.459999,37.490002,37.490002,236300
2016-06-21,37.590000,37.590000,36.450001,36.820000,36.820000,200100
2016-06-22,36.959999,37.320000,36.450001,36.590000,36.590000,135000
2016-06-23,37.040001,37.400002,36.630001,37.169998,37.169998,193600
2016-06-24,35.139999,35.910000,34.250000,34.470001,34.470001,878600
2016-06-27,33.820000,33.959999,31.309999,31.370001,31.370001,941600
2016-06-28,31.900000,32.669998,31.850000,32.520000,32.520000,435600
2016-06-29,33.040001,33.680000,32.450001,33.650002,33.650002,285100
2016-06-30,33.790001,34.290001,33.080002,34.250000,34.250000,380400
2016-07-01,34.459999,35.560001,34.360001,34.709999,34.709999,213800
2016-07-05,34.310001,34.709999,32.939999,33.240002,33.240002,290400
2016-07-06,32.990002,33.869999,32.759998,33.779999,33.779999,265200
2016-07-07,33.959999,34.290001,33.720001,34.230000,34.230000,253100
2016-07-08,34.820000,35.540001,34.790001,35.299999,35.299999,174700
2016-07-11,35.599998,36.099998,35.360001,35.740002,35.740002,148800
2016-07-12,36.220001,36.779999,35.750000,36.630001,36.630001,238200
2016-07-13,36.880001,36.880001,35.959999,36.830002,36.830002,181600
2016-07-14,37.209999,37.770000,36.860001,36.959999,36.959999,171500
2016-07-15,37.220001,37.439999,36.830002,37.290001,37.290001,165400
2016-07-18,37.320000,37.730000,36.990002,37.639999,37.639999,113700
2016-07-19,37.520000,37.680000,36.720001,36.840000,36.840000,169900
2016-07-20,36.900002,37.279999,36.590000,37.099998,37.099998,133500
2016-07-21,37.169998,38.020000,36.919998,37.400002,37.400002,113900
2016-07-22,37.470001,37.680000,36.759998,37.250000,37.250000,140700
2016-07-25,37.270000,37.709999,36.750000,37.160000,37.160000,281000
2016-07-26,37.119999,38.110001,37.119999,37.730000,37.730000,220900
2016-07-27,37.779999,38.419998,37.430000,38.000000,38.000000,364300
2016-07-28,36.500000,37.419998,32.330002,32.779999,32.779999,1451700
2016-07-29,32.230000,34.330002,31.600000,33.560001,33.560001,995700
2016-08-01,33.549999,33.730000,32.439999,32.759998,32.759998,550600
2016-08-02,32.580002,32.930000,31.410000,31.600000,31.600000,896000
2016-08-03,31.520000,32.090000,31.350000,31.900000,31.900000,319400
2016-08-04,32.009998,32.369999,31.799999,31.950001,31.950001,583300
2016-08-05,32.189999,32.189999,31.809999,31.950001,31.950001,353500
2016-08-08,31.950001,32.080002,31.510000,31.750000,31.750000,558900
2016-08-09,31.870001,31.969999,31.209999,31.260000,31.260000,750100
2016-08-10,31.459999,31.690001,31.030001,31.490000,31.490000,631900
2016-08-11,31.639999,31.730000,30.879999,31.430000,31.430000,494900
2016-08-12,31.459999,31.459999,31.000000,31.270000,31.270000,397300
2016-08-15,31.480000,31.700001,31.230000,31.639999,31.639999,498900
2016-08-16,31.709999,32.000000,31.570000,31.629999,31.629999,454000
2016-08-17,31.549999,31.910000,31.180000,31.280001,31.280001,278000
2016-08-18,31.290001,31.480000,31.150000,31.450001,31.450001,335500
2016-08-19,31.320000,31.680000,31.190001,31.530001,31.530001,373300
2016-08-22,31.450001,31.639999,31.270000,31.610001,31.610001,317200
2016-08-23,31.740000,33.090000,31.740000,33.049999,33.049999,419600
2016-08-24,33.110001,33.380001,32.619999,32.680000,32.680000,216700
2016-08-25,32.630001,32.630001,31.969999,32.369999,32.369999,155100
2016-08-26,32.369999,32.799999,31.379999,32.660000,32.660000,229000
2016-08-29,32.810001,33.119999,32.459999,33.110001,33.110001,349400
2016-08-30,33.070000,33.340000,32.860001,33.160000,33.160000,242000
2016-08-31,33.189999,33.660000,32.880001,32.970001,32.970001,346700
2016-09-01,33.029999,33.299999,32.680000,33.139999,33.139999,310900
2016-09-02,33.340000,33.790001,33.099998,33.779999,33.779999,235900
2016-09-06,33.959999,34.080002,33.490002,33.740002,33.740002,213400
2016-09-07,33.650002,33.980000,33.480000,33.930000,33.930000,375400
2016-09-08,33.849998,33.900002,29.780001,31.059999,31.059999,4183800
2016-09-09,30.990000,31.440001,30.570000,30.709999,30.709999,588300
2016-09-12,30.430000,31.350000,30.180000,31.270000,31.270000,326400
2016-09-13,30.750000,30.879999,30.330000,30.410000,30.410000,298700
2016-09-14,30.570000,30.639999,29.790001,30.129999,30.129999,270200
2016-09-15,30.180000,30.680000,30.170000,30.549999,30.549999,182800
2016-09-16,30.480000,30.740000,30.010000,30.670000,30.670000,316700
2016-09-19,30.820000,31.260000,30.620001,30.650000,30.650000,132800
2016-09-20,30.920000,30.920000,30.510000,30.650000,30.650000,274000
2016-09-21,30.870001,31.480000,30.870001,31.340000,31.340000,435300
2016-09-22,31.660000,32.220001,31.490000,31.870001,31.870001,295200
2016-09-23,30.290001,31.020000,30.010000,30.930000,30.930000,411000
2016-09-26,30.840000,31.010000,30.070000,30.129999,30.129999,506900
2016-09-27,30.120001,30.760000,29.850000,30.590000,30.590000,973300
2016-09-28,30.620001,31.379999,30.360001,31.370001,31.370001,724500
2016-09-29,31.440001,31.580000,30.740000,30.930000,30.930000,297400
