Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,55.040001,55.830002,54.230000,54.830002,49.084267,30500
2016-04-29,54.759998,54.919998,53.270000,54.599998,48.878368,35600
2016-05-02,54.619999,56.310001,54.619999,56.160000,50.274891,45700
2016-05-03,56.000000,56.439999,55.169998,55.590000,49.764626,35700
2016-05-04,55.360001,56.250000,55.080002,55.529999,49.710911,42900
2016-05-05,55.660000,56.169998,55.290001,55.779999,49.934715,33700
2016-05-06,55.799999,56.500000,55.000000,56.500000,50.579266,58800
2016-05-09,56.500000,58.040001,56.500000,57.849998,51.787788,40500
2016-05-10,58.220001,58.400002,57.139999,57.630001,51.590851,31100
2016-05-11,57.709999,57.709999,55.860001,55.959999,50.095852,29200
2016-05-12,56.139999,56.590000,55.500000,56.320000,50.418125,36000
2016-05-13,55.580002,56.400002,55.060001,55.770000,49.925762,28900
2016-05-16,55.770000,56.230000,55.110001,55.709999,49.872055,32900
2016-05-17,55.380001,55.380001,53.299999,53.910000,48.260677,52500
2016-05-18,53.770000,54.220001,52.770000,53.400002,47.804119,34000
2016-05-19,53.009998,53.139999,52.009998,52.310001,46.828342,24600
2016-05-20,52.349998,53.060001,51.950001,52.750000,47.222233,40300
2016-05-23,52.750000,54.000000,52.240002,52.270000,46.792534,38800
2016-05-24,52.799999,53.560001,52.630001,53.200001,47.625080,56900
2016-05-25,53.070000,53.279999,52.549999,52.740002,47.213280,30500
2016-05-26,52.849998,53.250000,52.669998,52.810001,47.275948,14700
2016-05-27,53.020000,53.610001,52.840000,53.500000,47.893642,31000
2016-05-31,53.419998,53.910000,53.009998,53.500000,47.893642,65000
2016-06-01,53.360001,54.160000,53.070000,54.139999,48.466579,48500
2016-06-02,53.930000,55.520000,53.930000,54.990002,49.227497,118800
2016-06-03,55.380001,55.980000,54.430000,54.970001,49.209595,30200
2016-06-06,55.040001,55.470001,54.439999,54.650002,48.923130,30400
2016-06-07,54.950001,55.669998,54.509998,55.299999,49.505016,28800
2016-06-08,55.200001,56.250000,55.200001,56.169998,50.283844,30200
2016-06-09,56.000000,56.720001,56.000000,56.340000,50.436035,48700
2016-06-10,56.279999,56.639999,55.270000,55.860001,50.006336,36600
2016-06-13,55.669998,56.740002,55.639999,56.419998,50.507645,30200
2016-06-14,56.349998,56.650002,55.880001,56.349998,50.444988,59800
2016-06-15,56.320000,57.160000,55.910000,56.990002,51.017918,69100
2016-06-16,56.470001,56.849998,55.730000,56.240002,50.927361,78200
2016-06-17,56.020000,56.209999,55.349998,55.509998,50.266323,105000
