Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,102.699997,103.190002,101.750000,101.919998,98.381165,23100
2016-04-29,101.809998,101.809998,100.760002,101.419998,97.898514,16500
2016-05-02,101.629997,102.389999,101.559998,102.300003,98.747978,18200
2016-05-03,101.760002,101.860001,101.160004,101.529999,98.004692,33700
2016-05-04,100.970001,101.269997,100.739998,101.029999,97.522072,31600
2016-05-05,101.470001,101.470001,100.809998,100.949997,97.444862,10800
2016-05-06,100.680000,101.360001,100.459999,101.220001,97.705467,17700
2016-05-09,101.500000,102.019997,101.500000,101.769997,98.236382,24500
2016-05-10,102.220001,102.980003,102.110001,102.970001,99.394714,56900
2016-05-11,102.699997,102.790001,101.769997,101.800003,98.265343,25800
2016-05-12,102.269997,102.269997,101.080002,101.639999,98.110893,23200
2016-05-13,101.480003,101.739998,100.839996,100.900002,97.396591,22500
2016-05-16,101.279999,102.160004,101.169998,101.959999,98.419785,14900
2016-05-17,101.919998,102.010002,100.629997,100.870003,97.367630,24800
2016-05-18,100.660004,101.410004,100.190002,100.739998,97.242134,35000
2016-05-19,100.400002,100.500000,99.680000,100.290001,96.807770,31200
2016-05-20,100.839996,101.230003,100.550003,100.989998,97.483467,27000
2016-05-23,101.160004,101.190002,100.779999,100.790001,97.290405,11500
2016-05-24,101.120003,102.410004,101.120003,102.290001,98.738319,21400
2016-05-25,102.610001,103.040001,102.550003,102.830002,99.259583,22700
2016-05-26,103.000000,103.070000,102.790001,102.919998,99.346451,16500
2016-05-27,103.059998,103.389999,103.059998,103.379997,99.790466,14400
2016-05-31,103.500000,103.559998,103.059998,103.370003,99.780830,91200
2016-06-01,103.089996,103.610001,103.089996,103.510002,99.915970,139200
2016-06-02,103.349998,103.860001,103.300003,103.849998,100.244156,12200
2016-06-03,103.760002,103.800003,103.080002,103.690002,100.089722,11400
2016-06-06,103.809998,104.190002,103.730003,104.050003,100.437218,21600
2016-06-07,104.139999,104.410004,104.070000,104.099998,100.485481,20700
2016-06-08,104.129997,104.519997,104.099998,104.400002,100.775063,15100
2016-06-09,104.150002,104.349998,103.949997,104.279999,100.659210,23600
2016-06-10,103.470001,103.570000,103.050003,103.290001,99.703598,12800
2016-06-13,103.010002,103.320000,102.589996,102.690002,99.124451,12900
2016-06-14,102.360001,102.360001,101.750000,102.339996,98.786583,15000
2016-06-15,102.559998,102.980003,102.209999,102.209999,98.661095,10600
2016-06-16,101.870003,102.570000,101.309998,102.550003,98.989304,20100
2016-06-17,102.529999,102.529999,101.559998,101.889999,98.352211,31300
2016-06-20,102.839996,103.339996,102.669998,102.690002,99.124451,13700
2016-06-21,102.489998,102.489998,102.150002,102.339996,99.129265,16600
2016-06-22,102.480003,102.849998,102.080002,102.080002,98.877434,20100
2016-06-23,103.029999,103.169998,102.639999,103.169998,99.933228,31600
2016-06-24,99.580002,101.360001,99.580002,99.769997,96.639908,37000
2016-06-27,99.080002,99.080002,97.570000,98.059998,94.983543,72100
2016-06-28,99.120003,99.779999,98.919998,99.760002,96.630234,153800
2016-06-29,100.660004,101.540001,100.589996,101.430000,98.247826,25000
2016-06-30,101.669998,102.500000,101.440002,102.370003,99.158340,27800
2016-07-01,102.709999,103.330002,102.709999,103.029999,99.797638,25500
2016-07-05,102.540001,102.660004,102.180000,102.519997,99.303619,18100
2016-07-06,102.169998,103.160004,102.070000,103.160004,99.923546,30300
2016-07-07,103.250000,103.620003,102.940002,103.320000,100.078529,24900
2016-07-08,103.980003,104.930000,103.889999,104.879997,101.589577,41100
2016-07-11,105.199997,105.550003,105.180000,105.269997,101.967346,33300
2016-07-12,105.779999,105.970001,105.650002,105.809998,102.490410,20500
2016-07-13,106.059998,106.059998,105.570000,105.720001,102.403236,18700
2016-07-14,106.300003,106.400002,105.959999,106.230003,102.897240,19100
2016-07-15,106.849998,106.849998,105.839996,106.050003,102.722893,149800
2016-07-18,106.099998,106.440002,106.070000,106.320000,102.984406,46400
2016-07-19,106.190002,106.269997,106.000000,106.169998,102.839111,8100
2016-07-20,106.540001,107.110001,106.540001,107.010002,103.652771,22200
2016-07-21,106.949997,107.000000,106.260002,106.599998,103.255630,135400
2016-07-22,106.540001,107.070000,106.430000,107.050003,103.691505,40700
2016-07-25,107.070000,107.070000,106.559998,106.910004,103.555908,16800
2016-07-26,106.870003,107.099998,106.410004,106.790001,103.439667,14900
2016-07-27,107.279999,107.279999,106.629997,106.970001,103.614021,22400
2016-07-28,107.019997,107.360001,106.779999,107.360001,103.991783,20000
2016-07-29,107.269997,107.650002,107.190002,107.459999,104.088654,21900
2016-08-01,107.470001,108.010002,107.470001,107.690002,104.311432,16600
2016-08-02,107.690002,107.690002,106.559998,106.970001,103.614021,31600
2016-08-03,106.930000,107.150002,106.930000,107.139999,103.778687,87700
2016-08-04,107.209999,107.459999,107.050003,107.389999,104.020828,19200
2016-08-05,107.660004,108.040001,107.550003,107.910004,104.524536,36800
2016-08-08,108.160004,108.160004,107.550003,107.709999,104.330818,11100
2016-08-09,107.709999,108.180000,107.709999,107.940002,104.553589,19500
2016-08-10,107.940002,107.970001,107.550003,107.709999,104.330818,20100
2016-08-11,108.150002,108.349998,107.989998,108.250000,104.853851,23500
2016-08-12,108.220001,108.230003,107.900002,108.089996,104.698875,43200
2016-08-15,108.379997,108.650002,108.370003,108.470001,105.066956,27900
2016-08-16,108.320000,108.320000,107.680000,107.680000,104.301758,20700
2016-08-17,107.720001,107.820000,107.190002,107.790001,104.408287,18000
2016-08-18,107.830002,107.970001,107.680000,107.870003,104.485794,27700
2016-08-19,107.790001,107.930000,107.470001,107.889999,104.505150,23300
