Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,10.080000,10.120000,10.070000,10.120000,10.120000,34700
2018-05-25,10.120000,10.120000,10.120000,10.120000,10.120000,0
2018-05-29,10.120000,10.120000,10.120000,10.120000,10.120000,0
2018-05-30,10.120000,10.120000,10.120000,10.120000,10.120000,0
2018-05-31,10.000000,10.080000,10.000000,10.000000,10.000000,11700
2018-06-01,10.000000,10.000000,10.000000,10.000000,10.000000,0
2018-06-04,10.000000,10.000000,10.000000,10.000000,10.000000,0
2018-06-05,10.040000,10.040000,10.040000,10.040000,10.040000,600
2018-06-06,10.040000,10.040000,10.040000,10.040000,10.040000,300
2018-06-07,10.080000,10.080000,10.070000,10.070000,10.070000,400
2018-06-08,10.050000,10.050000,10.050000,10.050000,10.050000,200
2018-06-11,10.050000,10.050000,10.050000,10.050000,10.050000,11100
2018-06-12,10.070000,10.077000,10.070000,10.077000,10.077000,2200
2018-06-13,10.100000,10.100000,10.010000,10.010000,10.010000,4700
2018-06-14,10.055000,10.055000,10.055000,10.055000,10.055000,100
2018-06-15,10.055000,10.055000,10.055000,10.055000,10.055000,0
2018-06-18,10.080000,10.090000,10.050000,10.050000,10.050000,4900
2018-06-19,10.090000,10.090000,10.040000,10.040000,10.040000,1000
2018-06-20,10.070000,10.080000,10.061000,10.080000,10.080000,1000
2018-06-21,10.240000,10.350000,10.150000,10.170000,10.170000,2346600
2018-06-22,10.250000,10.250000,10.150000,10.170000,10.170000,2906400
2018-06-25,10.150000,10.180000,10.150000,10.150000,10.150000,209300
2018-06-26,10.160000,10.172000,10.160000,10.172000,10.172000,7100
2018-06-27,10.151000,10.200000,10.131000,10.180000,10.180000,543000
2018-06-28,10.160000,10.180000,10.140000,10.170000,10.170000,11700
2018-06-29,10.180000,10.180000,10.155000,10.155000,10.155000,3300
2018-07-02,10.170000,10.180000,10.170000,10.180000,10.180000,300
2018-07-03,10.130000,10.180000,10.130000,10.160000,10.160000,2100
2018-07-05,10.160000,10.350000,10.160000,10.350000,10.350000,101400
2018-07-06,10.200000,10.200000,10.160000,10.190000,10.190000,36400
2018-07-09,10.140000,10.190000,10.100000,10.150000,10.150000,823900
2018-07-10,10.140000,10.140000,10.130000,10.130000,10.130000,155900
2018-07-11,10.120000,10.140000,10.120000,10.140000,10.140000,111600
2018-07-12,10.137000,10.150000,10.130000,10.150000,10.150000,1300
2018-07-13,10.150000,10.170000,10.140000,10.160000,10.160000,51400
2018-07-16,10.150000,10.180000,10.140000,10.170000,10.170000,652100
2018-07-17,10.140000,10.180000,10.136000,10.140000,10.140000,128400
2018-07-18,10.170000,10.170000,10.160000,10.160000,10.160000,2600
2018-07-19,10.160000,10.180000,10.140000,10.160000,10.160000,1077900
2018-07-20,10.160000,10.165000,10.130000,10.150000,10.150000,9200
2018-07-23,10.160000,10.170000,10.155000,10.160000,10.160000,7700
2018-07-24,10.160000,10.190000,10.160000,10.180000,10.180000,121100
2018-07-25,10.170000,10.170000,10.170000,10.170000,10.170000,35600
2018-07-26,10.180000,10.230000,10.170000,10.200000,10.200000,757400
2018-07-27,10.201000,10.250000,10.200000,10.240000,10.240000,252400
2018-07-30,10.250000,10.280000,10.200000,10.250000,10.250000,3063900
2018-07-31,10.250000,10.300000,10.250000,10.260000,10.260000,382100
2018-08-01,10.262000,10.320000,10.260000,10.300000,10.300000,589600
2018-08-02,10.262000,10.320000,10.260000,10.260000,10.260000,54900
2018-08-03,10.250000,10.300000,10.250000,10.285000,10.285000,3100
2018-08-06,10.280000,10.280000,10.250000,10.280000,10.280000,3200
2018-08-07,10.240000,10.300000,10.240000,10.270000,10.270000,812000
2018-08-08,10.270000,10.360000,10.270000,10.360000,10.360000,2672600
2018-08-09,10.350000,10.400000,10.339000,10.370000,10.370000,2070400
2018-08-10,10.360000,10.490000,10.360000,10.450000,10.450000,3243900
2018-08-13,10.450000,10.480000,10.280000,10.400000,10.400000,201800
2018-08-14,10.300000,10.400000,10.300000,10.350000,10.350000,260900
2018-08-15,10.320000,10.400000,10.300000,10.330000,10.330000,476300
2018-08-16,10.350000,10.350000,10.330000,10.330000,10.330000,92400
2018-08-17,10.270000,10.300000,10.270000,10.280000,10.280000,14100
2018-08-20,10.275000,10.280000,10.250000,10.270000,10.270000,173100
2018-08-21,10.256000,10.256000,10.230000,10.240000,10.240000,4600
2018-08-22,10.230000,10.250000,10.229000,10.250000,10.250000,21200
2018-08-23,10.230000,10.300000,10.230000,10.250000,10.250000,114700
2018-08-24,10.250000,10.260000,10.250000,10.260000,10.260000,93500
2018-08-27,10.270000,10.300000,10.261000,10.300000,10.300000,49200
2018-08-28,10.300000,10.300000,10.225000,10.300000,10.300000,355600
2018-08-29,10.300000,10.300000,10.220000,10.270000,10.270000,6100
2018-08-30,10.290000,10.330000,10.220000,10.320000,10.320000,152900
2018-08-31,10.310000,10.350000,10.310000,10.330000,10.330000,8700
2018-09-04,10.350000,10.380000,10.330000,10.360000,10.360000,1261500
2018-09-05,10.400000,10.400000,10.350000,10.380000,10.380000,181200
2018-09-06,10.380000,10.400000,10.300000,10.350000,10.350000,1240200
2018-09-07,10.298000,10.360000,10.298000,10.340000,10.340000,107700
2018-09-10,10.380000,10.380000,10.309000,10.370000,10.370000,37800
2018-09-11,10.350000,10.380000,10.350000,10.370000,10.370000,407900
2018-09-12,10.360000,10.500000,10.360000,10.430000,10.430000,1238100
2018-09-13,10.410000,10.480000,10.400000,10.450000,10.450000,892900
2018-09-14,10.450000,10.480000,10.400000,10.450000,10.450000,656400
2018-09-17,10.450000,10.450000,10.370000,10.420000,10.420000,113500
2018-09-18,10.420000,10.480000,10.390000,10.420000,10.420000,930200
2018-09-19,10.440000,10.600000,10.440000,10.550000,10.550000,658100
2018-09-20,10.600000,10.600000,10.470000,10.480000,10.480000,189700
2018-09-21,10.460000,10.540000,10.460000,10.480000,10.480000,722600
2018-09-24,10.480000,10.480000,10.328000,10.460000,10.460000,244900
2018-09-25,10.420000,10.500000,10.370000,10.490000,10.490000,33400
2018-09-26,10.430000,10.500000,10.400000,10.430000,10.430000,58500
2018-09-27,10.410000,10.550000,10.410000,10.520000,10.520000,909400
2018-09-28,10.500000,10.650000,10.500000,10.620000,10.620000,3961500
2018-10-01,10.600000,10.740000,10.600000,10.690000,10.690000,1562300
2018-10-02,10.680000,10.850000,10.680000,10.840000,10.840000,1642300
2018-10-03,10.880000,10.880000,10.700000,10.720000,10.720000,364800
2018-10-04,10.650000,10.740000,10.620000,10.680000,10.680000,621400
2018-10-05,10.630000,10.650000,10.510000,10.595000,10.595000,624500
2018-10-08,10.600000,10.650000,10.550000,10.600000,10.600000,543700
2018-10-09,10.550000,10.600000,10.450000,10.490000,10.490000,274700
2018-10-10,10.500000,10.500000,10.250000,10.280000,10.280000,2122800
2018-10-11,10.200000,10.270000,9.965000,10.180000,10.180000,4256600
2018-10-12,10.270000,10.380000,10.180000,10.200000,10.200000,1535100
2018-10-15,10.220000,10.330000,10.200000,10.310000,10.310000,547100
2018-10-16,10.350000,10.530000,10.220000,10.490000,10.490000,559500
2018-10-17,10.500000,10.700000,10.500000,10.510000,10.510000,142100
2018-10-18,11.137000,11.137000,10.700000,10.730000,10.730000,210900
2018-10-19,10.900000,10.900000,10.710000,10.710000,10.710000,127100
2018-10-22,10.705000,10.750000,10.350000,10.500000,10.500000,61200
2018-10-23,10.470000,10.470000,10.050000,10.130000,10.130000,429700
2018-10-24,10.070000,10.220000,10.000000,10.090000,10.090000,142200
2018-10-25,9.890000,10.200000,9.890000,10.150000,10.150000,59700
2018-10-26,10.000000,10.020000,9.720000,10.000000,10.000000,81700
2018-10-29,10.050000,10.100000,9.660000,9.680000,9.680000,77500
2018-10-30,9.960000,9.960000,9.460000,9.460000,9.460000,61700
2018-10-31,9.430000,9.905000,9.380000,9.390000,9.390000,90600
2018-11-01,9.460000,9.770000,9.312000,9.680000,9.680000,270100
2018-11-02,9.780000,10.310000,9.780000,9.980000,9.980000,545500
2018-11-05,10.020000,10.200000,9.870000,9.890000,9.890000,60800
2018-11-06,9.870000,10.300000,9.523000,10.000000,10.000000,50700
2018-11-07,10.060000,10.420000,9.980000,10.020000,10.020000,75600
2018-11-08,9.529000,10.250000,9.529000,10.050000,10.050000,322900
2018-11-09,10.100000,10.560000,10.100000,10.460000,10.460000,2598300
2018-11-12,10.520000,10.750000,10.300000,10.490000,10.490000,169000
2018-11-13,10.500000,10.750000,10.340000,10.390000,10.390000,965500
2018-11-14,10.460000,10.660000,9.980000,10.180000,10.180000,355300
2018-11-15,10.150000,10.470000,10.090000,10.140000,10.140000,51500
2018-11-16,10.150000,10.220000,9.830000,10.010000,10.010000,65800
2018-11-19,9.990000,10.160000,9.150000,9.830000,9.830000,318200
2018-11-20,9.710000,9.830000,9.320000,9.570000,9.570000,199400
2018-11-21,9.620000,9.890000,9.500000,9.830000,9.830000,295000
2018-11-23,9.760000,10.050000,9.760000,9.920000,9.920000,78300
2018-11-26,9.930000,9.980000,9.700000,9.880000,9.880000,153600
2018-11-27,9.850000,9.910000,9.600000,9.810000,9.810000,220200
2018-11-28,9.800000,10.100000,9.700000,10.060000,10.060000,383000
2018-11-29,10.070000,10.110000,9.820000,10.080000,10.080000,497700
2018-11-30,10.000000,10.170000,9.860000,10.000000,10.000000,706100
2018-12-03,10.070000,10.140000,9.950000,10.040000,10.040000,1103600
2018-12-04,10.050000,10.050000,9.710000,9.920000,9.920000,185800
2018-12-06,9.870000,9.990000,9.630000,9.920000,9.920000,189100
2018-12-07,9.900000,10.000000,9.720000,9.840000,9.840000,195800
2018-12-10,9.880000,9.990000,9.540000,9.840000,9.840000,678600
2018-12-11,9.900000,10.190000,9.800000,9.830000,9.830000,790600
2018-12-12,9.860000,10.019000,9.750000,9.920000,9.920000,789100
2018-12-13,9.960000,10.100000,9.910000,9.980000,9.980000,504900
2018-12-14,9.940000,10.000000,9.630000,9.750000,9.750000,994700
2018-12-17,9.800000,10.000000,9.750000,9.900000,9.900000,3847500
2018-12-18,9.900000,10.000000,9.800000,9.870000,9.870000,2870200
2018-12-19,9.900000,10.170000,9.655000,9.930000,9.930000,2270300
2018-12-20,9.870000,10.180000,9.870000,10.120000,10.120000,2341600
2018-12-21,10.090000,10.150000,9.780000,9.800000,9.800000,5234300
2018-12-24,9.740000,10.470000,9.135000,9.400000,9.400000,167900
2018-12-26,9.470000,9.870000,9.320000,9.790000,9.790000,230400
2018-12-27,9.730000,10.460000,9.480000,10.080000,10.080000,654300
2018-12-28,10.120000,10.430000,9.830000,9.910000,9.910000,336700
2018-12-31,9.900000,9.980000,9.580000,9.760000,9.760000,398700
2019-01-02,9.730000,9.850000,9.540000,9.600000,9.600000,333000
2019-01-03,9.510000,9.510000,9.000000,9.130000,9.130000,382700
2019-01-04,9.260000,9.860000,9.150000,9.450000,9.450000,294000
