Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,11.050000,11.160000,10.960000,11.050000,10.450702,1558100
2016-04-29,11.030000,11.100000,10.810000,10.860000,10.271006,2314100
2016-05-02,10.910000,11.320000,10.910000,11.280000,10.668226,3468600
2016-05-03,11.250000,11.310000,11.150000,11.210000,10.602023,2974500
2016-05-04,11.110000,11.270000,11.030000,11.220000,10.611482,1616600
2016-05-05,11.290000,11.380000,11.050000,11.100000,10.497990,2188000
2016-05-06,11.090000,11.120000,10.850000,10.970000,10.375041,3804400
2016-05-09,10.940000,11.030000,10.870000,11.010000,10.412870,4159100
2016-05-10,11.060000,11.230000,10.960000,11.180000,10.573648,4911700
2016-05-11,10.810000,10.820000,10.160000,10.190000,9.637343,12386900
2016-05-12,10.320000,10.500000,10.280000,10.450000,9.883240,4678900
2016-05-13,10.480000,10.560000,10.420000,10.460000,9.892698,4650100
2016-05-16,10.450000,10.560000,10.410000,10.510000,9.939987,2053200
2016-05-17,10.610000,10.740000,10.410000,10.470000,9.902157,3703600
2016-05-18,10.230000,10.380000,10.180000,10.210000,9.656259,2592700
2016-05-19,10.160000,10.240000,10.120000,10.210000,9.656259,1837400
2016-05-20,10.240000,10.280000,10.130000,10.170000,9.618427,2675200
2016-05-23,10.170000,10.220000,10.110000,10.130000,9.580598,2764600
2016-05-24,10.190000,10.310000,10.140000,10.260000,9.703546,2934300
2016-05-25,10.270000,10.430000,10.260000,10.370000,9.807580,2654900
2016-05-26,10.370000,10.490000,10.300000,10.310000,9.750835,2763700
2016-05-27,10.290000,10.360000,10.250000,10.290000,9.788887,1858800
2016-05-31,10.310000,10.340000,10.190000,10.280000,9.779374,3571200
2016-06-01,10.210000,10.230000,9.960000,10.190000,9.693757,3750000
2016-06-02,10.170000,10.480000,10.150000,10.420000,9.912557,10420200
2016-06-03,10.390000,10.390000,10.050000,10.090000,9.598626,7053400
2016-06-06,10.100000,10.190000,10.020000,10.140000,9.646193,3604600
2016-06-07,10.150000,10.180000,10.080000,10.100000,9.608141,2959500
2016-06-08,10.100000,10.250000,10.060000,10.240000,9.741323,3814100
2016-06-09,10.210000,10.410000,10.190000,10.310000,9.807915,4957700
2016-06-10,10.210000,10.370000,10.170000,10.250000,9.750835,5043900
2016-06-13,10.190000,10.230000,9.910000,9.910000,9.427392,2775000
2016-06-14,9.920000,9.970000,9.810000,9.890000,9.408367,2233000
2016-06-15,9.900000,9.940000,9.700000,9.730000,9.256158,4015500
2016-06-16,9.710000,9.780000,9.600000,9.730000,9.256158,4443400
2016-06-17,9.740000,10.070000,9.720000,10.070000,9.579601,7270600
2016-06-20,10.150000,10.220000,10.000000,10.050000,9.560575,5018800
2016-06-21,10.030000,10.110000,9.990000,9.990000,9.503497,1979100
2016-06-22,9.770000,9.950000,9.770000,9.810000,9.332263,3238600
2016-06-23,9.890000,9.970000,9.860000,9.890000,9.408367,2157100
2016-06-24,9.520000,9.700000,9.450000,9.660000,9.189567,10496800
2016-06-27,9.600000,9.600000,9.150000,9.310000,8.856613,5387600
2016-06-28,9.420000,9.540000,9.320000,9.370000,8.913691,2797000
2016-06-29,9.450000,9.520000,9.400000,9.470000,9.008820,2845400
2016-06-30,9.460000,9.620000,9.340000,9.620000,9.151517,3467200
2016-07-01,9.600000,9.690000,9.570000,9.600000,9.132491,1509400
2016-07-05,9.590000,9.680000,9.480000,9.580000,9.113463,2634500
2016-07-06,9.500000,9.640000,9.470000,9.630000,9.161031,3795200
2016-07-07,9.600000,9.610000,9.350000,9.550000,9.084925,4037200
2016-07-08,9.560000,9.730000,9.500000,9.620000,9.151517,2062300
2016-07-11,9.650000,9.830000,9.610000,9.780000,9.303724,2422300
2016-07-12,9.790000,9.870000,9.730000,9.780000,9.303724,2628500
2016-07-13,9.770000,9.850000,9.720000,9.740000,9.265672,1876900
2016-07-14,9.820000,9.820000,9.730000,9.780000,9.303724,1873600
2016-07-15,9.770000,9.800000,9.590000,9.620000,9.151517,2645700
2016-07-18,9.610000,9.650000,9.400000,9.500000,9.037359,3801400
2016-07-19,9.450000,9.840000,9.450000,9.750000,9.275184,7172700
2016-07-20,9.840000,9.890000,9.750000,9.860000,9.379827,3484700
2016-07-21,9.880000,9.910000,9.770000,9.850000,9.370315,2138100
2016-07-22,9.850000,10.070000,9.820000,10.020000,9.532037,2909200
2016-07-25,9.970000,10.150000,9.940000,10.140000,9.646193,2857600
2016-07-26,10.070000,10.110000,9.720000,9.740000,9.265672,8165600
2016-07-27,9.800000,9.860000,9.650000,9.730000,9.256158,2997300
2016-07-28,9.740000,9.780000,9.630000,9.740000,9.265672,2070500
2016-07-29,9.700000,9.770000,9.600000,9.660000,9.189567,4935800
2016-08-01,9.690000,9.770000,9.640000,9.730000,9.256158,3183600
2016-08-02,9.450000,9.590000,9.330000,9.450000,8.989796,7389100
2016-08-03,9.450000,9.530000,9.390000,9.500000,9.037359,3326300
2016-08-04,9.480000,9.750000,9.480000,9.700000,9.227619,4336700
2016-08-05,9.760000,9.960000,9.730000,9.900000,9.417879,2461800
