Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,27.600000,27.870001,27.320000,27.510000,26.511740,2744500
2016-04-29,27.430000,27.760000,27.230000,27.520000,26.521374,3010500
2016-05-02,27.709999,27.740000,27.219999,27.500000,26.502098,2275000
2016-05-03,27.080000,27.350000,26.590000,26.830000,25.856415,2715600
2016-05-04,26.610001,26.889999,25.549999,25.930000,24.989073,4993400
2016-05-05,26.030001,26.219999,25.690001,25.879999,24.940882,2453600
2016-05-06,25.590000,26.030001,25.530001,25.990000,25.046894,2274800
2016-05-09,26.219999,26.219999,25.650000,26.020000,25.075808,2883700
2016-05-10,26.250000,26.790001,26.240000,26.660000,25.692581,2953600
2016-05-11,26.530001,27.070000,26.459999,26.660000,25.692581,2872900
2016-05-12,26.950001,27.209999,26.230000,26.400000,25.442015,2444400
2016-05-13,26.309999,26.750000,25.790001,25.879999,24.940882,2068200
2016-05-16,25.799999,26.480000,25.780001,26.240000,25.287823,2695600
2016-05-17,26.049999,26.639999,25.910000,26.200001,25.307140,3250500
2016-05-18,26.209999,27.379999,26.160000,27.340000,26.408291,4099600
2016-05-19,27.100000,27.780001,26.690001,26.940001,26.021923,3738100
2016-05-20,27.040001,27.420000,27.010000,27.170000,26.244085,2141800
2016-05-23,27.160000,27.350000,26.820000,27.139999,26.215109,1853400
2016-05-24,27.389999,27.809999,27.280001,27.570000,26.630455,2007400
2016-05-25,27.700001,28.480000,27.639999,28.170000,27.210007,3721600
2016-05-26,28.219999,28.260000,27.770000,27.840000,26.891253,2497600
2016-05-27,27.920000,28.170000,27.680000,28.160000,27.200348,2057300
2016-05-31,28.389999,28.480000,27.920000,28.020000,27.065121,2272600
2016-06-01,27.770000,28.400000,27.410000,28.389999,27.422510,2606500
2016-06-02,28.290001,28.670000,28.150000,28.670000,27.692966,2300500
2016-06-03,28.120001,28.379999,27.450001,28.340000,27.374214,4566700
2016-06-06,28.410000,29.230000,28.360001,29.129999,28.137293,4002700
2016-06-07,29.459999,29.459999,28.980000,29.030001,28.040699,3671400
2016-06-08,29.020000,29.299999,28.879999,29.110001,28.117971,2238100
2016-06-09,28.920000,28.959999,28.420000,28.700001,27.721945,3420600
2016-06-10,28.230000,28.299999,27.870001,27.990000,27.036140,2680800
2016-06-13,27.660000,28.100000,27.520000,27.520000,26.582157,2995000
2016-06-14,27.360001,27.660000,26.700001,26.820000,25.906013,3370000
2016-06-15,26.930000,27.580000,26.770000,26.920000,26.002604,3467500
2016-06-16,26.650000,26.799999,26.150000,26.430000,25.529303,3933200
2016-06-17,26.549999,26.910000,26.320000,26.629999,25.722488,5174100
