Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,14.29,14.42,14.16,14.21,14.21,215500,0.0016433933467210338,,
2016-04-29,14.18,14.44,14.06,14.09,14.09,248800,-0.0032152323721201803,,
2016-05-02,14.12,14.31,14.07,14.3,14.3,298400,0.005792664761442801,,
2016-05-03,14.2,14.2,13.86,13.93,13.93,219800,-0.012526630127959404,,
2016-05-04,13.94,14.14,13.79,13.84,13.84,209700,-0.0027338705592088175,,
2016-05-05,13.92,13.92,13.72,13.76,13.76,182500,-0.01043006908759958,,
2016-05-06,13.68,13.98,13.57,13.9,13.9,187300,0.011388717269254833,,
2016-05-09,13.88,13.98,13.68,13.91,13.91,163400,0.001605199753789588,-0.013056298321803439,
2016-05-10,13.91,14.16,13.86,14.05,14.05,255300,-0.00047999449968427754,-0.012043607257791855,
2016-05-11,13.52,13.64,12.66,13.21,13.21,532800,-0.014116230610116798,-0.07109896602191235,
2016-05-12,13.27,13.39,13.06,13.18,13.18,333300,-0.005324027496738548,-0.05570282615693767,
2016-05-13,13.27,13.59,13.0,13.07,13.07,219800,-0.007452239963317453,-0.0550421385698483,
2016-05-16,13.04,13.33,13.03,13.07,13.07,272300,-0.007490073665470831,-0.059233033903935084,
2016-05-17,13.02,13.18,12.53,12.62,12.62,284500,-0.022532035617872204,-0.09176723792254071,
2016-05-18,12.65,12.79,12.5,12.56,12.56,258600,-0.008728515879869114,-0.0967040446021672,
2016-05-19,12.52,12.68,12.51,12.53,12.53,174200,0.0028403563235679385,-0.09298986633228923,
2016-05-20,12.54,12.77,12.5,12.72,12.72,160900,0.009152083553208179,-0.03190078221109571,
2016-05-23,12.75,12.83,12.41,12.46,12.46,270500,-0.02096401847238738,-0.04836108038300413,
2016-05-24,12.47,12.82,12.45,12.77,12.77,264800,0.012432608851935534,-0.03750799414896777,
2016-05-25,12.88,12.99,12.77,12.81,12.81,169300,-0.011018723666661678,-0.031582101202309865,
2016-05-26,12.8,12.89,12.7,12.78,12.78,204000,-0.0009228848523683553,-0.00813549525164392,
2016-05-27,12.75,12.96,12.72,12.9,12.9,201200,0.007399188112399813,0.0019035259841988506,
2016-05-31,12.9,12.98,12.65,12.65,12.65,242700,-0.018054789011847205,-0.017983003792317653,
2016-06-01,12.63,12.73,12.55,12.73,12.73,319300,0.0053156234145501635,-0.021861534998543597,
2016-06-02,12.66,12.71,12.62,12.65,12.65,255700,-0.004382926293436729,-0.012422020603029438,
2016-06-03,12.58,12.63,12.47,12.59,12.59,207700,0.0031452759486074733,-0.02524684438655367,
2016-06-06,12.69,13.2,12.63,13.18,13.18,673200,0.033810543398993254,0.019488591815170597,
2016-06-07,13.25,13.73,13.12,13.69,13.69,530400,0.03174444496401918,0.05829928737503298,
2016-06-08,13.7,13.88,13.49,13.65,13.65,427100,-0.006685809450665214,0.04700090046121819,-0.060855916478553596
2016-06-09,13.58,13.74,13.43,13.7,13.7,276700,0.008878030620350863,0.07094077469332616,-0.05207570268907258
2016-06-10,13.64,13.68,13.49,13.6,13.6,197600,0.0034831125218657277,0.06766246824185274,-0.05719881498969892
2016-06-13,13.55,13.8,13.52,13.6,13.6,330200,0.009768384743364944,0.08493566039835221,-0.03155026674461903
2016-06-14,13.5,13.63,13.33,13.49,13.49,396300,-0.00010043542521076532,0.08045334817512195,-0.037343628930247785
2016-06-15,13.48,13.75,13.33,13.54,13.54,204000,0.007381608000860851,0.045083001690316316,-0.026243541600758036
2016-06-16,13.49,13.49,13.04,13.13,13.13,244000,-0.03266140038095111,-0.025470164933538708,-0.06707361073269036
2016-06-17,13.18,13.32,12.8,12.91,12.91,616700,-0.01733400500258675,-0.032874145037116165,-0.08067376319386632
2016-06-20,13.05,13.35,13.01,13.28,13.28,235100,0.01378250627631461,-0.01578413541657442,-0.05581623084785514
2016-06-21,13.31,13.5,13.07,13.17,13.17,207000,-0.012351731469179228,-0.028701646417286675,-0.014801495385073249
2016-06-22,13.36,13.64,13.25,13.52,13.52,384700,0.013964708298050077,-0.008968461066082511,0.01518409834623613
2016-06-23,13.65,13.86,13.51,13.86,13.86,366200,0.0055101750354236145,0.008913512178341243,0.026612021817941756
2016-06-24,13.33,13.68,13.1,13.26,13.26,796600,0.026805455160749947,-0.004302710257085174,0.028686782046091874
