Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,7.04,7.14,7.03,7.07,6.286327,3754600,-0.10597376960538862,,
2016-04-29,6.93,6.95,6.81,6.89,6.126279,3569000,-0.12012029942231273,,
2016-05-02,6.87,6.89,6.8,6.87,6.108497,1910900,-0.1243579939306565,,
2016-05-03,6.68,6.68,6.56,6.58,5.850642,2467800,-0.1258960420488915,,
2016-05-04,6.46,6.54,6.41,6.45,5.735051,2254500,-0.11456708990534015,,
2016-05-05,6.37,6.39,6.3,6.34,5.637245,2627700,-0.1210732452807981,,
2016-05-06,6.36,6.53,6.35,6.46,5.743943,2437100,-0.1064476797266607,,
2016-05-09,6.35,6.38,6.28,6.31,5.610569,2732500,-0.12435652359121496,-0.10544317911693146,
2016-05-10,6.39,6.46,6.38,6.44,5.726159,1851100,-0.1201836783676884,-0.07674325371934199,
2016-05-11,6.27,6.34,6.24,6.27,5.575003,1626700,-0.1084037777117326,-0.08320144457057932,
2016-05-12,6.33,6.35,6.22,6.3,5.601678,2582000,-0.12075274866877694,-0.04384377053741462,
2016-05-13,6.26,6.32,6.15,6.16,5.477196,2400900,-0.12585281319181774,-0.04380206814645904,
2016-05-16,6.22,6.32,6.22,6.3,5.601678,1961400,-0.11449175583989146,-0.01411600431037452,
2016-05-17,6.35,6.38,6.29,6.32,5.619461,2749600,-0.11354731702224186,-0.017071411364444566,
2016-05-18,6.31,6.44,6.28,6.36,5.655027,2340900,-0.11117925420701935,0.013279543969337615,
2016-05-19,6.36,6.41,6.24,6.27,5.575003,2092800,-0.1296935688018579,-0.005245358363724417,
2016-05-20,6.28,6.34,6.27,6.31,5.610569,1712100,-0.11781777921781167,0.012257063364821574,
2016-05-23,6.23,6.26,6.21,6.22,5.530545,1691900,-0.11704622900305095,-0.004963896358671116,
2016-05-24,6.35,6.49,6.35,6.46,5.743943,2316500,-0.1116492061068104,0.033265480565550565,
2016-05-25,6.72,6.84,6.71,6.78,6.028472,4740100,-0.11416369447450703,0.06193869377053485,
2016-05-26,6.77,6.79,6.7,6.76,6.01069,2254100,-0.11832069919101551,0.04656971168851398,
2016-05-27,6.77,6.82,6.71,6.76,6.01069,1561400,-0.12325838796562172,0.036188042173483925,
2016-05-31,6.7,6.73,6.58,6.61,5.877316,3045100,-0.12949202409992822,0.025292889594242807,
2016-06-01,6.5,6.57,6.46,6.55,5.823967,1845000,-0.11239138502441581,0.014682114597369011,
2016-06-02,6.55,6.62,6.51,6.56,5.832858,2974800,-0.11955067117116469,0.025665016786109662,
2016-06-03,6.5,6.52,6.41,6.49,5.770617,3157100,-0.11667249052478734,-0.006417923484560717,
2016-06-06,6.46,6.54,6.46,6.49,5.770617,1565800,-0.11692601453142437,-0.05270039309803809,
2016-06-07,6.5,6.56,6.48,6.48,5.761725,2577100,-0.12148890976616622,-0.05278754454575729,
2016-06-08,6.42,6.47,6.38,6.42,5.708377,3782400,-0.12051287086346729,-0.061116115325520415,-0.11709170829963034
2016-06-09,6.36,6.4,6.3,6.33,5.628353,2569800,-0.12213119804624872,-0.05208117869300555,-0.10877690118182914
2016-06-10,6.09,6.1,5.95,5.98,5.317148,5167100,-0.12929104014638293,-0.08949048722013186,-0.1457527538285206
2016-06-13,5.79,5.89,5.77,5.79,5.148208,3308000,-0.1113984592997721,-0.11233532743899355,-0.13547797754896962
2016-06-14,5.73,5.79,5.62,5.67,5.041511,2921300,-0.12736911218807667,-0.12366564246138134,-0.14062015352685053
2016-06-15,5.77,5.84,5.72,5.73,5.094859,3485700,-0.12149964241774747,-0.10641175183024143,-0.11128945546811919
2016-06-16,5.69,5.94,5.65,5.94,5.281582,4268200,-0.08009699256141167,-0.07071544893459869,-0.09400469315628657
2016-06-17,6.05,6.17,6.02,6.13,5.450522,4213700,-0.1009825689244539,-0.023360189445583046,-0.03500871862828192
2016-06-20,6.3,6.33,6.25,6.25,5.55722,2886000,-0.12914015417994884,0.002633677201065332,-0.029399970261421826
2016-06-21,6.29,6.36,6.22,6.33,5.628353,2918600,-0.11292182614073742,0.06030642057824309,-0.002244888679698187
2016-06-22,6.42,6.45,6.32,6.33,5.628353,2640500,-0.12954145252117732,0.0860994274920035,-0.005534779519551503
2016-06-23,6.53,6.63,6.44,6.63,5.8951,3334300,-0.11204274300983519,0.13827084727105454,0.04145276189066305
2016-06-24,5.24,5.48,5.23,5.38,4.783655,17819100,-0.05904599507602404,-0.04643352096876452,-0.1436069721265092
2016-06-27,5.3,5.31,5.14,5.3,4.712523,4391100,-0.10215075110384242,-0.07601832873166159,-0.1529516105235036
2016-06-28,5.48,5.49,5.33,5.44,4.837005,9480300,-0.13936400504817836,-0.1023091500559199,-0.15059741265353943
2016-06-29,5.56,5.59,5.52,5.57,4.952594,3749000,-0.12933961918530468,-0.10917785766140065,-0.13333246955909805
2016-06-30,5.57,5.74,5.51,5.74,5.103751,5165700,-0.09973488629826432,-0.10259792624942943,-0.11709987829394919
2016-07-01,5.71,5.73,5.67,5.7,5.068185,4821000,-0.12095430436723831,-0.11319055581780502,-0.1137614389786854
2016-07-05,5.6,5.61,5.45,5.46,4.854788,5858100,-0.1396937892053971,-0.1823659288746633,-0.1741786475495508
2016-07-06,5.33,5.42,5.24,5.41,4.889319,3677400,-0.09361155974502,-0.008281214122045855,-0.2138268800190899
2016-07-07,5.37,5.45,5.31,5.33,4.817019,2183800,-0.107472146602557,-0.02558779546597889,-0.22510911767799646
2016-07-08,5.58,5.58,5.47,5.52,4.988732,3229100,-0.12283110868465097,-0.014157657198899942,-0.2009431120259233
2016-07-11,5.6,5.62,5.54,5.58,5.0429580000000005,3276800,-0.10732243473804814,-0.013475940268368403,-0.17210129942170926
2016-07-12,5.86,5.87,5.81,5.82,5.25986,2819200,-0.11393568251599073,0.005060395778494264,-0.12672159711282394
2016-07-13,5.89,5.91,5.77,5.82,5.25986,2992200,-0.11251059785940076,0.013865337786518772,-0.1255611179782763
2016-07-14,5.95,6.0,5.92,5.94,5.368309,1744900,-0.10559488168847286,0.06517476813320444,-0.10258595593178566
2016-07-15,5.98,5.98,5.86,5.91,5.341197,2970500,-0.11140387934374907,0.05929206234075046,-0.10183442458030134
2016-07-18,5.69,5.8,5.64,5.75,5.1965959999999995,3040500,-0.09294712428265584,0.043492411061988756,-0.1288291620702504
2016-07-19,5.66,5.71,5.65,5.69,5.142371,2882800,-0.09590500890739384,0.01455076651716114,-0.12527623018324174
2016-07-20,5.7,5.75,5.66,5.74,5.187558,2321500,-0.09739266211724495,0.011630140905002806,-0.10838997982370091
2016-07-21,5.79,5.85,5.72,5.76,5.205634,2426100,-0.10282239274416294,-0.01639910788003096,-0.05363021777272303
2016-07-22,5.81,5.81,5.76,5.76,5.205634,1253000,-0.11378243964383428,-0.020807975829398195,-0.03403376636868094
2016-07-25,5.69,5.72,5.66,5.68,5.133334,1743200,-0.10054598238389456,-0.04694123528361849,-0.0258615487540228
2016-07-26,5.63,5.67,5.6,5.64,5.097183,2066800,-0.09951820545061474,-0.05019748723504325,-0.04562015998510316
