Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-07-19,160.0,220.0,160.0,220.0,220.0,128172000.0,0.31845835727124605,,
2016-07-20,250.0,272.0,200.0,222.0,222.0,133148000.0,-0.1219730894839115,,
2016-07-21,224.0,224.0,202.0,204.0,204.0,83187900.0,-0.08995765977508352,,
2016-07-22,204.0,204.0,190.0,190.0,190.0,56404800.0,-0.0750392910687454,,
2016-07-25,191.0,191.0,179.0,180.0,180.0,54281500.0,-0.05690766202366948,,
2016-07-26,180.0,180.0,174.0,176.0,176.0,45849500.0,-0.022569653337096263,,
2016-07-27,176.0,185.0,175.0,184.0,184.0,41788000.0,0.04594147244254554,,
2016-07-28,184.0,189.0,183.0,187.0,187.0,38555900.0,0.01432327007775136,-0.16541706799300648,
2016-07-29,188.0,191.0,186.0,187.0,187.0,36691500.0,-0.007530282586993842,-0.17183567493284357,
2016-08-01,187.0,197.0,186.0,197.0,197.0,38674800.0,0.05315856471041336,-0.03753165078062892,
2016-08-02,198.0,208.0,196.0,200.0,200.0,41456700.0,0.016017537103775403,0.059603476309116665,
2016-08-03,200.0,244.0,199.0,244.0,244.0,87615100.0,0.19561983253862625,0.30637649468013795,
2016-08-04,258.0,270.0,236.0,258.0,258.0,67081500.0,-0.00034197367945587587,0.38475089337479584,
2016-08-05,256.0,278.0,254.0,278.0,278.0,47938600.0,0.07597251722320308,0.40519470119932066,
2016-08-08,280.0,304.0,278.0,302.0,302.0,59801600.0,0.07695257921426002,0.47434024334314984,
2016-08-09,304.0,312.0,296.0,300.0,300.0,36949400.0,-0.013016078126755204,0.46893596302739127,
2016-08-10,302.0,306.0,286.0,298.0,298.0,39328300.0,-0.009974388175796989,0.41175006580173523,
2016-08-11,298.0,312.0,298.0,308.0,308.0,40441700.0,0.029422196355737285,0.41853736827759036,
2016-08-12,308.0,312.0,302.0,302.0,302.0,33794600.0,-0.01981474083000112,0.20393915003816243,
2016-08-15,302.0,302.0,286.0,292.0,292.0,28568700.0,-0.03553318370599445,0.11189810857265936,
2016-08-16,290.0,326.0,290.0,324.0,324.0,38325200.0,0.11456991386524162,0.1552871327485139,
2016-08-17,324.0,324.0,324.0,324.0,324.0,0.0,-0.002009093642747928,0.06970680575206156,
2016-08-18,326.0,348.0,326.0,348.0,348.0,28149600.0,0.06296121459415449,0.14600282836389233,
2016-08-19,348.0,354.0,336.0,340.0,340.0,28398700.0,-0.02308751066358372,0.12800746715558198,
2016-08-22,344.0,354.0,328.0,354.0,354.0,33495800.0,0.02816957216611371,0.14063936299674307,
2016-08-23,354.0,354.0,346.0,352.0,352.0,25544400.0,-0.005249638173093096,0.15190016095225634,
2016-08-24,352.0,368.0,352.0,368.0,368.0,24865800.0,0.04887790466377773,0.238068209977782,
2016-08-25,370.0,378.0,368.0,374.0,374.0,33424900.0,0.011130202405403189,0.14612337355524208,
2016-08-26,376.0,386.0,364.0,382.0,382.0,43484700.0,0.0186214594341223,0.1707350954514819,0.5493650765536868
2016-08-29,384.0,384.0,372.0,372.0,372.0,77235500.0,-0.03643312405470045,0.06973215036709668,0.5128352668255367
2016-08-30,372.0,376.0,368.0,368.0,368.0,81483700.0,-0.009281915492707071,0.08269237813746955,0.5849182603141578
2016-08-31,366.0,380.0,366.0,380.0,380.0,81816900.0,0.03873948557533957,0.07624460665979438,0.6950248142432445
2016-09-01,380.0,382.0,376.0,378.0,378.0,91975400.0,-0.005060589842702967,0.07862453942709458,0.7408403450976513
2016-09-02,378.0,396.0,378.0,394.0,394.0,89354300.0,0.040313853124784416,0.06618319366703052,0.8009004055922677
2016-09-06,404.0,414.0,398.0,400.0,400.0,85687200.0,-0.012180081119610442,0.060780569787583616,0.7673857772906603
2016-09-07,404.0,408.0,396.0,400.0,400.0,78332700.0,-0.010403277692926594,0.03818208996529826,0.7529642345119916
2016-09-08,400.0,406.0,392.0,396.0,396.0,81228100.0,-0.00938125200280826,0.06209842505235397,0.7467693668107342
2016-09-09,396.0,398.0,386.0,388.0,388.0,87161000.0,-0.0011990306572577936,0.07537262024479041,0.6978225313395772
2016-09-12,388.0,388.0,388.0,388.0,388.0,0.0,-0.017841979265922348,0.026335227581157028,0.6617565655152848
2016-09-13,388.0,390.0,374.0,382.0,382.0,88759900.0,-0.00462027009352628,0.03092791618960966,0.465391766607123
2016-09-14,380.0,392.0,376.0,392.0,392.0,83962600.0,0.03207331810484426,0.020092524673179568,0.43624203689065144
2016-09-15,392.0,426.0,392.0,426.0,426.0,94307800.0,0.07292614118583174,0.08107511937460288,0.4432661954659425
