Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,10.13,10.49,10.12,10.3,10.3,240200,0.02390002015448589,,
2016-04-29,10.31,10.31,10.12,10.18,10.18,169500,-0.0095373240852199,,
2016-05-02,10.25,10.28,10.18,10.25,10.25,173600,-0.006874640439322732,,
2016-05-03,10.12,10.26,10.12,10.22,10.22,147300,0.016503467603780297,,
2016-05-04,10.15,10.4,10.13,10.33,10.33,165400,0.022044162227396136,,
2016-05-05,10.38,10.38,10.23,10.24,10.24,109300,-0.012448504812904382,,
2016-05-06,10.19,10.27,10.14,10.22,10.22,166800,-0.0016254731320617388,,
2016-05-09,10.17,10.28,10.15,10.19,10.19,118500,0.0014107860712608833,-0.002455410149102555,
2016-05-10,10.17,10.38,10.17,10.35,10.35,164400,0.007049925306821692,0.007360831462043471,
2016-05-11,10.28,10.36,10.17,10.19,10.19,99900,0.0002863086780813262,0.002315594359931339,
2016-05-12,10.19,10.26,10.07,10.22,10.22,106800,0.004421029313941727,-0.00035856743958451176,
2016-05-13,10.21,10.36,10.15,10.2,10.2,166900,0.00675416885831881,-0.010463278857777425,
2016-05-16,10.13,10.37,10.13,10.22,10.22,191600,-0.0009427782881283875,-0.009741763870671605,
2016-05-17,10.16,10.21,9.77,9.82,9.82,187900,-0.02536557573447773,-0.03508671730814594,
2016-05-18,9.8,10.23,9.8,10.22,10.22,203900,0.040375737352639884,0.008326537834057124,
2016-05-19,10.18,10.19,9.99,10.17,10.17,198600,0.0010591520256353348,0.003962450888579383,
2016-05-20,10.17,10.35,10.17,10.35,10.35,142900,0.012444370496916157,0.02147745088790698,
2016-05-23,10.31,10.34,10.26,10.28,10.28,338500,-0.0008702982291093342,0.013669610583510572,
2016-05-24,10.28,10.43,10.23,10.39,10.39,388700,-0.0006967564164503948,0.0041689482636257935,
2016-05-25,10.38,10.55,10.38,10.45,10.45,165400,0.0011519817739804594,0.010766704160439566,
2016-05-26,10.42,10.58,10.38,10.56,10.56,138600,0.01398707907670893,0.0519180688237757,
2016-05-27,10.58,10.58,10.42,10.57,10.57,117900,-0.00524247819879875,0.008866590763212834,
2016-05-31,10.6,10.63,10.5,10.56,10.56,235100,-0.0022654156576562556,0.010116618159776714,
2016-06-01,10.58,10.72,10.54,10.67,10.67,161200,0.005899786091143611,0.0078021559464014345,
2016-06-02,10.69,10.69,10.59,10.69,10.69,107100,-0.0035927247509359717,0.011552742592682907,
2016-06-03,10.7,10.7,10.55,10.68,10.68,141700,0.0004797712288344691,0.016478006022551117,
2016-06-06,10.66,10.79,10.64,10.71,10.71,158200,0.0006037617728873457,0.015590084698289708,
2016-06-07,10.68,10.73,10.61,10.63,10.63,48900,-0.005616283082298779,-0.003877988900194307,
2016-06-08,10.57,10.79,10.52,10.75,10.75,72200,0.013856456443970266,0.007374644889400983,0.022112363337568386
2016-06-09,10.65,10.71,10.54,10.65,10.65,101400,8.031991682155848e-05,-0.00031122908990477427,0.021128671420494793
2016-06-10,10.53,10.66,10.53,10.61,10.61,134600,0.01398859867518265,-0.004085024618609268,0.027510176575630485
2016-06-13,10.53,10.76,10.51,10.55,10.55,190000,0.007982673103259952,-0.0006597822850031854,0.024204003451605782
2016-06-14,10.55,10.63,10.51,10.59,10.59,102100,0.0044248794907484346,0.0029448520929800104,0.013128527521379496
2016-06-15,10.57,10.6,10.51,10.55,10.55,94300,0.001046506040821793,0.0030832387429664543,0.019698263731024124
2016-06-16,10.46,10.62,10.37,10.57,10.57,122300,0.0048489227693777615,0.010635393580403107,0.023588756195838556
2016-06-17,10.57,10.7,10.46,10.54,10.54,364400,0.0005220624442929811,0.0031349602748460548,0.027702733761516996
2016-06-20,10.57,10.74,10.54,10.59,10.59,73300,-0.001798144272101787,0.009702820827098169,0.02347066078554949
2016-06-21,10.57,10.75,10.53,10.72,10.72,126000,0.012313740943160845,0.01374083358629452,0.03893541580199367
2016-06-22,10.79,10.8,10.55,10.55,10.55,127900,-0.02043411355623581,-0.0030687389388939224,0.02149383195229637
2016-06-23,10.63,10.83,10.61,10.8,10.8,140700,0.006108644680952402,0.0014911631531071556,0.025082969532264077
2016-06-24,10.48,10.64,10.36,10.47,10.47,462900,0.03111595058320038,0.008981737429697656,0.038421765031393385
2016-06-27,10.4,10.52,10.0,10.0,10.0,170100,-0.023888077097871108,-0.017450794965765848,0.04122467853821865
2016-06-28,9.99,10.07,9.95,10.0,10.0,146300,-0.013554131293555649,-0.035485943808902576,-0.016109747881442704
2016-06-29,10.11,10.16,10.07,10.13,10.13,92200,-0.011676705418020017,-0.03840019551673368,-0.018891985619763574
2016-06-30,10.09,10.41,10.09,10.41,10.41,107800,0.01890645631629706,-0.034101099462238604,-0.016643134548151917
2016-07-01,10.36,10.5,10.35,10.43,10.43,74800,0.0050159861376735115,-0.019796052682590215,-0.011971831313804415
2016-07-05,10.3,10.46,10.24,10.39,10.39,75300,0.01180728394474384,-0.026912194986340676,-0.005998173717702393
2016-07-06,10.33,10.53,10.33,10.49,10.49,96300,0.008056787724395775,-0.028220947918005557,-0.0005658870470517385
2016-07-07,10.48,10.54,10.36,10.44,10.44,76900,-0.00262360652420357,-0.004460144610725081,-0.015153534896282128
2016-07-08,10.4,10.65,10.37,10.56,10.56,171500,0.004443370583326001,0.009444486368023863,-0.015531852276631675
2016-07-11,10.52,10.78,10.51,10.76,10.76,58100,0.02000869574318953,0.028776961244155963,-0.00023164253538432433
2016-07-12,10.68,10.89,10.68,10.78,10.78,137700,0.003429242595907489,0.009857427792633544,-0.014587862701919807
2016-07-13,10.73,10.9,10.73,10.86,10.86,73500,0.012683747241450938,0.017143738198152736,-0.006380835708334587
2016-07-14,10.86,10.96,10.83,10.83,10.83,60400,-0.005482876974800988,0.006103497150499848,-0.016372682589753662
2016-07-15,10.89,10.89,10.79,10.86,10.86,82100,-0.0011917189762682412,0.005559199267350046,-0.0105967724779914
2016-07-18,10.89,10.9,10.7,10.76,10.76,165100,-0.01425005420421055,-0.0021651405034126547,-0.013440686499500476
2016-07-19,10.92,11.01,10.82,10.94,10.94,130900,0.0018344528297866702,0.019570797333924972,-0.003335699832107686
2016-07-20,11.01,11.05,10.94,10.99,10.99,107900,-0.0050077358130034,0.00451010305363031,0.00458968960815076
2016-07-21,10.92,10.98,10.81,10.81,10.81,93300,-0.006555940429902485,-0.003257131888940723,-0.013759969972251263
2016-07-22,10.84,11.0,10.76,10.97,10.97,76900,0.007977908890623553,-0.00036710622722369024,-0.006088159650555092
2016-07-25,10.87,11.0,10.87,10.9,10.9,71700,0.005165003234730126,0.004259103667961561,-0.015058431014772111
2016-07-26,10.86,11.0,10.78,10.98,10.98,168100,0.01089232409055807,0.007553385310510308,-0.006126625910447547
2016-07-27,10.93,11.0,10.87,10.99,10.99,73300,0.0069641760987937396,0.021293200711962612,-0.0027828793679409713
2016-07-28,11.03,11.03,10.85,10.97,10.97,64700,-0.00730414814612157,-0.00015966120192745237,-0.006630321308881193
2016-07-29,10.96,10.99,10.78,10.81,10.81,99900,-0.015977586480384165,-0.01678104667956415,-0.021894177898511558
2016-08-01,10.86,11.06,10.76,10.9,10.9,186600,0.004739927556320467,0.0056757719095799075,-0.021825031648965876
2016-08-02,10.85,10.99,10.8,10.84,10.84,118100,0.005045117275305877,-0.0036110963540725294,-0.006630517065733699
2016-08-03,10.81,11.06,10.78,11.01,11.01,137400,0.015101292876932071,0.01220628177663663,-0.0043433123912426375
2016-08-04,10.99,11.19,10.99,11.05,11.05,66700,0.00510268586877638,0.008630295373707408,-0.006478067966437795
2016-08-05,11.06,11.3,11.06,11.26,11.26,96100,0.011450474629483676,0.016780199413684027,0.031448115011508904
2016-08-08,11.15,11.21,10.98,11.01,11.01,127600,-0.011320382162899989,-0.0013384807296836776,0.027517141770337705
2016-08-09,11.04,11.18,11.02,11.05,11.05,122100,0.0011345357380787569,0.018220901538422485,0.03472691915664461
2016-08-10,11.08,11.16,11.02,11.15,11.15,115400,0.009656959280658128,0.02053701670534913,0.03281308451862186
2016-08-11,11.22,11.33,11.17,11.31,11.31,111900,0.004405289921046496,0.0291992459685817,0.042364781585438216
2016-08-12,11.26,11.36,11.25,11.35,11.35,98500,0.007819145984570675,0.02109415114931812,0.04366303374441616
2016-08-15,11.27,11.4,11.27,11.4,11.4,85000,0.009609058749358468,0.01928681866268267,0.04102969861425043
2016-08-16,11.31,11.47,11.31,11.33,11.33,77200,0.005474105965318277,0.008362182975192756,0.04427044259742674
2016-08-17,11.25,11.36,11.23,11.31,11.31,118400,0.003310067834851882,0.026273646728042888,0.04434630213035673
2016-08-18,11.31,11.55,11.31,11.46,11.46,127200,0.010831537344952125,0.03401510656845019,0.03996506448093884
2016-08-19,11.49,11.66,11.42,11.63,11.63,144200,0.012280226170592101,0.03830380467522421,0.06125946140121252
2016-08-22,11.64,11.71,11.51,11.62,11.62,95900,-0.002205374473788879,0.028482694132279107,0.05370373751956459
2016-08-23,11.61,11.7,11.6,11.61,11.61,87700,0.00041609936258435454,0.02134505451141777,0.05890459110533408
2016-08-24,11.6,11.65,11.58,11.6,11.6,200800,0.0044261420929432305,0.024130816789001752,0.05960131613590214
2016-08-25,11.53,11.65,11.53,11.61,11.61,132400,0.007291872057973325,0.027023812602923858,0.07345939570376325
2016-08-26,11.58,11.66,11.42,11.43,11.43,94800,-0.010248000120688161,0.01661219031592598,0.041387695112357736
2016-08-29,11.44,11.49,11.28,11.3,11.3,220900,-0.016997685973476617,-0.011019209699873578,0.02443575172743495
2016-08-30,11.24,11.46,11.24,11.36,11.36,148200,0.012148569438968249,-0.019934495658822105,0.04458209763133114
2016-08-31,11.31,11.37,11.21,11.31,11.31,134700,0.0012015662562738783,-0.021670194222599193,0.032400649524189085
2016-09-01,11.25,11.32,11.17,11.23,11.23,83600,-0.001562892641936653,-0.02591650755384478,0.02872897988352774
2016-09-02,11.25,11.32,11.15,11.23,11.23,75200,-0.0029222204536387686,-0.03450110682393914,0.017546824001452688
2016-09-06,11.2,11.28,11.17,11.24,11.24,76400,0.0013353158980544677,-0.03881613115012117,0.013350063841679471
2016-09-07,11.13,11.71,11.13,11.69,11.69,205300,0.04863666335676564,0.014630449141149526,0.056177805455434715
2016-09-08,11.77,11.82,11.64,11.71,11.71,164200,-0.004441659811866838,0.03521851996235048,0.07643531836934958
2016-09-09,11.51,11.56,11.31,11.32,11.32,143300,0.002564691015194409,0.018922878272479515,0.05782920399423075
2016-09-12,11.35,11.41,11.22,11.41,11.41,105000,-0.012569559319349555,0.014304014424270317,0.05031576030253193
2016-09-13,11.36,11.36,11.03,11.13,11.13,192200,-0.009489787082379575,0.01145689973972397,0.02797959784661508
2016-09-14,11.09,11.13,10.98,10.99,10.99,153500,-0.008075301911932176,0.0035785938458290367,0.012495122473574316
2016-09-15,10.96,11.08,10.92,11.08,11.08,197500,0.0006380345061915982,0.003763157066806855,0.00033302149480229915
2016-09-16,11.11,11.42,10.96,11.01,11.01,400000,-0.005625558563223887,-0.03819647235426116,0.019319813830857235
2016-09-19,11.12,11.15,11.0,11.02,11.02,108000,-0.006759494947116362,-0.04120490628302731,0.017009510547899787
2016-09-20,11.04,11.18,11.04,11.11,11.11,94500,0.009204542247739145,-0.024325837501795178,0.01296634978708644
2016-09-21,11.18,11.18,11.01,11.15,11.15,68000,-0.011294882460700428,-0.024938647470013287,-0.003822133136063055
2016-09-22,11.18,11.41,11.12,11.41,11.41,137300,0.01749349225843222,0.0015375168861027078,0.008422963583399667
2016-09-23,11.39,11.39,11.21,11.31,11.31,91600,-0.0030834578441485405,0.0105584839248416,0.0037667877357332458
2016-09-26,11.19,11.3,11.15,11.18,11.18,73000,0.004885743590590685,0.009525114728311301,0.0014959532479208448
