Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,7.75,7.93,7.6,7.63,7.505673,15562400,-0.024776265569808942,,
2016-04-29,7.77,7.88,7.42,7.66,7.535183999999999,14164300,-0.02753495040172904,,
2016-05-02,7.59,7.62,7.25,7.43,7.308932,22525700,-0.044609069990188654,,
2016-05-03,7.02,7.06,6.48,6.55,6.443272,19936800,-0.07905618572591933,,
2016-05-04,6.62,6.79,6.21,6.29,6.187507,12359700,-0.0630975261579716,,
2016-05-05,6.53,6.66,6.12,6.29,6.187507,17014500,-0.05274393076756323,,
2016-05-06,6.19,6.68,6.14,6.23,6.1284849999999995,17232600,-0.0145527231543785,,
2016-05-09,6.16,6.18,5.89,5.96,5.8628849999999995,13378700,-0.04998882539043148,-0.23873569350620372,
2016-05-10,6.02,6.16,5.93,6.12,6.020278,15750300,-0.010448206008329963,-0.23365049062702514,
2016-05-11,6.05,7.08,6.04,7.0,6.885939,44202200,0.13850295575122495,-0.05142920282344954,
2016-05-12,7.2,7.39,6.69,6.83,6.718708,12039900,-0.06770386010338614,0.04150082108176334,
2016-05-13,6.71,6.99,6.67,6.72,6.610500999999999,12464100,-0.007205424996432175,0.06832847001873477,
2016-05-16,6.92,7.14,6.92,7.11,6.994146000000001,13327200,0.0008696990263754589,0.11475452521688023,
2016-05-17,7.15,7.5,7.06,7.39,7.269584,16759300,0.025258455793738754,0.17559023933609597,
2016-05-18,7.29,7.7,7.25,7.47,7.348281,28042400,0.006374400553146309,0.23121140535533646,
2016-05-19,7.27,7.59,7.16,7.54,7.41714,15049200,0.022079199674549965,0.23016686101543593,
2016-05-20,7.58,7.71,7.38,7.42,7.2990949999999994,13170400,-0.04286277094190627,0.06416663995402172,
2016-05-23,7.28,7.48,7.08,7.32,7.200724,11688900,-0.008905545913659996,0.0771016377086371,
2016-05-24,7.46,7.52,7.22,7.26,7.141702,17883300,-0.0549445924214933,0.06300454149496826,
2016-05-25,7.37,7.63,7.36,7.54,7.41714,18909100,0.0008067130320921212,0.04723133519856382,
2016-05-26,7.67,7.85,7.61,7.66,7.535183999999999,17657400,-0.017092527098795607,0.015150095618418069,
2016-05-27,7.55,7.66,7.43,7.64,7.515510000000001,26851700,-0.00887552973800565,-0.0023041474897609326,
2016-05-31,7.67,8.09,7.63,7.96,7.830296000000001,14350100,0.022199004411831424,0.026692324418441604,
2016-06-01,7.8,8.07,7.69,7.95,7.820459,19363200,4.866199895969814e-05,0.04634549096462104,
2016-06-02,7.8,8.07,7.73,8.06,7.928667,15674400,0.012768467231997871,0.06874762673903412,
2016-06-03,8.17,8.21,7.94,8.07,7.938503,10997700,-0.026393511266761482,0.09472257274739859,
2016-06-06,8.23,8.41,8.17,8.38,8.243453,9619600,-0.002442409096965026,0.096639950058103,
2016-06-07,8.48,8.68,8.43,8.65,8.50905,10987600,0.0024962112733923902,0.11106214884882082,
2016-06-08,8.93,9.04,8.71,8.84,8.695955,15121700,-0.029587918123452184,0.13637778003666678,0.1265493443960386
2016-06-09,8.61,8.89,8.54,8.68,8.538564,15106500,-0.008251154744019829,0.07779468820282798,0.10100338300968037
2016-06-10,8.5,8.65,8.03,8.05,7.9188279999999995,11739900,-0.06440297622283131,0.014054054660554538,0.07313698275574776
2016-06-13,7.83,8.32,7.77,8.0,7.884336,16110500,0.01300063566713705,0.0069161634941754535,0.19426624902361
2016-06-14,7.93,8.2,7.87,8.08,7.963177000000001,9679200,0.004815584984617427,0.014510848403075371,0.240566432664177
2016-06-15,7.95,8.17,7.78,7.96,7.844913,14872300,-0.010366186408001798,-0.03141875000319061,0.22720706047035644
2016-06-16,7.76,7.84,7.46,7.8,7.687227,13359900,-0.015034632364177458,-0.085274396622256,0.21652808718107885
2016-06-17,7.98,8.2,7.92,8.18,8.061733,18015100,0.013554453565136182,-0.05286625746357876,0.31241878043866356
2016-06-20,8.42,8.47,8.16,8.33,8.209563000000001,11865200,-0.0289986379808278,-0.02394059613290267,0.31071327750380284
2016-06-21,8.23,8.48,8.17,8.42,8.298264999999999,8774000,0.006482827300546834,0.0502298722981398,0.1747960578773371
2016-06-22,8.49,8.53,8.07,8.14,8.022311,12936900,-0.05460265954820143,0.014279789701648227,0.1670452176434949
2016-06-23,8.23,8.32,8.09,8.32,8.199708,11697100,-0.013444767904275956,0.01112569168444999,0.1833636543298922
2016-06-24,7.6,7.96,7.59,7.81,7.697082000000001,14157400,0.0447636532981619,-0.002430427791222378,0.11002210746225383
2016-06-27,7.67,7.73,7.22,7.33,7.224022,11241300,-0.04457211780949932,-0.024164346870351627,0.01677350097463126
2016-06-28,7.68,7.78,7.6,7.72,7.608384,10424300,-0.02392338163123986,-0.0407712423478821,0.040436132735444996
2016-06-29,7.85,8.19,7.78,8.1,7.982889,11407400,0.0031338535792810873,-0.02199067242085828,0.05855574406750863
2016-06-30,8.05,8.06,7.72,7.79,7.677372,12132000,-0.05971038227545611,-0.08252598215325513,0.028103435770060248
2016-07-01,7.82,8.19,7.77,8.04,7.923757000000001,7650300,0.011462861435056482,-0.02071753472057125,0.06922604521428655
2016-07-05,7.76,7.84,7.42,7.61,7.499973,11031800,-0.030975539590144763,-0.07740898931158524,0.04295012352333871
2016-07-06,7.54,7.68,7.39,7.66,7.549250999999999,6995900,-0.0060871805303786,-0.0495222883988129,0.013268483864877112
2016-07-07,7.83,8.0,7.34,7.43,7.322576,12278500,-0.06579984145369044,-0.033969316950605455,-0.03234591159439226
2016-07-08,7.59,7.78,7.45,7.64,7.529539999999999,8309600,-0.018821741986629892,-0.05546054510315512,-0.012720264877949194
2016-07-11,7.75,7.8,7.59,7.62,7.509828999999999,5526300,-0.034028799169809165,-0.09264495537238915,-0.06078153572332212
2016-07-12,7.83,8.22,7.81,8.09,7.973033999999999,17223700,0.012212098547982997,0.012719541742170826,-0.0055225134523899655
2016-07-13,8.07,8.16,7.72,7.81,7.697082000000001,12225200,-0.04667119690679211,-0.05228047333410624,-0.05180205485885381
2016-07-14,7.99,8.05,7.88,7.98,7.864625,8058700,-0.018532527479695027,0.012102676493351172,-0.03966977273070871
2016-07-15,8.03,8.15,7.93,8.0,7.884336,10608400,-0.01673961815307834,0.014324960470797787,-0.0690465057224281
2016-07-18,7.92,7.94,7.75,7.91,7.795636,6480400,-0.018067787874610275,0.03024579852732412,-0.11316226191588896
2016-07-19,7.88,7.89,7.72,7.75,7.637949000000001,6015000,-0.03119416607665748,-0.0014865607097460654,-0.15058460562436204
2016-07-20,7.62,8.05,7.45,7.97,7.854769,18437100,0.027154940062291466,0.0282680567501985,-0.1103081671759516
2016-07-21,8.12,8.78,8.06,8.29,8.170143,29305700,0.009724655840863683,0.018385115815914066,-0.0011914522970304375
2016-07-22,8.38,8.39,8.06,8.24,8.120864,11366600,-0.03535473142503198,0.043150190448605574,-0.015568027904423687
2016-07-25,8.05,8.1,7.7,7.73,7.618238000000001,11844700,-0.052718066933577834,-0.03401337097049195,-0.08819399210427603
2016-07-26,7.71,8.06,7.68,8.05,7.933611999999999,13944600,0.028493432382558748,0.00279467483496898,-0.03483308088426851
2016-07-27,8.08,8.2,7.5,7.64,7.529539999999999,17800800,-0.06906821169292199,-0.03458715194626194,-0.0624750172398949
2016-07-28,7.67,7.86,7.62,7.76,7.647806,11638600,-0.0047473952284260434,-0.001608440817062906,-0.09932678897784619
2016-07-29,7.71,8.05,7.69,8.05,7.933611999999999,7951100,0.02639329325596451,0.009720644272892098,-0.07664692677015683
2016-08-01,7.92,7.92,7.59,7.61,7.499973,6417800,-0.053428332463538286,-0.08820237691732702,-0.13962370151249726
2016-08-02,7.84,7.96,7.63,7.81,7.697082000000001,10964200,-0.01243033711524566,-0.04528507453561259,-0.0751328921416845
2016-08-03,7.84,8.25,7.71,8.2,8.081442,14687800,0.02710046138763733,0.061190332869494934,-0.038129350919231086
2016-08-04,8.11,8.38,8.07,8.27,8.150433,10177700,0.004631212869063539,0.029237940724336386,-0.0031647123687097434
2016-08-05,8.23,8.42,8.08,8.34,8.21942,7924200,-0.007757519708913474,0.08017504111723506,0.04186437074769178
2016-08-08,8.51,8.95,8.47,8.71,8.584072,12036200,0.009981615414620837,0.11051142649554269,0.05195587986557859
