Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,9.07,9.22,8.86,8.89,8.89,86200,-0.012787771421744143,,
2016-04-29,11.2,11.49,10.23,11.19,11.19,1025600,0.0022587068440573788,,
2016-05-02,11.36,12.1,11.3,12.0,12.0,498100,0.04793359605567238,,
2016-05-03,12.1,12.23,11.77,12.18,12.18,191900,0.013260356366596504,,
2016-05-04,12.09,12.69,12.0,12.27,12.27,405700,0.019244178679763912,,
2016-05-05,12.25,12.61,11.99,12.07,12.07,297500,-0.013672148567819509,,
2016-05-06,12.11,12.49,11.97,12.38,12.38,246700,0.017485499018462303,,
2016-05-09,12.48,12.68,12.39,12.61,12.61,189300,0.009808935932642981,0.3578447383028691,
2016-05-10,12.89,13.15,12.71,13.11,13.11,144600,0.0064290964804247785,0.14915409832481696,
2016-05-11,13.16,13.36,12.93,13.2,13.2,170100,0.012114625165621007,0.10349663251404007,
2016-05-12,13.24,13.36,13.01,13.17,13.17,84100,-0.0038197429806561267,0.07778768603385444,
2016-05-13,13.16,13.57,13.08,13.21,13.21,171100,0.011526273381730512,0.07601814379495853,
2016-05-16,13.21,14.29,13.04,14.19,14.19,196900,0.06177532783462247,0.15402772702764267,
2016-05-17,14.19,14.34,13.82,13.88,13.88,146900,-0.013416792043809078,0.11920543292324615,
2016-05-18,13.9,14.46,13.81,14.41,14.41,215200,0.03444510812839274,0.1388190603277346,
2016-05-19,14.39,14.43,13.77,14.22,14.22,160100,-0.009842143436638473,0.10278088713897482,
2016-05-20,14.25,14.39,14.0,14.1,14.1,169900,-0.015682048484530142,0.07185574620295965,
2016-05-23,14.2,14.44,14.09,14.15,14.15,136800,-0.0014836007452276867,0.07958904366610708,
2016-05-24,14.3,14.72,14.16,14.4,14.4,188200,-0.004371632184474006,0.07196695149043597,
2016-05-25,14.4,14.5,14.15,14.18,14.18,247700,-0.02096480437707049,-0.012193659542791835,
2016-05-26,14.14,14.25,13.86,14.18,14.18,259400,0.003465697759369224,0.0006494789373578946,
2016-05-27,14.18,14.2,13.65,13.95,13.95,192700,-0.020649864487398695,-0.0572495260874315,
2016-05-31,13.8,13.91,13.46,13.82,13.82,215200,0.002963533358614434,-0.05604705609344096,
2016-06-01,13.79,14.04,13.13,13.68,13.68,344000,-0.010579632403171502,-0.05288727484560107,
2016-06-02,13.58,14.03,13.58,13.85,13.85,213600,0.01609438575186184,-0.048985113873150965,
2016-06-03,13.71,13.82,13.28,13.58,13.58,131900,-0.007176692279027286,-0.06968110684976647,
2016-06-06,13.52,14.02,13.23,13.97,13.97,177200,0.02866639870498089,-0.023906169185658577,
2016-06-07,13.97,14.36,13.69,13.7,13.7,96900,-0.02043998233889832,-0.044921591245838055,
2016-06-08,13.81,14.02,13.65,13.71,13.71,166400,-0.010296972094532286,-0.026865324495275456,0.41254894804789677
2016-06-09,13.7,13.72,13.34,13.69,13.69,71400,-0.0006498736169002761,-0.018249022006390003,0.17763890736396082
2016-06-10,13.65,13.82,13.34,13.73,13.73,186300,0.01226367034408593,0.00520239565463676,0.1276674995260354
2016-06-13,13.59,13.83,13.59,13.63,13.63,174200,0.00902415687245739,-0.00348890409503122,0.10490271173177934
2016-06-14,13.56,14.07,13.51,13.82,13.82,279100,0.01963311562678305,0.028926222220687414,0.10723021065631544
2016-06-15,13.6,14.28,13.51,13.95,13.95,161400,0.02835016152626091,0.016702598279052516,0.13463049657824477
2016-06-16,13.81,14.04,13.33,13.62,13.62,102700,-0.019466085175826375,0.010439253939400484,0.08537257455416647
2016-06-17,13.59,13.93,13.59,13.74,13.74,182800,0.014341377844373948,0.025048964955281416,0.07975317470030907
2016-06-20,13.84,14.39,13.75,14.15,14.15,407000,0.01846316989645258,0.04840153815810666,0.07688634719725052
2016-06-21,14.3,14.6,14.18,14.41,14.41,272400,0.0058852579282207,0.051765820801081386,0.07593668781307672
2016-06-22,14.54,15.14,14.53,14.55,14.55,258900,0.002747327303860292,0.062249008970166386,0.08936403466809129
2016-06-23,14.59,14.98,14.05,14.18,14.18,125200,-0.0382611385260776,0.007570891400705992,0.038782958262062905
2016-06-24,13.67,13.78,13.02,13.64,13.64,263700,0.029873606273108422,-0.0058792833827312485,-0.025276513832129144
2016-06-27,13.59,13.59,13.04,13.16,13.16,171600,-0.01681966621047115,0.0036265370981398704,-0.030206321270939807
2016-06-28,13.0,13.48,13.0,13.46,13.46,147700,0.020218335127905718,-0.003482456267353662,-0.0625483418947792
