Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,10.84,11.18,10.73,11.1,11.1,371800,0.03095955548627627,,
2016-04-29,11.05,11.19,10.625,10.71,10.71,303400,-0.028100580682832277,,
2016-05-02,10.78,10.93,10.53,10.73,10.73,229200,-0.011523649277566772,,
2016-05-03,10.56,11.16,10.54,10.72,10.72,605500,0.021708424052081732,,
2016-05-04,9.52,10.47,8.89,9.1,9.1,2977200,-0.04065485069682451,,
2016-05-05,9.26,9.765,9.145,9.67,9.67,859800,0.04445501412059105,,
2016-05-06,9.59,9.715,9.04,9.14,9.14,423200,-0.05262571410227501,,
2016-05-09,9.19,9.36,8.955,9.0,9.0,569700,-0.02144521013427969,-0.20143889313021468,
2016-05-10,9.11,9.155,8.87,9.03,9.03,382400,-0.01931472818706048,-0.17982619415772128,
2016-05-11,9.05,9.05,8.8,8.83,8.83,319800,-0.015530021625498769,-0.18670208931702303,
2016-05-12,8.91,8.91,8.47,8.8,8.8,459300,-0.010941228225540556,-0.1977180015980795,
2016-05-13,8.77,8.876,8.62,8.7,8.7,389500,-0.0002796999788858834,-0.04275010387872191,
2016-05-16,8.76,9.02,8.69,8.935,8.935,547100,0.00999219885999647,-0.08683888988867983,
2016-05-17,8.91,9.04,8.76,8.76,8.76,624500,-0.00830659248493415,-0.03762573541672065,
2016-05-18,8.75,8.9,8.54,8.68,8.68,378500,-0.009620633443656601,-0.03081624837082897,
2016-05-19,8.65,8.86,8.6,8.86,8.86,1103700,0.026029396760745005,0.0025011577275844132,
2016-05-20,8.92,9.0,8.615,8.96,8.96,541600,-0.0006256587590720564,0.020512990782132423,
2016-05-23,8.99,9.27,8.945,9.01,9.01,380200,0.004265962909457688,0.03139928546813531,
2016-05-24,9.09,9.27,9.01,9.24,9.24,569000,0.005026675963637928,0.0459317234357699,
2016-05-25,9.29,9.43,9.16,9.3,9.3,410500,-0.0044932715656340605,0.02854956207299697,
2016-05-26,9.37,9.43,9.17,9.23,9.23,309800,-0.014413210611755378,0.031529056478495576,
2016-05-27,9.27,9.49,9.23,9.37,9.37,246000,0.006432865021775314,0.051684943234696856,
2016-05-31,9.44,9.48,9.33,9.42,9.42,619600,-0.0006055843868875144,0.03377387391341191,
2016-06-01,9.45,9.54,9.315,9.48,9.48,532500,0.0005987219689140844,0.03376669962420875,
2016-06-02,9.42,9.62,9.35,9.52,9.52,352900,0.006967035464066296,0.027504054765775887,
2016-06-03,9.07,9.46,9.05,9.3,9.3,464300,0.02739281519681125,-0.004578507892743833,
