Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,17.34,17.620001000000002,16.76,16.84,16.84,279600,-0.022001519358727517,,
2016-04-29,16.790001,17.07,16.129998999999998,16.389999,16.389999,229700,-0.020960236084512918,,
2016-05-02,16.51,16.68,15.56,16.030001000000002,16.030001000000002,265100,-0.03637886936686785,,
2016-05-03,15.76,16.200001,15.25,15.57,15.57,312700,-0.005458551896284636,,
2016-05-04,15.35,15.44,13.5,14.37,14.37,1252000,-0.0615071893586272,,
2016-05-05,14.8,15.0,14.12,14.35,14.35,373600,-0.029746485250962795,,
2016-05-06,14.21,15.04,14.15,14.85,14.85,357300,0.03948871246671226,,
2016-05-09,15.11,15.79,14.82,15.38,15.38,253500,0.017157336689946234,-0.0824074068848284,
2016-05-10,15.69,15.99,15.13,15.67,15.67,167900,-0.011769894721099128,-0.05412395250195212,
2016-05-11,15.58,15.8,14.78,14.93,14.93,280100,-0.033535707421036065,-0.06290296474367718,
2016-05-12,15.05,15.22,13.93,14.41,14.41,326800,-0.04197428941043757,-0.07778214327406063,
2016-05-13,14.39,15.21,14.36,14.71,14.71,169100,0.029728094458737697,0.025586118505957156,
2016-05-16,14.75,15.84,14.7,15.52,15.52,202300,0.041098387166148775,0.07059284351457418,
2016-05-17,15.48,15.9,14.45,14.65,14.65,347400,-0.04643678864902068,-0.00872078468459403,
2016-05-18,14.5,15.35,14.44,14.47,14.47,356800,-0.0036595705295283665,-0.05560362314097356,
2016-05-19,14.35,15.07,13.96,14.25,14.25,296400,-0.004951082403427343,-0.0734843891137813,
2016-05-20,14.24,15.16,14.13,15.08,15.08,213800,0.052214517441986796,0.01589452943987313,
2016-05-23,14.97,15.59,14.88,15.02,15.02,268500,0.005378187677191892,0.04927617165660747,
2016-05-24,15.22,15.41,14.85,15.28,15.28,328100,-0.007405870195732689,0.023730112567743156,
2016-05-25,15.35,15.75,15.05,15.63,15.63,243500,0.01250755150108196,-0.004426059796509563,
2016-05-26,15.64,15.67,15.35,15.58,15.58,168600,-0.0032028575507485613,0.04081361789156057,
2016-05-27,15.59,16.4,15.47,16.360001,16.360001,261300,0.04391285757881658,0.09795522731252593,
2016-05-31,16.49,17.74,16.469998999999998,17.120001000000002,17.120001000000002,358600,0.039008599735551375,0.15597607235227962,
2016-06-01,17.030001000000002,17.99,16.52,17.74,17.74,291300,0.038274570694566634,0.13980522464574063,
2016-06-02,17.67,18.469998999999998,17.540001,18.379998999999998,18.379998999999998,321700,0.035802051438034166,0.17432469376733506,
2016-06-03,18.389999,18.389999,16.889999,16.950001,16.950001,325900,-0.07918841225069562,0.09267208668677185,
2016-06-06,17.059998999999998,18.67,16.35,18.5,18.5,333300,0.0769585446883232,0.15959276630034624,
2016-06-07,18.219998999999998,18.690001000000002,17.74,18.309998999999998,18.309998999999998,210700,0.004003825220277868,0.15097436065291525,
2016-06-08,18.559998999999998,19.57,17.98,18.030001000000002,18.030001000000002,220100,-0.032001079047955905,0.08768639057692384,0.04763058786364782
2016-06-09,17.83,18.129998999999998,17.219998999999998,17.75,17.75,160200,-0.004416596036802556,0.02734024382939193,0.05570797456593812
2016-06-10,17.360001,17.360001,16.559998999999998,16.74,16.74,183900,-0.029947729579384852,-0.05646682375094292,0.03632996559099366
2016-06-13,16.57,17.65,15.95,16.17,16.17,302300,-0.018351018522387186,-0.1155823061016843,0.0302364160481976
2016-06-14,16.09,16.91,15.36,15.9,15.9,347400,-0.011238271978597059,-0.052541257585608125,0.08944706017486403
2016-06-15,16.17,18.09,16.17,17.24,17.24,383800,0.06701503764742389,-0.05240320356818362,0.17335634645022724
2016-06-16,17.01,17.219998999999998,16.290001,16.870001000000002,16.870001000000002,300300,-0.013876869049064045,-0.06561456218464157,0.11745263167524023
2016-06-17,16.93,17.030001000000002,16.049999,16.1,16.1,219400,-0.046903604941403554,-0.0903546489526228,0.03968334579585342
2016-06-20,16.18,17.91,16.18,17.34,17.34,325300,0.06555155571877957,-0.008016991199811585,0.10181493586807866
2016-06-21,17.389999,17.5,16.0,16.41,16.41,323800,-0.05978198057722661,-0.01648352938979958,0.08274940094487127
2016-06-22,16.33,16.83,15.69,15.94,15.94,320700,-0.022112427828572923,-0.01739473916584089,0.09062382015641735
2016-06-23,16.24,16.98,15.94,16.9,16.9,203000,0.03007899010013082,0.04284970133908983,0.10671064300799671
2016-06-24,15.8,17.15,15.51,16.120001000000002,16.120001000000002,886100,0.05212146367394954,-0.050577893652999695,0.05218560928265337
2016-06-27,15.8,16.17,14.63,14.94,14.94,360700,-0.04063512427283955,-0.08351086420769205,0.04266255215214221
2016-06-28,15.3,16.26,15.25,16.18,16.18,408300,0.0413684516048165,0.022063145950196095,0.11735011488702307
2016-06-29,10.5,11.0,9.58,9.66,9.66,6289900,-0.09703459958528304,-0.5790136772919796,-0.40371435231011965
2016-06-30,9.8,10.47,9.7,9.88,9.88,2175400,-0.004185465861812787,-0.512135219788683,-0.4452803482836849
2016-07-01,10.15,10.5,9.83,10.35,10.35,1565400,0.017794768179911102,-0.4402016154238866,-0.3988539669240767
2016-07-05,10.04,10.31,9.75,10.1,10.1,1268600,0.009065683652828671,-0.5029880640491164,-0.4200075336088629
2016-07-06,10.0,10.48,9.94,10.28,10.28,731500,0.020301815480710417,-0.4799898845299664,-0.42337821545080345
2016-07-07,10.45,10.59,10.26,10.54,10.54,572600,0.009776054616595697,-0.39638427066262727,-0.39453533640204563
2016-07-08,10.58,11.37,10.52,11.19,11.19,703900,0.04523099434621791,-0.41379908822255773,-0.3944042006480606
2016-07-11,11.49,11.63,11.02,11.09,11.09,495700,-0.037981942179273975,0.10649287790895823,-0.45319754675344104
2016-07-12,11.37,11.44,11.0,11.22,11.22,280500,-0.019170897020789113,0.10211713327343386,-0.4829684396559917
2016-07-13,11.22,11.36,10.56,10.66,10.66,282500,-0.05055849197858331,0.006255591731364696,-0.5669230689600471
2016-07-14,10.79,10.86,10.21,10.37,10.37,496200,-0.04241938051051841,-0.008991160357041394,-0.5216707806526761
2016-07-15,10.36,11.2,10.36,11.15,11.15,604100,0.07505416453760283,0.05213454504887549,-0.5308364367022742
2016-07-18,11.13,11.49,10.92,11.44,11.44,238400,0.02523114867121823,0.04958233005587731,-0.4959273669990836
2016-07-19,11.41,11.58,10.78,10.92,10.92,240200,-0.04388956740451455,-0.040206273388869285,-0.5222968646138537
2016-07-20,11.01,11.48,10.91,11.41,11.41,251000,0.03249665964545123,0.01180625188344786,-0.4687315386993851
2016-07-21,11.52,11.71,11.13,11.31,11.31,250300,-0.01482896690397606,0.0019531919742723503,-0.4245484239307764
2016-07-22,11.3,11.49,11.03,11.16,11.16,175800,-0.01641013815014558,0.03539247220689301,-0.41594829065146977
2016-07-25,11.16,11.31,10.67,10.99,10.99,222400,-0.012941273404885045,0.055885121619856815,-0.4132444014472112
2016-07-26,10.91,11.1,10.8,10.9,10.9,194500,-0.001013808094918467,-0.026112444936114976,-0.5045456780702056
2016-07-27,10.99,11.41,10.9,11.36,11.36,291400,0.03460235474918649,-0.006874585628575236,-0.43718739044301724
2016-07-28,11.38,11.38,10.69,10.86,10.86,267200,-0.048620703360245265,-0.00840779430620131,-0.44035000996743223
2016-07-29,10.84,10.9,10.51,10.86,10.86,252000,-0.000353618117342247,-0.0496707592833463,-0.5103853067829198
2016-08-01,10.87,11.39,10.71,10.98,10.98,282700,0.011132187775278357,-0.03222723972104591,-0.44029213426202274
2016-08-02,11.05,11.18,10.57,10.87,10.87,234600,-0.010456525580369913,-0.018019073898480453,-0.41657262538410933
2016-08-03,10.79,11.35,10.78,11.26,11.26,315800,0.03940581723496139,0.026435974573160603,-0.4296581282131404
2016-08-04,11.31,11.5,10.94,10.97,10.97,165300,-0.030864989520345887,0.00867678854337095,-0.4452909958738349
2016-08-05,11.29,11.53,10.93,11.15,11.15,368100,-0.0189490322433139,-0.02614957026920761,-0.3798260965045328
2016-08-08,11.31,11.48,10.89,10.98,10.98,292200,-0.028296689038004974,0.006010964398462271,-0.45640219151916606
2016-08-09,10.99,11.23,10.9,11.01,11.01,322400,0.0020473309423243435,0.009979741454576363,0.07860811196363615
2016-08-10,11.01,11.08,10.6,10.66,10.66,368000,-0.02894638930322202,-0.0317167093093671,0.0401263762172932
2016-08-11,10.73,10.89,10.44,10.87,10.87,286200,0.009379044378078571,-0.013245048147947358,0.010383941891829895
2016-08-12,10.85,11.0,10.63,10.91,10.91,164000,0.005372744627214043,-0.04089646491007004,0.03243347092590598
2016-08-15,10.92,11.25,10.92,10.99,10.99,435800,0.004529829499364091,-0.010074614645614322,0.024624274010517144
2016-08-16,10.91,11.08,10.72,10.79,10.79,301800,-0.007352699521503858,-0.030654987989263027,-0.014096813831168564
2016-08-17,10.81,10.82,10.53,10.7,10.7,209700,-0.012236983826004355,-0.02644138727892198,-0.0690444905755303
2016-08-18,10.68,10.98,10.57,10.94,10.94,212100,0.021709079648174257,-0.008795330495134479,-0.036680096440456555
2016-08-19,10.85,11.0,10.76,10.85,10.85,167200,0.0001693515006833124,0.013821997299549249,-0.048168759756591406
2016-08-22,10.84,11.25,10.74,11.18,11.18,240900,0.03039778812119076,0.029561999430378183,0.03369034959084338
2016-08-23,11.3,11.36,11.05,11.29,11.29,194300,-0.0004692481941401816,0.032933581045620386,0.07435821232856776
2016-08-24,11.2,11.87,10.74,10.88,10.88,423200,-0.02456139478030872,-0.0033204529106005687,-0.030830723948958916
2016-08-25,10.89,11.09,10.29,10.5,10.5,483800,-0.03609226915225072,-0.024633430173526705,-0.08831257406057258
2016-08-26,10.58,10.75,10.31,10.63,10.63,251000,0.007504760141145095,-0.0005055464767678153,-0.029343763663428835
2016-08-29,10.73,10.83,10.41,10.67,10.67,125500,-0.010291917069064738,-0.02194895581174805,-0.07043530413565247
2016-08-30,10.64,11.12,10.64,10.84,10.84,206400,0.020151512709509323,0.0026329736037773444,-0.04748897812708641
2016-08-31,10.78,10.89,10.48,10.77,10.77,177100,0.0002734919437199501,-0.03199170948551888,-0.03369383210156851
2016-09-01,10.79,10.88,10.57,10.76,10.76,128000,-0.0025677572782640823,-0.04072030402232851,-0.022247213313617564
2016-09-02,10.8,10.97,10.57,10.79,10.79,218600,-0.0020692154136923158,-0.010391239619725656,-0.015109518632569596
2016-09-06,10.83,11.7,10.83,11.68,11.68,364000,0.07332816612074033,0.1000745403307377,0.01863655189874036
2016-09-07,11.65,11.66,11.29,11.36,11.36,223100,-0.025660713558462334,0.058556372403040235,0.03762040304581271
2016-09-08,11.27,11.53,11.22,11.4,11.4,247300,0.012138111199457846,0.0657553581578072,0.04499081330550103
2016-09-09,11.25,11.4,10.73,10.75,10.75,379700,-0.026252533102808506,0.014112977352619627,-0.001148761053420877
2016-09-12,10.68,11.17,10.67,11.08,11.08,245100,0.018926868521166984,0.0338783308291557,0.018203572626067643
2016-09-13,10.94,11.16,10.63,11.05,11.05,213300,0.020969091893098923,0.0469963764327459,-0.0016868114540322665
2016-09-14,11.16,11.38,10.84,11.0,11.0,276600,-0.013457953119980548,0.044457087708978715,0.02067078053303817
2016-09-15,11.02,11.43,10.86,11.24,11.24,193700,0.00951567544769949,-0.020298812721322612,0.02448730944662536
2016-09-16,11.17,11.31,11.0,11.22,11.22,468000,0.007882381367167568,0.009332839196672715,0.040942277844023156
2016-09-19,11.34,11.69,11.11,11.44,11.44,311900,0.01105367780259714,0.023029098153032113,0.05804017000395678
2016-09-20,11.59,14.1,11.59,13.51,13.51,1711400,0.15617147406559662,0.22292402902013864,0.25349197727608486
2016-09-21,13.63,13.75,12.67,13.21,13.21,641600,-0.03990703981408261,0.17394445571293904,0.20539307648695404
2016-09-22,13.35,14.08,12.61,13.9,13.9,814600,0.037502251401788644,0.2061499304724559,0.24535958392849366
2016-09-23,13.88,14.85,13.18,13.56,13.56,970600,-0.01935964307949556,0.191085971926221,0.2218313671048735
2016-09-26,13.46,14.09,13.22,13.55,13.55,370100,0.012444021296599495,0.18744803118066145,0.24259032861654983
2016-09-27,13.62,14.09,13.52,13.74,13.74,452300,0.0023205053285915156,0.19295079189278885,0.260334457015734
2016-09-28,13.82,14.22,13.35,13.92,13.92,583000,0.0028158598729355333,0.181246894526502,0.24808239502559326
2016-09-29,13.97,14.03,13.31,13.51,13.51,435500,-0.02525517096990937,-0.005299553190132755,0.23437042678640285
2016-09-30,13.62,13.94,13.4,13.85,13.85,294700,0.011307486995207228,0.04493316832935257,0.22076424538592843
2016-10-03,13.7,13.92,13.45,13.82,13.82,233800,0.010168265966051138,0.0015948080797447695,0.21402081096261805
2016-10-04,13.82,13.97,13.5,13.64,13.64,289300,-0.00713863928448788,0.012463788283300747,0.23761560829877482
2016-10-05,13.8,14.33,13.69,14.13,14.13,343800,0.021508681140098407,0.03558273185774574,0.3028064906478223
2016-10-06,14.16,14.16,13.39,13.53,13.53,238900,-0.046692500542661275,-0.015790711239560995,0.2450492922529408
2016-10-07,13.55,13.66,13.17,13.5,13.5,287200,0.0011434072147209484,-0.022484471971663034,0.24754687886567828
2016-10-10,13.62,13.86,13.24,13.45,13.45,578200,-0.014072674765486681,-0.0102590063661947,0.2214784468164308
2016-10-11,13.32,13.32,12.85,12.9,12.9,416900,-0.020582895588398653,-0.056404911124023904,0.1963510437474234
2016-10-12,12.85,13.1,12.25,12.32,12.32,298100,-0.04282598513867697,-0.10465180616346714,0.15008930882147942
2016-10-13,13.09,13.98,12.6,13.01,13.01,1354300,-0.007204714448380223,-0.03891111113640555,0.20909573678209492
2016-10-14,13.17,13.25,11.78,12.05,12.05,586500,-0.08574065606025849,-0.14677238574089468,0.05595956457618989
2016-10-17,12.07,12.68,11.98,12.24,12.24,428200,0.017014781342093777,-0.08421295190098066,0.10227996794891991
2016-10-18,12.48,12.57,12.25,12.38,12.38,169800,-0.008648212156079804,-0.08002049852412929,0.10177102218374179
2016-10-19,12.38,12.38,12.04,12.16,12.16,152300,-0.019554614510387314,-0.09183455143597063,0.11553091802784055
2016-10-20,12.13,12.68,12.07,12.48,12.48,178400,0.028991841183927836,-0.03525517716791393,0.12721753575035377
2016-10-21,12.46,12.73,12.18,12.35,12.35,184400,-0.009675740804727884,0.0015069540631307277,0.10459988645186424
2016-10-24,12.49,12.49,11.95,12.05,12.05,202700,-0.037180031758298426,-0.08542145463327211,0.0792171944398441
2016-10-25,12.03,12.47,11.84,11.87,11.87,172600,-0.010333068087455821,-0.019811732044210384,0.05644664525330212
2016-10-26,11.85,11.97,11.6,11.69,11.69,161900,-0.014744574431432511,-0.05203747251922719,0.04090965623302001
2016-10-27,11.81,11.98,11.07,11.12,11.12,180800,-0.05504829650462906,-0.10426624748339197,-0.025524323452682296
2016-10-28,11.01,11.35,10.81,11.03,11.03,262200,0.004548183195373756,-0.08915960019468461,-0.1965527111869827
2016-10-31,11.07,11.09,10.22,10.3,10.3,337200,-0.07038893623766329,-0.1848644116844831,-0.23159133164706835
2016-11-01,10.28,10.54,9.68,10.19,10.19,349200,-0.0007941429949696044,-0.1784042862539854,-0.27995433027457706
2016-11-02,10.1,10.43,9.91,10.17,10.17,311600,0.01236864001303184,-0.14449204086274126,-0.25636081834911817
2016-11-03,10.34,10.39,9.4,9.4,9.4,393700,-0.09046707352283256,-0.20754585490846855,-0.3385472408358279
2016-11-04,9.47,10.07,9.42,9.92,9.92,541200,0.045757234025460836,-0.13849659740524167,-0.2905377330650105
2016-11-07,9.88,9.99,9.52,9.88,9.88,426200,-0.014617050082062377,-0.11751991616102453,-0.3242911341402088
2016-11-08,9.77,9.85,9.51,9.77,9.77,365900,-0.0045158442833237444,-0.12746752483796353,-0.3187206828348135
2016-11-09,10.35,10.89,10.13,10.7,10.7,319300,0.01849500766250145,0.020796284812462762,-0.25572821516395816
2016-11-10,10.94,11.44,10.66,11.29,11.29,279700,0.031496199423488136,0.07644810530916901,-0.20510103304515281
2016-11-11,11.27,12.01,11.1,11.99,11.99,238700,0.06112442291899667,0.13342037678444552,-0.1354042298479734
2016-11-14,11.69,11.78,11.26,11.51,11.51,331200,-0.01485242789339436,0.1669784478391847,-0.20715152485438892
2016-11-15,11.4,11.53,10.83,11.0,11.0,425100,-0.04128293695534513,0.05869379054096768,-0.21605323128448184
2016-11-16,10.91,11.69,10.85,11.34,11.34,378700,0.038927524782826683,0.11673894225871706,-0.18506771990982873
2016-11-17,11.29,11.87,11.01,11.65,11.65,228500,0.027490246354582748,0.154004278580941,-0.15445739788767776
2016-11-18,11.66,11.8,11.3,11.51,11.51,145700,-0.01068177306992002,0.06439281712534317,-0.13493048691459109
2016-11-21,11.55,11.72,11.37,11.6,11.6,80200,-0.0010400075567065237,0.013023198809739789,-0.08742602807194588
2016-11-22,11.69,11.8,11.26,11.37,11.37,117500,-0.028382046014254314,-0.07072120138462035,-0.1672143200961882
2016-11-23,11.24,11.77,10.95,11.72,11.72,171800,0.039015510574959666,-0.0004691866257355848,-0.060848325739229825
2016-11-25,11.8,11.8,11.27,11.76,11.76,76500,-0.006599522311014017,0.051805131292215645,-0.08003514809128554
2016-11-28,11.7,11.7,10.94,11.0,11.0,165900,-0.057844912924922554,-0.04175969150840242,-0.14680691289410186
2016-11-29,10.99,11.04,10.75,10.82,10.82,138200,-0.01735999728201376,-0.08189750530727036,-0.14452035175897748
2016-11-30,10.82,10.99,10.48,10.56,10.56,205700,-0.021525436690208455,-0.093863264286151,-0.19353857403282815
2016-12-01,10.83,11.15,10.3,10.68,10.68,335500,-0.009807241379884868,-0.0793971588102651,-0.1683301409453417
2016-12-02,10.61,11.2,10.31,11.07,11.07,166400,0.042063139865065935,-0.02173829221492296,-0.10353115767783905
2016-12-05,11.2,11.79,10.76,11.74,11.74,269400,0.045244799552615955,0.0017095705205312228,-0.03932702317448822
2016-12-06,11.69,11.93,11.26,11.68,11.68,280000,-0.003104913753940952,-0.006319763395510769,-0.034317438967569114
2016-12-07,11.48,11.68,11.26,11.5,11.5,194300,-0.01201952093812153,0.026612215860536637,-0.01592844955017325
2016-12-08,11.49,11.96,11.24,11.93,11.93,182500,0.03532387368981116,0.07899780346736263,0.02363705190306975
2016-12-09,12.0,12.5,11.93,12.22,12.22,196600,0.0138206641919294,0.11876016733797679,0.11008600498963172
2016-12-12,12.07,12.45,11.95,12.25,12.25,165700,0.01563115877134491,0.10752895425427766,0.11760309956292136
2016-12-13,12.33,12.47,12.07,12.14,12.14,117800,-0.019233980693623032,0.056521334100891885,0.09748221728579409
