Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,2.88,2.9,2.71,2.9,2.9,1800,0.014177886024061559,,
2016-04-29,2.7,2.92,2.56,2.9,2.9,21600,0.07461092680341719,,
2016-05-02,2.85,2.85,2.69,2.8,2.8,9900,-0.024574217538723797,,
2016-05-03,2.72,2.73,2.6,2.65,2.65,3900,-0.019401693622233984,,
2016-05-04,2.62,2.62,2.46,2.52,2.52,18500,-0.03444983166602844,,
2016-05-05,2.59,2.78,2.59,2.64,2.64,3000,0.02025179476025485,,
2016-05-06,2.61,2.65,2.57,2.57,2.57,2000,-0.020009533100460608,,
2016-05-09,2.6,2.67,2.6,2.67,2.67,2700,0.026013176281818096,-0.07435062672841586,
2016-05-10,2.65,2.67,2.65,2.65,2.65,2800,-0.01049438434408767,-0.0993517741212554,
2016-05-11,2.61,2.61,1.9,2.35,2.35,9890500,-0.09585517170806723,-0.16701763631537525,
2016-05-12,3.0,3.09,2.72,2.88,2.88,112200,-0.039340702747238776,0.08287208671013924,
2016-05-13,2.81,2.84,2.28,2.43,2.43,83300,-0.1375591452485294,-0.034166360187330214,
2016-05-16,2.5,2.54,2.25,2.25,2.25,36000,-0.11514856046092126,-0.1676354299767644,
2016-05-17,2.31,2.48,2.3,2.45,2.45,94600,0.0675122440724174,-0.04297912924945457,
2016-05-18,2.41,2.49,2.3,2.46,2.46,12700,0.01894614069531564,-0.07653032217475486,
2016-05-19,2.5,2.64,2.5,2.64,2.64,3700,0.056530138371613026,0.01772603769958281,
2016-05-20,2.62,2.64,2.6,2.62,2.62,3700,-0.005099939153993205,0.11465676802810021,
2016-05-23,2.62,2.68,2.6,2.6,2.6,1500,-0.005619132972828789,-0.09446291378836824,
2016-05-24,2.58,2.63,2.55,2.58,2.58,13900,-0.011340301500567307,0.04561100502378401,
2016-05-25,2.59,2.59,2.4,2.4,2.4,37400,-0.08175825725664365,0.053049831662749014,
2016-05-26,2.47,2.5,2.35,2.35,2.35,3100,-0.049161985360003824,-0.06240678348853346,
2016-05-27,2.35,2.5,2.18,2.32,2.32,120600,-0.01714499412864079,-0.08340078860942801,
2016-05-31,2.37,2.55,2.36,2.4,2.4,77300,0.014094089389109832,-0.12282462986219511,
