Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,13.67,13.74,13.54,13.58,12.860854,403800,-0.05375808348676747,,
2016-04-29,13.56,13.63,13.3,13.61,12.889265,457100,-0.04757752531210713,,
2016-05-02,13.68,13.95,13.68,13.93,13.19232,362500,-0.043174710545097916,,
2016-05-03,14.02,14.22,14.0,14.2,13.448022,753800,-0.03498230288293325,,
2016-05-04,14.03,14.13,13.99,14.06,13.315435999999998,594100,-0.04780834577652726,,
2016-05-05,14.04,14.09,13.91,14.09,13.343847,421300,-0.04972426556086873,,
2016-05-06,14.03,14.04,13.79,13.8,13.069204,811400,-0.07550448183678915,,
2016-05-09,13.88,13.98,13.83,13.94,13.201789999999999,820800,-0.050650379722301686,0.0344459402415116,
2016-05-10,13.95,14.32,13.95,14.27,13.514315,674600,-0.042224398592263235,0.03815402251337119,
2016-05-11,14.2,14.2,14.07,14.09,13.343847,234300,-0.05310686341342796,0.01960699034440605,
2016-05-12,14.11,14.28,14.06,14.23,13.476432999999998,404900,-0.04446001786739506,0.001751856748756886,
2016-05-13,14.18,14.24,14.0,14.01,13.268084,369400,-0.05873698827254037,-0.0013612276838794735,
2016-05-16,14.13,14.16,14.02,14.11,13.362788,344000,-0.06561441252749312,-0.006368279786149955,
2016-05-17,14.11,14.3,14.03,14.27,13.514315,464300,-0.034462527796039755,0.03832961616966957,
2016-05-18,14.2,14.26,14.08,14.1,13.353318,425600,-0.06306553306228757,0.016799267125191086,
2016-05-19,13.92,14.02,13.88,13.94,13.201789999999999,463000,-0.05093227535946987,-0.0018903070204498995,
2016-05-20,14.0,14.15,13.96,14.06,13.315435999999998,1329200,-0.05523330501505441,0.00376636244203965,
2016-05-23,14.12,14.27,14.06,14.19,13.438551,491900,-0.04742097550953739,0.005000995890557025,
2016-05-24,14.21,14.28,14.08,14.26,13.504845000000001,528500,-0.06223773366151697,0.003399921304001463,
2016-05-25,14.33,14.49,14.22,14.41,13.6469,612000,-0.054411971127839465,0.009549871164478141,
2016-05-26,14.41,14.49,14.07,14.33,13.571137,305000,-0.05933631478370405,-0.016538323003251865,
2016-05-27,14.36,14.6,14.34,14.54,13.770017000000001,480900,-0.0462498679631671,0.0059220296730080335,
2016-05-31,14.34,14.55,14.34,14.49,13.722664000000002,986700,-0.04248875544365438,0.011181896028439553,
2016-06-01,14.43,14.5,14.28,14.37,13.609019,624100,-0.06114749086602789,-0.0008386186979634225,
2016-06-02,14.23,14.25,14.14,14.24,13.485904000000001,807100,-0.05730014505889525,-0.024038247406268365,
2016-06-03,14.29,14.49,14.29,14.44,13.675312,311700,-0.041617149372861206,0.001492631057847582,
2016-06-06,14.45,14.54,14.31,14.52,13.751076999999999,395700,-0.053652970189626004,-0.0013810626439991758,
2016-06-07,14.49,14.68,14.49,14.54,13.770017000000001,798000,-0.0518888509289952,0.004063386227854515,
2016-06-08,14.56,14.73,14.56,14.69,13.912072,741000,-0.04855058858935113,0.0007520953169168898,0.057919332356627606
2016-06-09,14.62,14.75,14.6,14.71,13.931014000000001,1152400,-0.04819255672824552,0.006270962163771987,0.05371657368513283
2016-06-10,14.21,14.36,13.81,13.9,13.163908,1149000,-0.07004712761437881,-0.03169980434349995,-0.009165070255017671
2016-06-13,13.78,13.85,13.74,13.8,13.069204,1644700,-0.046874503307876125,-0.01886328601335885,-0.0361486807803133
2016-06-14,13.76,13.79,13.65,13.76,13.031322,1108400,-0.053769408542021946,-0.03682879322888821,-0.03329746855091864
2016-06-15,13.85,13.94,13.79,13.91,13.173379,837200,-0.04714673582771578,-0.024783834232599222,-0.022983305498270212
2016-06-16,13.75,13.78,13.52,13.56,12.841914,814800,-0.0739368900153421,-0.05348340868235901,-0.027628729288086795
2016-06-17,13.49,13.74,13.4,13.72,12.993441,1278400,-0.03413965932880014,-0.04544908901380129,-0.021975696898685282
2016-06-20,13.9,14.06,13.9,14.0,13.258613,850900,-0.050929965154852486,-0.03411764532228423,-0.01855509415052259
2016-06-21,14.06,14.09,13.88,14.03,13.287023999999999,688000,-0.05832358131551629,0.012735708154426373,-0.016036352444997348
2016-06-22,14.07,14.14,14.0,14.01,13.268084,296400,-0.05662361324779264,0.01203409019731172,-0.02586644733175847
2016-06-23,14.25,14.25,14.04,14.17,13.41961,432200,-0.06979713379160213,0.011216414491003412,-0.020719826376035755
2016-06-24,13.78,14.02,13.59,13.84,13.107086,1024800,-0.017994660996563105,0.011548521659886735,-0.0050665040522335225
2016-06-27,13.57,13.72,13.34,13.61,12.889265,776500,-0.03613404341249771,0.04166435372797439,-0.024293991729781972
2016-06-28,13.8,13.95,13.52,13.77,13.040792999999999,827800,-0.07114085625738475,0.020744182165540526,-0.018030781858335843
2016-06-29,14.13,14.33,14.0,14.32,13.561666,370300,-0.05470605102032522,0.028608403173268737,0.011943616043196048
2016-06-30,14.02,14.29,13.95,14.26,13.504845000000001,1151800,-0.04975196360344736,0.01150376361724792,-0.008298951269789079
2016-07-01,14.07,14.39,14.03,14.24,13.485904000000001,507000,-0.04411792537616677,0.007927077933832738,-0.022940365288482756
