Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,6.2,6.46,6.16,6.16,6.16,106700,0.0007849286738703665,,
2016-04-29,6.12,6.24,6.01,6.05,6.05,193400,-0.00835186166021229,,
2016-05-02,6.08,6.16,6.06,6.08,6.08,260600,-0.006874640439322732,,
2016-05-03,6.06,6.13,5.85,6.01,6.01,162500,-0.0016145048465656675,,
2016-05-04,6.01,6.04,5.89,5.98,5.98,188200,-0.0005385960009305357,,
2016-05-05,5.97,6.01,5.66,5.8,5.8,667600,-0.02775825653866071,,
2016-05-06,5.79,6.0,5.61,5.98,5.98,323700,0.027723065704649663,,
2016-05-09,5.95,6.04,5.9,5.97,5.97,302900,0.0028018567440686315,-0.02304821228906362,
2016-05-10,5.99,6.2,5.94,6.12,6.12,325400,0.010976300052788934,0.0023031473545267467,
2016-05-11,6.13,6.16,6.05,6.06,6.06,236400,-0.0024052283964297594,0.004891556812862685,
2016-05-12,6.11,6.11,5.8,5.99,5.99,320800,-0.018354069283129437,-0.0036919038593425935,
2016-05-13,6.0,6.1,5.9,5.99,5.99,258400,0.00606602364397113,0.0038721281483622416,
2016-05-16,5.96,6.0,5.92,5.93,5.93,450400,-0.014834312870719346,0.01437956642239202,
2016-05-17,5.91,6.24,5.91,6.09,6.09,752400,0.03867399435328256,0.023066258860303224,
2016-05-18,6.08,6.22,6.01,6.2,6.2,952100,0.017956134326578166,0.04318916493966718,
2016-05-19,6.25,6.33,6.15,6.22,6.22,557100,-0.0027696039096789526,0.03771457076634199,
2016-05-20,6.25,6.69,6.25,6.51,6.51,641500,0.03565805331817451,0.07752743455041711,
2016-05-23,6.6,6.62,6.33,6.4,6.4,405600,-0.02872791889401305,0.07402251357031808,
2016-05-24,6.46,6.78,6.44,6.76,6.76,442900,0.03405327075979492,0.1066443413702296,
2016-05-25,6.85,6.89,6.69,6.79,6.79,232700,-0.014366829602626252,0.12393803908614864,
2016-05-26,6.77,6.82,6.62,6.73,6.73,159200,-0.005285106143732676,0.0791929748468656,
2016-05-27,6.72,6.85,6.7,6.72,6.72,233700,-0.004296851650791744,0.0557322381406371,
2016-05-31,6.78,7.02,6.77,6.98,6.98,383200,0.030587122004226863,0.08776455996532317,
