Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,8.81,8.91,8.81,8.88,7.2074419999999995,633500,-0.19351589344364228,,
2016-04-29,8.84,8.88,8.67,8.78,7.126277,903200,-0.21234597566282165,,
2016-05-02,8.79,8.97,8.79,8.93,7.248024000000001,1164300,-0.1997604721429338,,
2016-05-03,8.87,8.89,8.72,8.84,7.174975999999999,916800,-0.20540483294159162,,
2016-05-04,8.77,8.97,8.75,8.9,7.223674000000001,1394400,-0.18950753405729848,,
2016-05-05,9.0,9.13,8.92,9.05,7.345422,1236500,-0.20201656199694895,,
2016-05-06,9.05,9.14,8.98,9.14,7.41847,1165000,-0.2033571319284806,,
2016-05-09,9.13,9.27,9.12,9.23,7.491517999999999,1001700,-0.1983480984885193,0.046938981748157804,
2016-05-10,9.28,9.31,9.2,9.31,7.556449000000001,1002900,-0.21595456029328952,0.04941175555649169,
2016-05-11,9.31,9.31,9.13,9.2,7.467169,1631300,-0.21149342510289149,0.03797351743185806,
2016-05-12,9.21,9.42,9.18,9.42,7.645732000000001,2494100,-0.18466097484134147,0.06318959952091796,
2016-05-13,9.4,9.46,9.27,9.41,7.637614,1861700,-0.19989035779472797,0.05792284697695904,
2016-05-16,9.39,9.54,9.38,9.42,7.645732000000001,1536900,-0.21528575437040898,0.03228359259219493,
2016-05-17,9.4,9.4,9.12,9.19,7.459052000000001,1420500,-0.22260961683385538,0.010294237037316023,
2016-05-18,9.17,9.23,8.96,9.08,7.369771000000001,1241500,-0.22013911420942334,-0.010998013122787587,
2016-05-19,8.93,9.04,8.85,9.0,7.3048399999999996,1079900,-0.1988372996443688,-0.012357468152923046,
2016-05-20,9.06,9.13,9.01,9.11,7.394121000000001,1066000,-0.2082838342083777,-0.003932941303951498,
2016-05-23,9.13,9.16,9.06,9.1,7.386005,812300,-0.2099349614475905,-0.02674465493426137,
2016-05-24,9.19,9.39,9.18,9.38,7.613267,1005000,-0.19956385457100811,-0.017480003996692695,
2016-05-25,9.36,9.36,9.24,9.3,7.548335000000001,626500,-0.22068740024926115,-0.024309263988342877,
2016-05-26,9.32,9.41,9.27,9.4,7.629499000000001,814800,-0.1994996102942288,0.0018597657988723704,
2016-05-27,9.4,9.49,9.39,9.46,7.678199,688300,-0.20662152647614862,0.016191756301884297,
2016-05-31,9.49,9.49,9.38,9.45,7.670081,1356400,-0.21139612949037012,0.02127558373485061,
2016-06-01,9.43,9.57,9.4,9.56,7.759364,1239200,-0.1975665773642934,0.025567757417051862,
2016-06-02,9.55,9.62,9.5,9.61,7.799945,716700,-0.20601719685494047,0.02697396658483653,
2016-06-03,9.68,9.79,9.59,9.66,7.840527000000001,800000,-0.20840517063288955,0.018362645795433785,
2016-06-06,9.68,9.72,9.54,9.55,7.751247,868000,-0.22628387159003083,0.01754090315764234,
2016-06-07,9.57,9.76,9.53,9.68,7.856763000000001,1095400,-0.19818215781503667,0.018867605298540813,
2016-06-08,9.69,9.86,9.66,9.81,7.962275999999999,1130000,-0.19940903551578826,0.026818564381715593,0.07895128930897011
2016-06-09,9.79,9.9,9.76,9.86,8.002857,1088800,-0.20148253369971592,0.03367358400944154,0.09200345514786079
2016-06-10,9.82,9.86,9.74,9.76,7.921692999999999,840900,-0.20839620456257713,0.02225866160434542,0.08186699514930385
2016-06-13,9.72,9.82,9.63,9.66,7.840527000000001,1440800,-0.20879442765432898,0.01771245193219073,0.08113136310368385
2016-06-14,9.64,9.64,9.51,9.59,7.7837130000000005,835700,-0.21324705512257225,0.004134948221136803,0.06294043699683693
2016-06-15,9.61,9.79,9.6,9.74,7.905458,849000,-0.19231036998429962,0.03783493663003057,0.06335016839152496
2016-06-16,9.72,9.78,9.62,9.74,7.905458,1103000,-0.21224462995133075,0.02247450349518898,0.053496111629918186
2016-06-17,9.77,9.79,9.66,9.74,7.905458,2021800,-0.20839873984445934,0.015701690097869037,0.04771399765868134
