Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,7.98,8.07,7.83,7.84,7.84,1910800,-0.010442133919913221,,
2016-04-29,7.87,7.95,7.71,7.8,7.8,1864400,-0.005782365912493148,,
2016-05-02,7.81,8.01,7.81,7.91,7.91,1110100,0.005848177488644968,,
2016-05-03,7.83,7.83,7.6,7.66,7.66,1872000,-0.015279979562670576,,
2016-05-04,7.62,7.72,7.5,7.58,7.58,1482300,-0.0007975854606292465,,
2016-05-05,7.69,7.74,7.53,7.57,7.57,1530200,-0.014596962754718668,,
2016-05-06,7.49,7.69,7.49,7.63,7.63,852300,0.013953837094250243,,
2016-05-09,7.57,7.63,7.45,7.53,7.53,1517600,-0.005851876740459172,-0.03206215469865992,
2016-05-10,7.53,7.7,7.46,7.68,7.68,1969900,0.009230121003691139,-0.024704863662923238,
2016-05-11,7.62,7.63,7.33,7.33,7.33,2676400,-0.029721132329527444,-0.06796581317128703,
2016-05-12,7.41,7.43,7.1,7.16,7.16,2011200,-0.032839166562424804,-0.06786057021953029,
2016-05-13,7.1,7.2,6.9,6.95,6.95,2033000,-0.013619043725900948,-0.0845702560940349,
2016-05-16,7.01,7.08,6.77,6.79,6.79,1490700,-0.04167480427898895,-0.1165288549136212,
2016-05-17,6.77,6.91,6.62,6.76,6.76,2703300,0.0071935471801729545,-0.11622621014045476,
2016-05-18,6.75,7.11,6.68,7.09,7.09,3966700,0.04755437391320538,-0.05482290097463416,
2016-05-19,7.02,7.25,6.95,7.04,7.04,3022800,0.00488690521977464,-0.06550461645014116,
2016-05-20,7.1,7.39,7.1,7.39,7.39,2594300,0.034933011758847554,0.014049997472712628,
2016-05-23,7.35,7.41,7.0,7.03,7.03,2361800,-0.04246986762943128,-0.01050733981793095,
2016-05-24,7.07,7.24,7.01,7.21,7.21,2838100,0.008268169887809096,0.0224401551628719,
2016-05-25,7.24,7.42,7.21,7.37,7.37,1320200,0.012227380904523022,0.0704780751558185,
2016-05-26,7.41,7.42,7.23,7.23,7.23,1181500,-0.023950566013507757,0.04648205902783542,
2016-05-27,7.23,7.43,7.23,7.36,7.36,2223000,0.013524044919319689,0.012567967853373663,
2016-05-31,7.38,7.42,7.19,7.2,7.2,1423300,-0.023177305408121684,-0.005041594205811517,
2016-06-01,7.18,7.33,6.97,7.32,7.32,1816100,0.01674009212072214,-0.032164796642773164,
2016-06-02,7.3,7.34,7.17,7.19,7.19,1751500,-0.01877590117232608,-0.005051256506869883,
2016-06-03,7.18,7.18,6.88,6.98,6.98,1708100,-0.025899787121205442,-0.043471056920938,
2016-06-06,7.0,7.04,6.85,6.98,6.98,1180600,-0.0069369362301037185,-0.06335461077751159,
2016-06-07,6.99,7.19,6.98,7.11,7.11,1474400,0.016098045665323468,-0.027221695331459683,
