Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2018-12-07,22.0,22.75,18.51,18.6,18.6,12995600,-0.14602567675698808,,
2018-12-10,18.9,19.438999,18.0,18.799999,18.799999,4233300,-0.007909172465787595,,
2018-12-11,20.549999,20.66,17.99,18.01,18.01,3435300,-0.12149833778207997,,
2018-12-12,18.549999,19.48,18.02,18.68,18.68,2590900,0.009680820167296211,,
2018-12-13,19.25,19.290001,18.68,18.76,18.76,1608600,-0.022710261598106296,,
2018-12-14,18.75,18.881001,18.25,18.32,18.32,746300,-0.01183044847276049,,
2018-12-17,18.33,18.469998999999998,16.9,17.0,17.0,1580800,-0.05787821901794521,,
2018-12-18,17.1,17.25,16.25,17.0,17.0,1621600,-0.000483269781770268,-0.056380250669514353,
2018-12-19,16.860001,17.370001000000002,16.0,16.18,16.18,941500,-0.025303102441495806,-0.0992368565296542,
2018-12-20,16.0,16.139999,14.75,15.5,15.5,2365200,-0.019923832490384097,-0.08370168722032245,
2018-12-21,15.4,15.5,13.95,14.47,14.47,2063000,-0.04231398048679891,-0.16278245250079104,
2018-12-24,14.32,14.32,13.75,14.03,14.03,665400,0.0003594552013055363,-0.17064898735311385,
2018-12-26,14.15,14.31,13.03,13.52,13.52,1817800,-0.0888482470275167,-0.2516176162867456,
2018-12-27,13.49,14.95,13.27,14.65,14.65,1769500,0.06370101830761543,-0.12608585015899898,
2018-12-28,14.72,14.85,13.818,14.15,14.15,929100,-0.03426426832140583,-0.15948281060813363,
2018-12-31,14.24,15.3,14.213,15.27,15.27,994700,0.06667480758751854,-0.05784196824263654,
2019-01-02,14.93,15.45,14.51,15.33,15.33,2318100,0.01317635058038702,-0.02815000914991117,
2019-01-03,15.49,16.08,15.2,15.5,15.5,1588900,0.018472450587578404,0.055906016074884324,
2019-01-04,16.0,17.5,15.894,16.959999,16.959999,1651800,0.03525274897116315,0.11555723869812429,
2019-01-07,17.540001,17.940001000000002,16.18,16.27,16.27,1585400,-0.08069860127964423,0.15246761348573257,
2019-01-08,17.35,17.468,16.049999,16.950001,16.950001,1892700,-0.025774699569283133,0.11201996176493179,
2019-01-09,17.200001,17.25,16.15,16.33,16.33,1187400,-0.05382615490862275,0.1041496619438469,
2019-01-10,16.360001,16.51,16.0,16.48,16.48,487300,-0.0016393984487428348,0.04106616888236969,
2019-01-11,16.6,17.059998999999998,16.530001000000002,17.0,17.0,580600,0.020666617874348425,0.06962441622798377,
2019-01-14,17.0,17.059998999999998,16.719998999999998,16.74,16.74,612900,-0.016303266295952135,0.023386869504196994,
2019-01-15,17.0,17.0,16.41,16.59,16.59,468100,-0.03411418604235106,-0.052536859212473086,
2019-01-16,16.799999,16.950001,16.26,16.26,16.26,272800,-0.03318692873787832,-0.026327753722912295,
2019-01-17,16.049999,16.530001000000002,16.049999,16.309998999999998,16.309998999999998,315700,0.005896473150059034,-0.06211661725949913,
2019-01-18,16.459999,16.799999,16.25,16.690001000000002,16.690001000000002,630000,0.006571101055162565,-0.010828430589409077,-0.12254182992321017
2019-01-22,16.620001000000002,16.635,15.35,15.56,15.56,636900,-0.056460425401069436,-0.07131160843328743,-0.18732426432320848
