Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,15.28,15.41,15.21,15.29,13.182745,138800,-0.14037856306351149,,
2016-04-29,15.24,15.28,15.24,15.24,13.139629999999999,64000,-0.14513873307249714,,
2016-05-02,15.29,15.34,15.21,15.24,13.139629999999999,70500,-0.15844080601556287,,
2016-05-03,15.33,15.47,15.29,15.47,13.337933999999999,142700,-0.13252899026641574,,
2016-05-04,15.47,15.49,15.41,15.49,13.355177,88600,-0.14253298006410953,,
2016-05-05,15.51,15.6,15.48,15.59,13.441395000000002,82700,-0.1420150995234013,,
2016-05-06,15.58,15.66,15.58,15.62,13.467259,104600,-0.1502917706353979,,
2016-05-09,15.62,15.72,15.62,15.72,13.553482,53000,-0.14246250703119845,0.036016348839724266,
2016-05-10,15.72,15.75,15.68,15.71,13.544857999999998,104300,-0.1594211794363174,0.021173460417142298,
2016-05-11,15.68,15.71,15.45,15.48,13.407148999999999,93900,-0.1475182212967514,0.02834167050002767,
2016-05-12,15.46,15.55,15.4,15.4,13.337863,127200,-0.14616791863390421,-0.00036389061699493297,
2016-05-13,15.41,15.49,15.41,15.46,13.389825,56400,-0.13278747842449867,0.004792274209182157,
2016-05-16,15.47,15.5,15.46,15.46,13.389825,87500,-0.15419561922521208,-0.011630763223580143,
2016-05-17,15.51,15.58,15.49,15.51,13.433133999999999,66900,-0.1350888916742079,0.002301606085602259,
2016-05-18,15.57,15.65,15.48,15.5,13.424469,133900,-0.14985536105223973,-0.004177601650053653,
2016-05-19,15.4,15.44,15.2,15.25,13.207947,193600,-0.1515068624418281,-0.003681537479129915,
2016-05-20,15.28,15.32,15.22,15.25,13.207947,75600,-0.15082602900215525,-0.009071599853668566,
2016-05-23,15.32,15.4,15.28,15.4,13.337863,99200,-0.13650859178734942,0.00781593533204994,
2016-05-24,15.44,15.5,15.39,15.46,13.389825,66900,-0.15380675593433946,-0.014287136557284974,
2016-05-25,15.46,15.5,15.42,15.45,13.381169,72500,-0.14997674196698485,-0.012135359546291635,
2016-05-26,15.53,15.56,15.4,15.42,13.355182999999998,95700,-0.1502282508356796,-0.026553879351619347,
2016-05-27,15.48,15.48,15.28,15.29,13.242592000000002,84900,-0.160407418071284,-0.0384474091423459,
2016-05-31,15.29,15.31,15.22,15.3,13.251254999999999,110300,-0.14159144783072763,-0.02424087902008898,
2016-06-01,15.26,15.44,15.26,15.44,13.372504000000001,104700,-0.13460522010412168,-0.010265425001540596,
2016-06-02,15.37,15.49,15.31,15.32,13.268572,107800,-0.1506120509007962,-0.03276432376896299,
2016-06-03,15.4,15.5,15.38,15.42,13.355182999999998,60800,-0.140112281053836,-0.013641563360117903,
2016-06-06,15.41,15.46,15.34,15.36,13.303215,77000,-0.15108661794190548,-0.01482850610274511,
2016-06-07,15.39,15.44,15.39,15.41,13.346520000000002,83900,-0.1433859130473536,-0.011133775469495788,
2016-06-08,15.38,15.42,15.36,15.38,13.320538,134800,-0.14679040763808926,-0.003642556856249257,-0.010251218808924545
2016-06-09,15.45,15.45,15.38,15.4,13.337863,107800,-0.14692185067457775,-0.0022832751428616405,-0.009032231224938236
2016-06-10,15.42,15.59,15.41,15.54,13.459114000000001,106700,-0.1295888985556406,0.008009926908974396,0.017014572553792906
2016-06-13,15.52,15.69,15.5,15.64,13.607017,138500,-0.12545875986311428,0.03771046699412084,0.012398187940212857
2016-06-14,15.64,15.69,15.47,15.5,13.485213,125900,-0.14759740352256578,0.021096728605702886,-0.0020396971025178345
2016-06-15,15.59,15.59,15.41,15.44,13.433013,127500,-0.14597390322243475,0.02784486178771539,-0.010749767084901496
2016-06-16,15.48,15.52,15.45,15.45,13.441717,67900,-0.14679820672609534,0.02340318925604956,-0.011982859479463315
2016-06-17,15.46,15.53,15.46,15.48,13.467815,90100,-0.134588959005304,0.0338588819890866,-0.012408685659562213
2016-06-20,15.48,15.48,15.41,15.42,13.415613,60100,-0.14681819421384823,0.021164898567865187,-0.009040793074215348
2016-06-21,15.42,15.48,15.41,15.47,13.459114999999999,41800,-0.13778641126907187,0.003426704868622732,-0.007900393077612033
2016-06-22,15.43,15.47,15.41,15.46,13.450413000000001,110500,-0.13524404868721573,-0.014644542607662014,-0.0018824640504542245
2016-06-23,15.43,15.43,15.39,15.43,13.424314,54300,-0.14900342307755032,-0.02267102276595878,-0.029502994077658773
2016-06-24,15.44,15.56,15.4,15.54,13.520014999999999,91000,-0.1007197599213212,0.023049418704627733,0.02393041484330638
2016-06-27,15.51,15.64,15.48,15.57,13.546114000000001,97700,-0.1200526246072453,0.0457205485366492,0.03143608297158362
2016-06-28,15.55,15.62,15.51,15.58,13.554814000000002,84500,-0.15187350926974652,0.023545502352154912,0.015314418342646352
2016-06-29,15.55,15.6,15.54,15.56,13.537417999999999,111200,-0.15225607421109544,0.015047022945366084,0.009687767350280652
2016-06-30,15.57,15.73,15.57,15.64,13.607017,186300,-0.14707596222608021,0.006172217434969429,0.007343424211025962
2016-07-01,15.68,15.87,15.59,15.65,13.615713000000001,165700,-0.14287956750042152,0.003858219796193385,-0.005840179586310779
2016-07-05,15.7,15.76,15.67,15.7,13.659220000000001,109100,-0.13613858679763613,0.029137345127241865,0.013921487606868066
2016-07-06,15.68,15.81,15.67,15.7,13.659220000000001,103100,-0.1452846149870961,-0.019885774037995407,0.016180000351602608
2016-07-07,15.7,15.75,15.68,15.69,13.650517,102800,-0.13868282606847515,-0.03984195422537651,0.018148008097826462
2016-07-08,15.7,15.81,15.7,15.8,13.746220000000001,65900,-0.14372093667448427,-0.031021582671441283,0.02274024481355097
2016-07-11,15.8,15.86,15.8,15.8,13.746220000000001,71800,-0.1417947144865659,-0.01625095306203006,0.01767769330833957
2016-07-12,15.8,15.83,15.67,15.71,13.667914999999999,96100,-0.15084931405758084,-0.0206027552979946,-0.002993906085428044
2016-07-13,15.7,15.7,15.52,15.54,13.580526999999998,122200,-0.14438279452919867,-0.02584387231367158,0.0010802718689806312
2016-07-14,15.5,15.53,15.1,15.27,13.344573,253700,-0.15244686206516223,-0.058677724896742056,-0.031114673929756087
2016-07-15,15.29,15.48,15.27,15.47,13.519353,133100,-0.12150990203801548,-0.039397229877518036,-0.008388723423170319
2016-07-18,15.61,15.65,15.57,15.62,13.65044,80500,-0.13638065097663565,-0.03236175361046101,-0.0030799700431387578
2016-07-19,15.7,15.74,15.56,15.73,13.746567,79600,-0.13286696598966818,-0.015756478397151774,0.010626323272648452
2016-07-20,15.74,15.76,15.66,15.72,13.737831,77400,-0.13924138241225004,-0.017250573784549417,0.002710394666651794
2016-07-21,15.72,15.76,15.69,15.76,13.772785999999998,63800,-0.1286707725969558,0.0016073027809233587,-0.009396530213479082
2016-07-22,15.76,15.76,15.61,15.69,13.711614,74900,-0.1431752428806452,-0.0008387835212650963,-0.037468978646405304
2016-07-25,15.73,15.74,15.64,15.66,13.685395999999999,70700,-0.1368315230713466,0.02303586896990284,-0.029175533565556133
2016-07-26,15.67,15.7,15.63,15.66,13.685395999999999,37700,-0.13551557498687705,0.008771328160861014,-0.027462257050024697
2016-07-27,15.66,15.76,15.62,15.66,13.685395999999999,80300,-0.13329070182485614,0.002700510352476204,-0.023782648946712115
2016-07-28,15.72,15.72,15.62,15.67,13.694135999999999,61500,-0.13981566416255609,-0.006719546700760581,-0.029952105417198727
2016-07-29,15.72,15.8,15.69,15.77,13.781526000000001,73400,-0.13380172395523005,0.0029086756713589956,-0.015545828229854397
2016-08-01,15.77,15.86,15.75,15.78,13.790264,98500,-0.13308311221850566,-0.00134716591333639,-0.014170400995438204
2016-08-02,15.75,15.75,15.54,15.73,13.746567,114700,-0.13008404380948457,0.010856091199346718,-0.011968344839396572
2016-08-03,15.73,15.9,15.7,15.89,13.886395000000002,103300,-0.12789115943347085,0.016745425254311552,0.0102409144547142
2016-08-04,15.89,15.95,15.82,15.89,13.886395000000002,81200,-0.13512237038482544,0.01685560846849521,-0.03365606728615722
2016-08-05,15.91,15.93,15.81,15.86,13.860178,43300,-0.144399157945434,0.005199902643712839,-0.06430329483964847
2016-08-08,15.92,15.93,15.83,15.9,13.895129999999998,64200,-0.13472259637348527,0.009592549850625076,-0.04390505791872856
2016-08-09,15.92,15.97,15.88,15.9,13.895129999999998,71700,-0.13580861275885914,0.00447152460242739,-0.02612132657279309
2016-08-10,15.9,15.95,15.88,15.93,13.921351999999999,75400,-0.12953618990592997,0.007321248731477326,-0.013021369698930307
2016-08-11,15.89,15.93,15.79,15.8,13.868682999999999,50800,-0.13964080397891632,-0.004400891677690311,-0.020227456313280268
2016-08-12,15.86,15.94,15.82,15.94,13.991569,57800,-0.12548725751231027,-0.0017742919610719277,-0.020670722633599592
2016-08-15,15.95,15.95,15.83,15.84,13.903794,51300,-0.13915704529730233,-0.010643940084302361,-0.024414233332464175
2016-08-16,15.89,15.89,15.76,15.8,13.868682999999999,88400,-0.13234938281305197,0.002778170936829305,-0.02168316967744266
2016-08-17,15.82,15.91,15.79,15.89,13.947682999999998,70600,-0.1279706546998467,0.003165289582899078,-0.009718185664388201
2016-08-18,15.94,15.94,15.9,15.92,13.974019,67000,-0.13397573737839163,0.0032442240087959817,-0.006626149501967049
2016-08-19,15.91,15.94,15.84,15.89,13.947682999999998,40000,-0.13146508956660297,-0.001955039293399796,0.005626346305664498
2016-08-22,15.82,15.83,15.73,15.74,13.816017,149800,-0.1359320746327093,-0.002362472544536587,0.0032539434558547242
2016-08-23,15.75,15.75,15.7,15.73,13.807242,86900,-0.13123102878744097,-0.014565694075042046,0.023441308188100418
2016-08-24,15.67,15.7,15.53,15.53,13.631689000000001,122100,-0.13492475841540497,-0.0130255225962439,0.0019574739488099624
2016-08-25,15.57,15.6,15.52,15.53,13.631689000000001,64300,-0.13257141935718497,-0.01462502888952022,-0.003946444956501871
2016-08-26,15.46,15.55,15.43,15.43,13.543914000000001,89600,-0.12952875380629214,-0.02331810350963126,-0.017279810776867688
2016-08-29,15.44,15.53,15.43,15.45,13.561469,98700,-0.1344133603587987,-0.02692643395091343,-0.016302009668331063
2016-08-30,15.48,15.53,15.46,15.52,13.622910000000001,77400,-0.12626693326231697,-0.020005409415907227,-0.015986365891166088
2016-08-31,15.53,15.6,15.46,15.56,13.658023000000002,109400,-0.12724495637211364,-0.006131189695715911,-0.00203846271859609
2016-09-01,15.6,15.64,15.54,15.59,13.684354999999998,84400,-0.1308012375116876,-0.0015785082303505504,-0.0011730690121529719
2016-09-02,15.61,15.61,15.43,15.43,13.543914000000001,80100,-0.14311729994535982,-0.008544638186011255,-0.015358492398062307
2016-09-06,15.47,15.52,15.43,15.52,13.622910000000001,126900,-0.12937948056366055,-0.007072401477691059,-0.013719356786669135
2016-09-07,15.5,15.52,15.4,15.4,13.533272,142500,-0.13614172485535558,-0.008647897762047219,-0.019208161838154325
2016-09-08,15.36,15.4,15.33,15.36,13.498123000000001,131400,-0.12854700512803108,-0.00510390316612952,-0.02431458850581958
2016-09-09,15.3,15.3,14.97,15.02,13.199335999999999,225700,-0.1284764621276584,-0.009136190200525807,-0.023775390178355504
2016-09-12,14.94,15.08,14.94,15.06,13.234487,299500,-0.1390580849041032,-0.02599989978740247,-0.03889445370534528
2016-09-13,15.05,15.06,14.88,15.03,13.208126000000002,426000,-0.11958128402646295,-0.015019460037790644,-0.03293795430425517
2016-09-14,14.96,15.08,14.88,14.92,13.111460000000001,957400,-0.13091058456662497,-0.007269044009998282,-0.0394831448765558
2016-09-15,14.93,14.93,14.83,14.85,13.049942999999999,631200,-0.14484021090110444,-0.024868848131470944,-0.04378810756185292
2016-09-16,14.84,14.9,14.75,14.8,13.006006,534300,-0.12849889261311231,-0.018006642742079748,-0.04680735443085915
