Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,9.45,9.65,9.38,9.44,9.44,13794000,0.0061986818312456116,,
2016-04-29,10.65,10.65,9.77,9.93,9.93,29839000,-0.0668474512770807,,
2016-05-02,9.9,9.92,8.97,9.01,9.01,17717500,-0.10107432595962074,,
2016-05-03,8.92,9.21,8.57,8.68,8.68,12808700,-0.020603871232117932,,
2016-05-04,8.82,9.34,8.8,9.28,9.28,12897600,0.05530526136305447,,
2016-05-05,9.3,9.37,9.1,9.34,9.34,10200600,0.005422605395017044,,
2016-05-06,9.26,9.7,9.18,9.67,9.67,8656400,0.038759050134127726,,
2016-05-09,9.63,9.78,9.34,9.73,9.73,12745000,0.009776819284975424,0.03853955389235875,
2016-05-10,9.73,10.03,9.45,9.92,9.92,6761300,0.008844640754780198,-0.010208233887257556,
2016-05-11,9.88,10.24,9.8,9.99,9.99,15351400,0.020151802371152883,0.11143597374993108,
2016-05-12,10.07,10.24,9.97,10.09,10.09,11509900,0.0034654194080632195,0.15016473825367438,
2016-05-13,10.12,10.31,10.07,10.1,10.1,9931700,0.005755840732562412,0.08687516103264903,
2016-05-16,10.1,10.19,9.87,9.98,9.98,7098600,-0.021740378326935872,0.058490109047753425,
2016-05-17,10.59,10.78,10.49,10.59,10.59,26673300,0.008671744049483898,0.09572059524915044,
2016-05-18,10.49,10.7,10.35,10.59,10.59,7671200,0.00789927545871727,0.09008306370853347,
2016-05-19,10.47,10.68,10.35,10.56,10.56,4974600,0.010601206483213055,0.0840271175208227,
2016-05-20,10.57,10.82,10.51,10.77,10.77,5286600,0.013644752132157656,0.08107767691899737,
2016-05-23,10.86,10.99,10.79,10.83,10.83,5611600,-0.0007225137201496423,0.0785911619794315,
2016-05-24,10.86,10.96,10.66,10.89,10.89,5156500,-0.008581679061487435,0.06102237654037035,
2016-05-25,10.92,11.09,10.86,11.01,11.01,6274300,0.0026388615187320497,0.08673217093639352,
2016-05-26,11.01,11.49,10.98,11.24,11.24,7408300,0.021315730854770898,0.038834597764264345,
2016-05-27,11.24,11.54,11.19,11.42,11.42,5726600,0.011590508111527509,0.050649420271173806,
2016-05-31,11.5,11.85,11.49,11.79,11.79,7105700,0.0264199863623249,0.08266398621329385,
2016-06-01,11.79,12.16,11.52,12.04,12.04,7852000,0.018411872539030316,0.08882255905649483,
2016-06-02,12.08,12.36,11.98,12.16,12.16,5787100,0.0030079592804161948,0.08827609310786988,
2016-06-03,12.21,12.79,12.03,12.52,12.52,7871500,0.027422756713985308,0.12843140632872174,
2016-06-06,12.49,12.5,12.06,12.17,12.17,8009700,-0.030030121087122108,0.09118413491429989,
2016-06-07,12.25,12.62,11.97,12.08,12.08,7400100,-0.014898386388174423,0.061587445065188096,
