Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,13.91,13.94,13.82,13.91,10.485897999999999,219400,-0.27531925590822093,,
2016-04-29,13.9,13.93,13.83,13.88,10.463281,202000,-0.2808647967349933,,
2016-05-02,13.97,13.99,13.86,13.98,10.538668,224300,-0.28873565429263515,,
2016-05-03,13.96,14.05,13.9,13.99,10.546205,192700,-0.27375947107761034,,
2016-05-04,14.0,14.07,13.96,14.04,10.583897,213600,-0.2752580499367574,,
2016-05-05,14.05,14.12,14.02,14.11,10.636664999999999,255200,-0.2771846475349413,,
2016-05-06,14.1,14.11,14.01,14.11,10.636664999999999,233900,-0.2864330131257722,,
2016-05-09,14.05,14.13,14.03,14.1,10.629126,281000,-0.2795782780407654,0.021848299846104702,
2016-05-10,14.04,14.09,13.92,14.02,10.667169,275200,-0.28523407616901153,0.010097949065402734,
2016-05-11,13.97,14.05,13.91,14.0,10.651953,152100,-0.26208919617338733,0.018878548919173177,
2016-05-12,14.02,14.02,13.93,13.99,10.644344,118600,-0.27397491856303313,0.008904024261735088,
2016-05-13,13.99,14.01,13.96,13.99,10.644344,151400,-0.2655800366623273,0.00789626015908329,
2016-05-16,13.99,14.19,13.96,14.13,10.750863,246700,-0.2731448030592376,0.00289230645504146,
2016-05-17,14.25,14.25,14.11,14.19,10.796512,289300,-0.2688620436617337,0.01975486917314262,
2016-05-18,14.16,14.19,13.95,13.96,10.621521000000001,209400,-0.2891273241142436,0.004671057348960783,
2016-05-19,13.9,13.9,13.58,13.7,10.423694,460300,-0.28576540299127995,-0.0015824621754294554,
2016-05-20,13.86,14.05,13.77,14.01,10.65956,210200,-0.26764979082729434,0.006611664874602408,
2016-05-23,14.0,14.05,13.95,14.03,10.674777,162800,-0.2691299208757698,0.010670933028403606,
2016-05-24,14.06,14.18,14.01,14.17,10.781296000000001,172500,-0.2768614069938886,-0.0015030269384816997,
2016-05-25,14.17,14.29,14.13,14.25,10.842164,185100,-0.2732535655174919,-0.0030321128118746543,
2016-05-26,14.27,14.28,14.15,14.18,10.788903,122000,-0.279000488474757,-0.02143910020123352,
2016-05-27,14.21,14.28,14.15,14.25,10.842164,103600,-0.27480018667560646,-0.004246243156902807,
2016-05-31,14.2,14.31,14.2,14.25,10.842164,160500,-0.26828405034077063,0.011846672968501615,
2016-06-01,14.28,14.33,14.23,14.25,10.842164,145100,-0.27798820261960877,-0.0056619246601443685,
2016-06-02,14.23,14.35,14.22,14.35,10.918247000000001,191400,-0.26850971055797057,-0.005003965089273699,
