Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,13.55,13.85,13.11,13.32,13.32,87200,-0.009862439033979431,,
2016-04-29,13.32,13.45,12.75,12.93,12.93,122600,-0.02656450950720446,,
2016-05-02,12.97,13.11,12.61,12.98,12.98,93400,-0.006103927491731387,,
2016-05-03,12.94,13.538,12.833,13.39,13.39,152800,0.040855417317867904,,
2016-05-04,13.22,13.23,11.75,12.17,12.17,477300,-0.07829134284045924,,
2016-05-05,12.29,12.56,11.91,12.11,12.11,233100,-0.013623612699466214,,
2016-05-06,12.01,12.32,11.85,12.07,12.07,185600,0.0004181883445610879,,
2016-05-09,12.21,13.17,12.21,12.96,12.96,137000,0.05905855169861196,-0.019117336336259783,
2016-05-10,13.11,13.17,12.5,12.9,12.9,91600,-0.026642370752069766,-0.0115235585430975,
2016-05-11,12.92,12.92,12.26,12.33,12.33,156900,-0.03766145970773582,-0.04318794138997584,
2016-05-12,12.44,12.44,11.59,11.71,11.71,161700,-0.058992617928391056,-0.13442354953303992,
2016-05-13,11.69,12.455,11.53,12.21,12.21,97500,0.0512555933833041,0.005482665106721907,
2016-05-16,12.35,12.79,12.015,12.72,12.72,83700,0.01973145003489485,0.04135727131210665,
2016-05-17,12.71,13.1,12.63,12.69,12.69,85700,0.007096940574417232,0.05492999171789403,
2016-05-18,12.66,13.05,12.23,12.68,12.68,210900,-9.929453342660821e-06,-0.016454941621917296,
2016-05-19,12.61,12.965,11.78,12.06,12.06,396000,-0.04255400559024558,-0.045826359529098415,
2016-05-20,12.11,12.31,11.88,12.03,12.03,158600,-0.011727966732406614,-0.018734008778503064,
2016-05-23,12.06,12.59,11.81,12.12,12.12,162100,0.00700652911486932,0.04222973836359234,
2016-05-24,12.28,12.59,12.02,12.39,12.39,157500,-0.0024225285785126616,0.0003472709611527236,
2016-05-25,12.47,12.89,12.35,12.6,12.6,264100,0.004801935366389731,-0.02096743342936591,
2016-05-26,12.45,12.504,12.1,12.27,12.27,242500,-0.013922527064082146,-0.0543911100914416,
2016-05-27,12.35,12.62,11.85,11.99,11.99,307100,-0.03387994568535513,-0.08075960431303209,
2016-05-31,12.24,13.82,12.01,13.545,13.545,557200,0.10282350563512832,0.0886088341801492,
2016-06-01,13.78,13.79,13.0,13.41,13.41,355800,-0.029788421084290473,0.08594977765111667,
2016-06-02,13.39,14.31,13.24,13.99,13.99,366400,0.04024190422337259,0.11593008561896978,
2016-06-03,13.78,14.26,13.155,14.0,14.0,365500,0.01818974319439226,0.11111661157584596,
2016-06-06,14.0,14.16,13.56,14.02,14.02,537000,-0.0026481519578860357,0.09780224629846446,
2016-06-07,13.88,14.59,13.71,14.3,14.3,270700,0.02888694028309624,0.14261737556710585,
2016-06-08,14.33,14.33,12.73,12.75,12.75,470900,-0.11985346848320066,0.051946992762887945,-0.06438488950832122
2016-06-09,12.72,12.92,12.01,12.14,12.14,287400,-0.046589452363801964,-0.11830953287292978,-0.0870506167649765
2016-06-10,12.0,12.199,11.575,11.81,11.81,359600,-0.009540047383554295,-0.12549997901515475,-0.10147215153251699
2016-06-13,11.77,12.0,9.7,9.91,9.91,925400,-0.1659244336032204,-0.3322753575056181,-0.3085390830560959
2016-06-14,9.81,10.1,8.735,9.32,9.32,1184700,-0.05059906508026302,-0.3954871749060449,-0.2785406272623243
2016-06-15,9.43,9.72,9.23,9.35,9.35,349600,-0.005579307343877904,-0.3869732750253001,-0.2687811908440949
2016-06-16,9.28,9.39,8.92,9.05,9.05,559400,-0.03070920756226636,-0.44119899350191316,-0.29804273630835487
2016-06-17,8.99,9.15,8.56,8.57,8.57,415400,-0.044480796660617106,-0.3744003672594447,-0.41966792043150614
2016-06-20,8.62,8.739,7.97,8.21,8.21,733400,-0.052420665214535145,-0.37580030879779835,-0.45132736701967735
