Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2018-09-26,18.75,20.0,16.57,17.24,17.24,18628200,-0.08017989118113533,,
2018-09-27,18.139999,18.4,16.0,16.120001000000002,16.120001000000002,4079100,-0.1188654010748098,,
2018-09-28,16.0,16.459999,15.2,16.030001000000002,16.030001000000002,2140000,0.0005168696708421905,,
2018-10-01,16.27,16.4,15.45,15.7,15.7,1507200,-0.035081116456078476,,
2018-10-02,15.14,15.22,14.25,14.29,14.29,3740600,-0.057653660396859596,,
2018-10-03,14.5,15.25,14.22,14.74,14.74,1431200,0.01852643788951447,,
2018-10-04,14.56,14.65,13.2,13.48,13.48,1720200,-0.07097570718557478,,
2018-10-05,13.42,13.9,13.3,13.83,13.83,800800,0.03595776562033315,-0.21334736557955614,
2018-10-08,13.8,14.39,13.2,14.21,14.21,1383100,0.026882364092136957,-0.11591543243931968,
2018-10-09,14.07,14.07,12.64,12.85,12.85,1177100,-0.0899479872374056,-0.20950675348259962,
2018-10-10,12.79,12.9,11.37,11.94,11.94,1613400,-0.037591533721802683,-0.22510425871711748,
2018-10-11,11.61,12.58,11.61,12.47,12.47,1118100,0.08907899607162717,-0.06718107523161887,
2018-10-12,12.62,12.95,12.29,12.89,12.89,765600,0.022400581252488116,-0.07845488164283632,
2018-10-15,12.88,13.0,12.24,12.82,12.82,362100,6.000065822009404e-05,0.0031769809108830316,
2018-10-16,12.87,13.17,12.6,13.06,13.06,332700,-0.0007190947284949623,-0.030719529591739292,
2018-10-17,13.03,13.59,12.71,13.49,13.49,387000,0.0355695730611707,-0.025573279827016293,
2018-10-18,13.47,13.99,13.39,13.75,13.75,389300,0.03250048116414028,0.10719658561771883,
2018-10-19,13.75,13.93,12.65,13.02,13.02,394500,-0.05170922758469221,0.09303894784608602,
2018-10-22,12.96,13.03,11.31,11.63,11.63,629400,-0.10174782180471054,-0.07977015738034421,
2018-10-23,11.48,11.49,10.72,11.07,11.07,417100,-0.043566840402015306,-0.1426121225077055,
2018-10-24,11.03,11.12,10.8,10.99,10.99,315100,0.026688305306742155,-0.1189914441524369,
2018-10-25,11.0,11.47,10.76,11.45,11.45,399400,0.028686296869752326,-0.09372104453783914,
2018-10-26,11.25,11.91,11.02,11.39,11.39,368100,0.015810843738652824,-0.11414309970530256,
2018-10-29,11.46,11.76,10.08,10.34,10.34,327300,-0.08729005673916523,-0.237864444539444,
2018-10-30,10.31,10.56,10.05,10.3,10.3,289600,-0.01673158178526224,-0.20309478922906976,
2018-10-31,10.38,10.79,10.24,10.71,10.71,473800,0.029030250517115164,-0.06626380527458053,
2018-11-01,10.77,11.33,10.48,11.28,11.28,209100,0.03791557153129643,0.01890920086220449,
