Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,8.92,9.14,8.92,8.97,6.324503,11800,-0.3366070489612849,,
2016-04-29,8.64,9.14,8.64,9.05,6.380909,14200,-0.2999400562977761,,
2016-05-02,9.12,9.56,8.84,9.35,6.5924309999999995,26000,-0.33142227177416705,,
2016-05-03,9.35,9.35,8.99,9.13,6.437314,9900,-0.36659442424450006,,
2016-05-04,9.13,9.3,9.1,9.21,6.493721,13800,-0.33626440000033453,,
2016-05-05,8.99,9.29,8.83,8.87,6.2539940000000005,13000,-0.3617617955208563,,
2016-05-06,8.88,9.02,8.65,8.87,6.2539940000000005,17700,-0.3551464680278693,,
2016-05-09,8.96,9.04,8.7,8.75,6.169386,25900,-0.37372475890060763,-0.016550497410155796,
2016-05-10,8.74,9.08,8.63,9.0,6.345655000000001,18700,-0.33063424728265733,-0.014740914094999447,
2016-05-11,8.91,9.08,8.83,8.85,6.2398940000000005,17200,-0.34713132495468546,-0.046772524984115105,
2016-05-12,8.8,9.07,8.8,8.96,6.317451,7100,-0.32995462569369893,-0.01915413579069325,
2016-05-13,8.93,8.98,8.86,8.92,6.289249,7300,-0.3428406464260991,-0.02979275832171213,
2016-05-16,9.41,9.41,9.15,9.29,6.550125,21000,-0.3720768649658537,0.03847710475046484,
2016-05-17,9.11,9.12,8.96,8.98,6.331551999999999,30200,-0.35515557944384746,0.01716383323037718,
2016-05-18,9.03,9.23,9.01,9.15,6.451416,23500,-0.3378411875781404,0.05008712270114257,
2016-05-19,9.14,9.5,8.91,9.12,6.430263,18800,-0.34960299294367925,0.03475187324545059,
2016-05-20,9.2,9.35,9.02,9.13,6.437314,12700,-0.3621920508404335,0.03704595572215119,
2016-05-23,9.04,9.27,9.04,9.11,6.423212,16500,-0.33969713051707795,0.024418435428871232,
2016-05-24,9.04,9.34,9.04,9.17,6.465518,24800,-0.3465163431473346,0.013354328482392264,
2016-05-25,9.31,9.31,9.15,9.26,6.528974,8100,-0.3604084002246195,-0.014723012945898173,
2016-05-26,9.21,9.24,9.16,9.24,6.514872,7300,-0.34556144972813096,0.007808088548769243,
2016-05-27,9.29,9.47,9.19,9.25,6.521923,20200,-0.3580661333735242,-0.0139369948375061,
2016-05-31,9.31,9.41,8.99,9.09,6.409111,24700,-0.3718532123400138,-0.030809317725994045,
2016-06-01,9.09,9.32,8.99,9.19,6.479618,16200,-0.3410842029725092,-0.016097204015193656,
2016-06-02,9.25,9.32,9.11,9.18,6.472568,27300,-0.3606433377000342,-0.01990108795628287,
2016-06-03,9.21,9.36,9.11,9.21,6.493721,15800,-0.34710346107967194,-0.0066984451327820604,
2016-06-06,9.3,9.37,9.06,9.16,6.4584660000000005,35300,-0.36869827581247994,-0.01984380301819888,
2016-06-07,9.23,9.25,9.11,9.16,6.4584660000000005,17000,-0.35799086212306563,-0.0191806380954036,
2016-06-08,9.14,9.29,9.02,9.19,6.479618,22700,-0.34702832570437026,-0.01601902289589563,0.003580607557585047
2016-06-09,9.17,9.29,8.98,9.2,6.486669,23900,-0.3461078185496369,0.0032307330679790525,-0.0075676255075638466
2016-06-10,9.1,9.38,9.0,9.21,6.493721,16400,-0.3310187313047317,0.0037282400828153595,-0.02209553319434221
2016-06-13,9.17,9.3,8.62,8.82,6.2187410000000005,22600,-0.3822846722537667,-0.027482381057822636,-0.04211916937592752
2016-06-14,8.9,9.16,8.8,9.0,6.345655000000001,20800,-0.33764037020971127,-0.011657857282309614,-0.03479473225441154
2016-06-15,9.08,9.3,8.95,9.09,6.409111,14700,-0.34541317484559686,0.010464006751458532,0.01437429553782632
2016-06-16,8.9,9.24,8.75,9.17,6.465518,28500,-0.3251805624567681,0.0173870905136293,0.02317837419737212
2016-06-17,9.19,9.19,8.86,9.0,6.345655000000001,44200,-0.3669812904254979,0.0019719404549325414,0.022103045422673384
2016-06-20,9.18,9.34,9.02,9.18,6.472568,25600,-0.3531427700604337,0.013176344142538099,0.0203496327299737
2016-06-21,9.19,9.3,8.98,9.06,6.3879589999999995,17300,-0.36547873913705864,-0.012994267405481708,0.011682724384291188
2016-06-22,9.12,9.17,9.02,9.05,6.380909,9200,-0.3550994345975922,0.022674350070484017,-0.0002906835147502562
2016-06-23,9.24,9.27,9.06,9.17,6.465518,12400,-0.3668160499916395,0.0005679946646919287,-0.004433979268007482
2016-06-24,8.82,9.07,8.63,8.64,6.091829,70600,-0.33800290038556735,-0.03417863425790291,-0.05828144347054143
