Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,13.25,13.65,13.23,13.43,13.43,115400,0.020750901282402978,,
2016-04-29,13.4,13.73,13.13,13.73,13.73,125500,0.02748047564428635,,
2016-05-02,13.65,13.68,13.13,13.16,13.16,71000,-0.04343223617312031,,
2016-05-03,12.98,12.98,12.49,12.7,12.7,181900,-0.01513717112385704,,
2016-05-04,12.58,12.75,12.47,12.48,12.48,45400,-0.0035153037473678594,,
2016-05-05,12.61,12.76,12.06,12.29,12.29,70700,-0.02457347308540836,,
2016-05-06,12.35,12.61,12.27,12.35,12.35,58700,-0.004565210672986986,,
2016-05-09,12.33,12.39,12.0,12.09,12.09,106700,-0.02021050365245536,-0.09683070805659089,
2016-05-10,12.09,12.38,12.09,12.28,12.28,84900,0.005098873748207389,-0.12081197418784129,
2016-05-11,12.25,12.52,12.25,12.32,12.32,67600,0.014777742585105003,-0.057771515082082114,
2016-05-12,12.35,12.6,12.07,12.53,12.53,205800,0.015950997607007356,-0.013834791996153228,
2016-05-13,12.48,12.58,12.31,12.43,12.43,126900,0.0037196233260061717,-0.0018131734351172213,
2016-05-16,12.5,13.03,12.5,13.03,13.03,473800,0.03173770202540327,0.05068173852394198,
2016-05-17,13.51,14.1,13.21,14.06,14.06,710700,0.04857547845989574,0.13451656840957105,
2016-05-18,13.9,14.22,13.7,13.99,13.99,142600,0.0048654867943516145,0.15135092434382047,
2016-05-19,13.83,13.85,13.31,13.75,13.75,195600,-0.0037593684765431234,0.13457366193307285,
2016-05-20,13.66,14.03,13.54,13.8,13.8,332200,0.005096798866521812,0.1193424124689475,
2016-05-23,13.77,15.31,13.57,14.76,14.76,226800,0.07147224620450343,0.17161098559639942,
2016-05-24,14.36,14.46,14.0,14.12,14.12,158400,-0.028194633055549367,0.11319218998519132,
2016-05-25,14.32,14.44,14.21,14.33,14.33,103600,-0.004871038591516275,0.08361216122850479,
2016-05-26,14.4,14.75,14.24,14.32,14.32,113900,-0.004930207925640584,-0.002410811937984647,
2016-05-27,14.36,14.51,14.26,14.36,14.36,54600,-0.004296851650791744,0.0012971505993131238,
2016-05-31,14.39,14.97,14.39,14.89,14.89,96600,0.035671632978890866,0.052136572525466995,
2016-06-01,15.0,15.18,14.75,15.13,15.13,118400,0.0060584739056892545,0.06936354598122252,
2016-06-02,15.06,15.1,14.79,14.97,14.97,72800,-0.009586748691146507,-0.013428343158041312,
2016-06-03,14.97,15.11,14.55,15.02,15.02,48300,0.0056851270690976285,0.05073939187253096,
2016-06-06,14.88,15.16,14.88,15.0,15.0,50100,0.0039564677481922494,0.03670913791158181,
2016-06-07,15.07,15.47,15.06,15.37,15.37,177200,0.01878790300799338,0.060275493042068806,
2016-06-08,15.4,15.62,15.33,15.43,15.43,71500,-0.0010833412920692176,0.062355792952867084,0.11817315983940979
2016-06-09,15.38,15.56,15.04,15.25,15.25,81400,-0.008408141107255851,0.01509181339027954,0.0809900736609781
2016-06-10,15.15,15.21,14.99,15.06,15.06,55900,0.0004616626115443445,-0.0030832173593555723,0.12785122600873233
2016-06-13,14.97,15.25,14.56,14.7,14.7,117100,-0.012115565319777755,-0.005677621816971179,0.1386702286252337
2016-06-14,14.59,14.88,14.58,14.72,14.72,60200,0.00951133056554454,-0.008768007023544744,0.1533504013990603
2016-06-15,14.7,15.08,14.61,14.89,14.89,43400,0.015782798912119755,0.010774908874255917,0.1817779465382845
2016-06-16,14.77,15.23,14.5,15.14,15.14,101100,0.019129732990022852,0.0012184765109122253,0.19359972602456743
2016-06-17,15.17,15.6,15.1,15.39,15.39,145200,0.017762473703570425,0.020267453211020303,0.23527132110702098
2016-06-20,15.59,15.74,15.39,15.41,15.41,109400,-0.015301537740931348,0.025789699647821074,0.22759174749664046
2016-06-21,15.5,15.61,15.27,15.3,15.3,48500,-0.014764810344159773,0.01923723659617238,0.20485997768698683
2016-06-22,15.37,15.37,15.03,15.07,15.07,26900,-0.017651739120368326,0.02178977991481945,0.17429480053620638
2016-06-23,15.17,15.43,15.17,15.39,15.39,102400,0.004640857394982323,0.026366023186306098,0.18152959802048363
2016-06-24,14.51,14.84,14.5,14.54,14.54,117200,0.034136009802927525,-0.007192802121216868,0.12390340589312565
2016-06-27,14.42,14.42,13.85,14.04,14.04,169100,-0.011373097203728033,-0.03744593748930347,0.021637220125692913
2016-06-28,14.33,14.64,13.81,13.99,13.99,145800,-0.038567084789830286,-0.07826865286313067,0.005651743900069839
2016-06-29,14.19,14.67,14.16,14.47,14.47,218400,0.005887058825209124,-0.05693046285264236,0.03608762271092525
2016-06-30,14.45,15.36,14.45,15.33,15.33,139900,0.046801686380218754,-0.00279796196112736,0.08271960325691197
2016-07-01,15.48,15.63,15.44,15.45,15.45,46700,-0.003657910861496916,0.016546528932154914,0.019230343871961875
2016-07-05,15.4,15.4,14.88,15.03,15.03,63700,-0.021211931585502608,-0.011879610053207479,0.056457797982084834
2016-07-06,14.95,15.25,14.65,15.17,15.17,61100,0.0072951419714826216,0.012286975811302003,0.052578220475922866
2016-07-07,15.37,15.41,15.07,15.19,15.19,142500,-0.010579751028623186,0.031207283938844643,0.0552553160025222
2016-07-08,15.28,15.3,14.96,15.26,15.26,145000,-0.012133859429525717,0.04184853826287549,0.046203131563632205
2016-07-11,15.27,15.5,15.24,15.26,15.26,120200,-0.003203745055115448,0.021600209984027785,0.005551260169486039
2016-07-12,15.43,15.64,15.26,15.47,15.47,168600,-0.003301491142989388,-0.015977283360087746,-0.002621226084398298
2016-07-13,15.46,16.610001,15.46,16.01,16.01,283400,0.035598473227616445,0.012348216369913345,0.04500690339991653
2016-07-14,16.049999,16.219998999999998,15.66,15.72,15.72,204900,-0.02349162375157743,0.009512824484914084,0.01523123059446796
2016-07-15,15.7,15.86,15.56,15.75,15.75,147500,0.004746556380191613,0.008415879080967859,0.02428496164530891
2016-07-18,15.68,15.85,15.15,15.68,15.68,109700,-0.002240671992979948,-0.0006074144679781845,-0.005627591507524787
2016-07-19,15.68,15.74,15.38,15.59,15.59,75300,-0.005751705699865717,0.005612935831579513,-0.010539725557655366
