Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,16.299999,16.639999,16.299999,16.48,12.635784,134300,-0.24737481450689325,,
2016-04-29,16.65,16.65,16.17,16.43,12.597449000000001,170400,-0.27576392046306486,,
2016-05-02,16.540001,16.549999,16.379998999999998,16.49,12.643453,110800,-0.2755168587028658,,
2016-05-03,16.459999,16.459999,16.200001,16.290001,12.490108,80600,-0.26932561679040345,,
2016-05-04,16.280001000000002,16.389999,16.01,16.35,12.536111,93900,-0.2568584779022469,,
2016-05-05,16.290001,16.290001,15.91,16.040001,12.298424,141100,-0.2799496066001188,,
2016-05-06,15.99,16.059998999999998,15.91,15.97,12.24475,46500,-0.2714314638196673,,
2016-05-09,16.0,16.110001,15.98,16.030001000000002,12.290755,131200,-0.2642952195930288,-0.019403797175129966,
2016-05-10,16.09,16.25,16.01,16.17,12.398098,102000,-0.27114927159916613,-0.02515193651986003,
2016-05-11,16.1,16.440001000000002,15.91,16.299999,12.497772,113500,-0.2441891620983312,-0.003402690660158303,
2016-05-12,16.34,16.49,16.25,16.360001,12.543777,138700,-0.26291011163227784,0.003929147569341929,
2016-05-13,16.309998999999998,16.540001,16.299999,16.51,12.658788000000001,112000,-0.24569259704014934,0.011939602006007632,
2016-05-16,16.51,16.549999,16.370001000000002,16.4,12.574444999999999,95700,-0.2820877229121814,0.014408726700370966,
2016-05-17,16.25,16.540001,16.25,16.370001000000002,12.551447,118100,-0.24958520699008524,0.02957742913803285,
2016-05-18,16.32,16.48,16.280001000000002,16.4,12.574444999999999,88000,-0.262313231459403,0.028206026366425885,
2016-05-19,16.370001000000002,16.440001000000002,15.98,16.059998999999998,12.313756,202800,-0.28269148793504373,0.014680698238085377,
2016-05-20,16.129998999999998,16.33,16.059998999999998,16.290001,12.490108,83200,-0.2608437982771923,0.005284361007179328,
2016-05-23,16.32,16.32,16.1,16.25,12.459436,103600,-0.2678693622759094,0.0010694967927986632,
2016-05-24,16.299999,16.440001000000002,16.26,16.43,12.597449000000001,85900,-0.26901101482147327,-0.019144480951194254,
2016-05-25,16.48,16.5,16.4,16.42,12.589781,63300,-0.2748311902332019,-0.010269816150551225,
2016-05-26,16.459999,16.5,16.4,16.49,12.643453,68300,-0.2631527655802737,-0.013430513032650193,
2016-05-27,16.5,16.540001,16.41,16.48,12.635784,48600,-0.27112444378068634,-0.01994041538968494,
2016-05-31,16.5,16.51,16.379998999999998,16.4,12.574444999999999,113700,-0.27017849390133497,-0.0065648816827299505,
2016-06-01,16.309998999999998,16.5,16.26,16.469998999999998,12.628117,125900,-0.258423372335264,-0.011658524895575617,
2016-06-02,16.290001,16.43,16.219998999999998,16.4,12.574444999999999,224200,-0.26247762892929183,-0.01836739008161281,
2016-06-03,16.299999,16.389999,16.200001,16.309998999999998,12.50544,143600,-0.26265061766217324,-0.018381605904274956,
2016-06-06,16.33,16.5,16.309998999999998,16.309998999999998,12.50544,281700,-0.2709158612952436,-0.01570752486156657,
2016-06-07,16.4,16.49,16.280001000000002,16.42,12.589781,229500,-0.2653195235870389,-0.014738981620207259,
2016-06-08,16.42,16.48,16.25,16.4,12.574444999999999,172600,-0.26986302244888716,-0.014377518755814389,-0.02551570495420341
2016-06-09,16.4,16.42,16.27,16.370001000000002,12.551447,147200,-0.267365057177154,-0.010628465053996283,-0.027664585018500887
2016-06-10,16.280001000000002,16.42,16.25,16.4,12.574444999999999,117500,-0.25185086998132844,-0.0027051678858316386,-0.01248202243438623
2016-06-13,16.360001,16.450001,16.33,16.43,12.597449000000001,146600,-0.25525991983010954,0.014350836149040536,0.0009820904295683164
2016-06-14,16.42,16.440001000000002,16.309998999999998,16.32,12.513109,162600,-0.2710827094391739,0.012020591161111316,-0.013565893688350261
2016-06-15,16.379998999999998,16.469998999999998,16.33,16.360001,12.543777,139900,-0.26389588534740493,0.02119619967090891,0.009627585359162083
2016-06-16,16.360001,16.5,16.299999,16.450001,12.612783,135300,-0.26574098728980466,0.018121156390373372,0.01952909087554877
2016-06-17,16.440001000000002,16.49,16.34,16.43,12.597449000000001,90800,-0.26285879809994395,0.024690925054466906,0.01857901727539346
2016-06-20,16.5,16.5,16.41,16.440001000000002,12.605116,102400,-0.2729461216149245,0.01961935892792077,0.017106710429279914
2016-06-21,16.530001000000002,16.74,16.5,16.690001000000002,12.796799,268700,-0.2577595256205245,0.02095511227240321,0.011875780498175281
2016-06-22,16.65,16.780001000000002,16.610001,16.700001,12.804469000000001,181600,-0.2605561600195543,0.013231178534157007,0.010284121394383394
2016-06-23,16.799999,16.83,16.68,16.74,12.835136,169100,-0.2789497136873105,0.007264784144104919,-0.018240711550252975
2016-06-24,16.68,16.84,16.6,16.690001000000002,12.796799,173400,-0.23294473081112654,0.036563947968588195,0.03178280662737931
2016-06-27,16.719998999999998,16.719998999999998,16.5,16.5,12.65112,208300,-0.2635271629888125,0.04101883724057265,0.030970498978088568
2016-06-28,16.360001,16.629998999999998,16.299999,16.530001000000002,12.980947,260600,-0.24591135691428878,0.047094840180296416,0.03746783108926399
2016-06-29,16.65,16.809998999999998,16.5,16.57,13.012356,351000,-0.2601638394752501,0.0378052501385433,0.04023126232973784
2016-06-30,16.700001,16.700001,16.52,16.610001,13.043766999999999,192500,-0.2594139760993044,0.014358507176422286,0.02094992666741824
2016-07-01,16.639999,16.639999,16.57,16.610001,13.043766999999999,161000,-0.24521702619187158,0.010159682760343625,0.019374307361928356
2016-07-05,16.629998999999998,16.860001,16.57,16.84,13.224385,213500,-0.22603838517581165,0.0416661975667747,0.04256996696771598
2016-07-06,16.84,16.99,16.799999,16.959999,13.318620999999998,147300,-0.2419072291421771,0.009838724254677356,0.05189134703260789
2016-07-07,16.98,17.110001,16.9,17.110001,13.436416,154000,-0.2328670581025425,0.012703249991568466,0.05710426200230723
2016-07-08,17.17,17.219998999999998,17.08,17.1,13.428564999999999,134800,-0.25660362196567466,-0.011142211437018101,0.04626603504193083
2016-07-11,17.17,17.200001,17.08,17.129998999999998,13.452122,222800,-0.24657546346999393,0.0016802202939500965,0.048476364306417885
2016-07-12,17.190001000000002,17.290001,17.110001,17.25,13.546357,214200,-0.24410071183213677,0.012739004878825622,0.04534745644181948
2016-07-13,17.25,17.25,17.1,17.15,13.467829,158600,-0.24686734964357315,0.008737102011865616,0.04647879945540678
2016-07-14,17.23,17.26,17.16,17.209999,13.514941,92600,-0.24557285982265986,-0.013639418379707724,0.04731215449228321
2016-07-15,17.25,17.27,17.17,17.26,13.554212,66700,-0.23954789228381035,-0.011570476323752743,0.05602839557042172
2016-07-18,17.299999,17.5,17.299999,17.450001,13.703419,130000,-0.23530175195079517,-0.012679381906569365,0.05916386171594512
2016-07-19,17.440001000000002,17.5,17.27,17.469998999999998,13.719118,90300,-0.2399715151505326,0.005624458644071684,0.0662680124418169
2016-07-20,17.49,17.5,17.370001000000002,17.459999,13.711269,79500,-0.24660079305860627,0.0024410757173125575,0.061545905077726726
2016-07-21,17.5,17.5,17.16,17.450001,13.703419,153700,-0.24098711895128044,0.0054915105943704745,0.05354413492202159
2016-07-22,17.4,17.459999,17.33,17.440001000000002,13.695565,61500,-0.24334151780863778,0.006323187332760494,0.03845115063912674
2016-07-25,17.459999,17.5,17.379998999999998,17.5,13.742682,69900,-0.23699711375254173,0.01452702549906748,0.049818588830239374
2016-07-26,17.5,17.610001,17.459999,17.58,13.805503,129400,-0.23723039762227938,0.014934196796394517,0.049766392695907324
2016-07-27,17.6,17.6,17.459999,17.57,13.797652,54200,-0.24191075941306295,0.006996056046955523,0.04803876137252727
2016-07-28,17.27,17.6,17.200001,17.530001000000002,13.766238000000001,95700,-0.22860140852688504,0.0005305997872819823,0.04210768717463198
2016-07-29,17.68,17.700001,17.33,17.549999,13.781946,201400,-0.25127151904790246,0.004874515392226275,0.04680106154203223
2016-08-01,17.549999,17.639999,17.379998999999998,17.49,13.734829000000001,97900,-0.24405557058046323,-0.0003258798925083184,0.032263142757110064
2016-08-02,17.5,17.58,17.360001,17.49,13.734829000000001,133900,-0.2362988101548531,0.01117299364904678,0.036392965754016515
2016-08-03,17.5,17.65,17.450001,17.5,13.742682,106600,-0.24492544288361406,0.0021651202771462152,0.04471892496328067
2016-08-04,17.52,18.0,17.52,17.809998999999998,13.986123000000001,201800,-0.2256194354359029,0.01527364645090179,0.02847609117822092
2016-08-05,18.0,18.139999,17.860001,17.969998999999998,14.111771,137900,-0.24983363807552816,0.01502018416684514,0.022040108298799765
2016-08-08,18.120001000000002,18.48,18.049999,18.07,14.190301000000002,191400,-0.2431424877256405,0.02536147309150527,0.020374320085840836
2016-08-09,18.129998999999998,18.25,18.01,18.18,14.276682999999998,227000,-0.23871117396987573,0.031530277468969636,0.040526088872458566
2016-08-10,18.190001000000002,18.190001000000002,17.950001,18.139999,14.245269,153700,-0.2410880532211639,0.03435029010043644,0.05225492568112422
2016-08-11,18.120001000000002,18.15,18.02,18.049999,14.174593,78600,-0.24914931923534445,0.018271219007269135,0.044504502000942026
2016-08-12,18.110001,18.120001000000002,18.030001000000002,18.040001,14.166741,93100,-0.24570926803740978,0.021070928011420076,0.024123655407926048
2016-08-15,18.09,18.200001,18.049999,18.1,14.213857999999998,78500,-0.24300186380236477,0.004255671678442319,0.022893038601985882
2016-08-16,18.16,18.16,18.01,18.09,14.206004,64600,-0.2418493599729694,0.008820150985059616,0.018157009292290915
2016-08-17,18.08,18.120001000000002,17.969998999999998,18.08,14.198153,97100,-0.24370356288198947,-5.651000879902668e-05,0.03146002151405991
2016-08-18,18.120001000000002,18.120001000000002,18.01,18.07,14.190301000000002,151400,-0.2468015365478924,-0.008486120702610123,0.030359747875898346
2016-08-19,18.1,18.120001000000002,18.0,18.1,14.213857999999998,100800,-0.24152518256685118,-0.0060521113354337075,0.03346380946686489
2016-08-22,18.1,18.42,18.1,18.34,14.40233,142000,-0.22900762281763898,0.017381095205388775,0.053148495194465184
2016-08-23,18.35,18.35,18.200001,18.280001000000002,14.355214000000002,115900,-0.24510025397841995,0.011912189581285038,0.04967526336891881
2016-08-24,18.309998999999998,18.35,18.24,18.280001000000002,14.355214000000002,84600,-0.23890794081893496,0.01663489103246185,0.05109840595820048
2016-08-25,18.309998999999998,18.379998999999998,18.25,18.27,14.347356,93200,-0.24350421908403952,0.012512074144566121,0.0433484653434264
2016-08-26,18.309998999999998,18.35,18.24,18.32,14.386622000000001,98600,-0.2383585628636058,0.01924486390285285,0.045080426772841076
2016-08-29,18.35,18.52,18.32,18.5,14.527976999999998,110400,-0.23823776153279486,0.026558311508139365,0.054476983666725154
2016-08-30,18.549999,18.790001,18.49,18.77,14.740008999999999,137100,-0.22837523718912855,0.03990315071895045,0.06787544959144487
2016-08-31,18.690001000000002,18.700001,18.530001000000002,18.66,14.653623000000001,143600,-0.24209950007293424,0.02266787666754322,0.06949318452924791
2016-09-01,18.57,18.6,18.5,18.530001000000002,14.551538,72500,-0.24363421560794185,0.020944990744560243,0.05609322861441157
2016-09-02,18.57,18.639999,18.49,18.530001000000002,14.551538,69100,-0.24499354341964397,0.011498693876984767,0.04766290303879073
2016-09-06,18.450001,18.540001,18.379998999999998,18.5,14.527976999999998,101300,-0.24121793624561416,0.0060823844437654095,0.04243479374023629
2016-09-07,18.48,18.610001,18.33,18.35,14.410184,82200,-0.24920683421290812,-0.006225416686126195,0.0383244102994329
2016-09-08,18.389999,18.42,18.299999,18.360001,14.418038000000001,78100,-0.24265783881484682,-0.008018109063574919,0.04158435921092396
2016-09-09,18.280001000000002,18.32,18.09,18.129998999999998,14.237418,97700,-0.23072421043803715,-0.012241709235390807,0.05595962024856238
2016-09-12,18.01,18.110001,17.85,18.049999,14.174593,108700,-0.25731800177422937,-0.027735331284937104,0.030584859595264025
2016-09-13,17.950001,18.129998999999998,17.0,17.68,13.884035,279900,-0.24588609083770585,-0.026555570412194918,0.02737253792507044
