Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,11.13,11.19,10.69,10.73,10.28009,907500,-0.07217770725545725,,
2016-04-29,10.89,11.13,10.86,11.09,10.624995,1367400,-0.0214837299014623,,
2016-05-02,10.9,11.06,10.87,10.99,10.529189,835600,-0.04148612453826317,,
2016-05-03,10.75,10.83,10.6,10.67,10.222607,933600,-0.043633567577377796,,
2016-05-04,10.56,10.6,10.33,10.38,9.944766,786200,-0.05556131107712048,,
2016-05-05,10.39,10.44,10.08,10.15,9.72441,644100,-0.06507383251401277,,
2016-05-06,10.11,10.45,9.98,10.33,9.896861999999999,598800,-0.02587250650730466,,
2016-05-09,10.26,10.28,9.8,10.03,9.609441,1056400,-0.06606063812958496,-0.05918132428471212,
2016-05-10,10.18,10.51,10.15,10.51,10.069315,620200,-0.021426714882887055,-0.06291724076551519,
2016-05-11,10.69,10.84,10.45,10.59,10.145961,851900,-0.043153308308737426,-0.028889157168693114,
2016-05-12,10.54,10.98,10.42,10.89,10.433383000000001,1352300,-0.00868568209014553,0.020050361501716907,
2016-05-13,10.63,10.76,10.38,10.38,9.944766,1016300,-0.05889972899183915,0.0022012839835445774,
2016-05-16,10.45,10.69,10.45,10.47,10.030992,718800,-0.05071052284054911,0.02325355205485069,
2016-05-17,10.45,10.56,10.25,10.34,9.906443,860800,-0.0447448808237243,0.005806361440587882,
2016-05-18,10.12,10.16,9.84,9.93,9.513636,809900,-0.06337598773472086,-0.004633114551819695,
2016-05-19,9.83,9.87,9.6,9.7,9.293279,663100,-0.05410553034934473,-0.058694469321901366,
2016-05-20,9.79,9.91,9.7,9.74,9.331601,621900,-0.05305479855931239,-0.07777131970948714,
2016-05-23,9.45,9.59,9.31,9.48,9.082502999999999,807400,-0.03762118631421307,-0.1308448184993063,
2016-05-24,9.59,9.76,9.52,9.62,9.216632,579300,-0.051051512404742816,-0.09032384118346348,
2016-05-25,9.69,9.93,9.64,9.73,9.322019000000001,701000,-0.04428430866406963,-0.08478895371048578,
2016-05-26,9.78,9.93,9.75,9.87,9.456149,477800,-0.03303342919211083,-0.06725422289477656,
2016-05-27,9.76,9.87,9.65,9.66,9.254955,953600,-0.05743016829878167,-0.05237367843735452,
2016-05-31,9.7,9.93,9.66,9.88,9.465731,763600,-0.022932564741005468,-0.009127887193975504,
2016-06-01,9.69,9.73,9.59,9.71,9.302859,756800,-0.043343506424638356,-0.02573221452258112,
2016-06-02,9.61,9.69,9.51,9.59,9.18789,620500,-0.04851063511552267,-0.016019225218335098,
2016-06-03,9.74,9.97,9.68,9.93,9.513636,708400,-0.02116430061880692,0.020665437481457882,
2016-06-06,10.0,10.07,9.8,9.86,9.446569,504900,-0.06100919014596329,0.004286549308904597,
2016-06-07,9.74,10.37,9.74,10.32,9.887281,870100,0.014084424111669325,0.03409906296348364,
2016-06-08,10.46,10.68,10.44,10.5,10.059735,1066000,-0.042047134508004014,0.0738704287971923,-0.04231768847669404
2016-06-09,10.37,10.37,10.06,10.18,9.753152,1525000,-0.06124618750795907,0.021114658263349906,-0.10962493901804216
2016-06-10,9.98,9.98,9.74,9.85,9.436989,1310500,-0.049526150714349626,0.015869283212607943,-0.11652340818815343
2016-06-13,9.57,9.69,9.44,9.45,9.05376,664100,-0.0493679250963015,-0.0021830887462463977,-0.12899677096217088
2016-06-14,9.46,9.6,9.15,9.29,8.90047,1846800,-0.060327718931765695,-0.05521452752676437,-0.12267164724522539
2016-06-15,9.24,9.69,9.24,9.68,9.274117,2992000,0.006625962152452036,-0.00028894171145399383,-0.05753779405818449
2016-06-16,9.51,9.51,9.21,9.46,9.063341000000001,756800,-0.05371847915815131,-0.070715581742967,-0.09806438023367203
2016-06-17,9.56,9.84,9.44,9.77,9.360344,1917200,-0.017741365899177186,-0.04919560869011663,-0.03233197288209855
2016-06-20,9.98,10.13,9.86,9.97,9.551957000000002,1034900,-0.04752553936157122,-0.005491906482365749,-0.05219960473489271
