Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-04-28,3.73,3.84,3.71,3.78,3.1305330000000002,685500,-0.16794751288151555,,
2016-04-29,3.78,3.83,3.68,3.81,3.155378,1228800,-0.1774637481679977,,
2016-05-02,3.81,3.81,3.72,3.77,3.122251,491900,-0.20594961353507824,,
2016-05-03,3.7,3.72,3.62,3.66,3.031151,875300,-0.19271985758613863,,
2016-05-04,3.64,3.69,3.53,3.53,2.9234869999999997,777300,-0.2147410151661191,,
2016-05-05,3.58,3.63,3.52,3.54,2.931769,724000,-0.1986260519902252,,
2016-05-06,3.5,3.56,3.39,3.43,2.8406689999999997,1582400,-0.21328859135565548,,
2016-05-09,3.4,3.44,3.36,3.41,2.824105,653800,-0.1861377824821151,-0.09473013949996223,
2016-05-10,3.41,3.7,3.38,3.66,3.031151,1638500,-0.12826426026301396,-0.049366560392684944,
2016-05-11,3.63,3.7,3.56,3.61,2.989741,619800,-0.18496616522918408,-0.03518100175603078,
2016-05-12,3.53,3.79,3.53,3.75,3.105687,1012900,-0.1265816322216069,0.023933964134498442,
2016-05-13,3.77,3.79,3.55,3.71,3.0725599999999997,786200,-0.1968298303762659,0.05193529242364492,
2016-05-16,3.78,3.78,3.57,3.59,2.973178,524100,-0.24988064002791788,0.006238690262897473,
2016-05-17,3.59,3.65,3.51,3.58,2.964896,698400,-0.18263850250151692,0.04764111323752518,
2016-05-18,3.56,3.59,3.49,3.49,2.89036,898200,-0.20996794476982572,0.028576361890733093,
2016-05-19,3.45,3.54,3.35,3.36,2.782696,883300,-0.21291203601738795,-0.06401541289867319,
2016-05-20,3.39,3.5,3.37,3.42,2.832386,741100,-0.1848103945677746,-0.04816951718736817,
2016-05-23,3.41,3.47,3.33,3.41,2.824105,414200,-0.18647705127978065,-0.08722751137562779,
2016-05-24,3.44,3.52,3.42,3.51,2.906923,454700,-0.17971663944804073,-0.06970309345843684,
2016-05-25,3.53,3.64,3.53,3.62,2.998023,585000,-0.1689139184121371,-0.0031670324493298097,
2016-05-26,3.63,3.83,3.61,3.8,3.147096,1176200,-0.14211168829286192,0.03890407982293098,
2016-05-27,3.8,3.9,3.77,3.82,3.1636599999999997,1103200,-0.18756833316461563,0.06554189903463548,
2016-05-31,3.8,3.81,3.64,3.8,3.147096,1176000,-0.18700563669000725,0.09554543086387568,
2016-06-01,3.76,3.78,3.68,3.75,3.105687,433500,-0.19375486324358615,0.06946809131612164,
2016-06-02,3.72,3.87,3.7,3.85,3.1885060000000003,420300,-0.15776392450198817,0.09380524587384698,
2016-06-03,3.85,3.85,3.67,3.72,3.0808419999999996,1516300,-0.2205195328867673,0.047056780412084276,
2016-06-06,3.72,4.02,3.72,4.0,3.312733,1330300,-0.12002584377286007,0.09083463567855388,
2016-06-07,4.0,4.0,3.85,3.97,3.2878879999999997,1586200,-0.19697258967057074,0.03328038751740814,
2016-06-08,4.0,4.11,3.96,4.08,3.3789879999999997,1505300,-0.17174760298815106,0.056335361358654135,0.055723482784060474
2016-06-09,4.0,4.02,3.95,3.98,3.2961690000000003,509200,-0.19345315619847958,0.03748291917728297,0.01964637674980052
2016-06-10,3.92,3.94,3.74,3.79,3.138814,1555500,-0.21582666004266127,0.012164162683113933,-0.0017182649441633835
2016-06-13,3.76,3.86,3.7,3.72,3.0808419999999996,1005100,-0.193130881826455,-0.02182644945584844,0.008685249176869192
2016-06-14,3.68,3.72,3.6,3.62,2.998023,902200,-0.2043191009491656,-0.015842338804400447,0.01344664057289191
2016-06-15,3.61,3.73,3.61,3.64,3.0145869999999997,552400,-0.1773044873054832,-0.07617542614230488,0.01773086734981666
2016-06-16,3.58,3.69,3.53,3.64,3.0145869999999997,936100,-0.1775123798501872,-0.07048678826289967,0.04933879231496463
2016-06-17,3.66,3.75,3.66,3.7,3.064278,1601000,-0.17428684936702532,-0.07490110581096654,0.07555251647305616
2016-06-20,3.74,3.76,3.67,3.75,3.105687,783100,-0.18953916847912922,-0.04417338468479026,0.024839552457695202
2016-06-21,3.75,3.84,3.68,3.78,3.1305330000000002,436300,-0.18233017720494749,0.0007848865997162058,0.034247623411583605
2016-06-22,3.79,3.84,3.77,3.81,3.155378,856000,-0.18119791466037682,0.020836623455052772,0.005587908497423522
2016-06-23,3.84,3.87,3.76,3.84,3.180224,565800,-0.19827802913214065,0.0408537517669425,0.0023650999161894948
2016-06-24,3.66,3.7,3.52,3.52,2.915205,977900,-0.1954523995894042,-0.016929123338866203,-0.005436946251947017
2016-06-27,3.38,3.46,3.31,3.35,2.774414,1053100,-0.18210351971206173,-0.045039373388623405,-0.043341694311183954
2016-06-28,3.49,3.6,3.45,3.52,2.915205,896900,-0.19451622461125528,-0.032765329292538725,0.014210825289784346
2016-06-29,3.53,3.82,3.52,3.81,3.155378,1515600,-0.12584256294921148,0.021881997527633645,0.11073696288400203
2016-06-30,3.8,3.88,3.72,3.88,3.213351,422600,-0.1800023408128606,0.021354213823361334,0.10377135442231311
2016-07-01,3.9,3.91,3.76,3.81,3.155378,354300,-0.21358630053704508,-0.008356461773195711,0.0844589580998556
2016-07-05,3.81,4.02,3.81,3.95,3.2713240000000003,1654500,-0.14932701914092683,0.04003329539832268,0.11210148877294901
2016-07-06,3.92,4.0,3.82,3.99,3.3044510000000002,1327400,-0.17813465780069082,0.09520085887995733,0.09293094507734012
2016-07-07,3.99,4.04,3.94,3.95,3.2713240000000003,1253500,-0.19739594505908742,0.11723560812985756,0.034989833995742625
2016-07-08,4.02,4.02,3.96,4.0,3.312733,2183700,-0.20433247571712498,0.08278968631500128,0.031458612570150146
2016-07-11,4.0,4.1,4.0,4.06,3.362424,1607200,-0.17618087035873597,0.031996568570923145,0.0471881005910495
2016-07-12,4.1,4.12,4.0,4.03,3.3375790000000003,1475800,-0.21163176920494386,0.012863120932330885,0.04716638403852236
2016-07-13,4.03,4.03,3.94,4.0,3.312733,1063300,-0.19535185811905587,0.02540892252408522,0.01606263475009384
2016-07-14,4.0,4.06,3.96,4.03,3.3375790000000003,708300,-0.18376529074358827,-0.015321860821535083,0.04972284753932965
2016-07-15,4.07,4.09,4.02,4.05,3.354142,1052000,-0.191880095979428,-0.014179040371912421,-0.012082730973126177
2016-07-18,4.08,4.1,4.0,4.06,3.362424,726100,-0.19567551796701044,-0.004888766269003586,-0.0031793197906690995
2016-07-19,4.05,4.1,4.03,4.09,3.3872699999999996,348800,-0.17868796774396856,0.0064690373787068545,-0.018407711409797134
2016-07-20,4.09,4.09,3.99,4.0,3.312733,809200,-0.2139609950873882,-0.03152872460903389,-0.02182354319526736
2016-07-21,3.99,4.2,3.99,4.14,3.4286790000000003,1390300,-0.1480477768655848,0.020893163883027865,0.05589538523843629
2016-07-22,4.14,4.2,4.08,4.12,3.412115,440500,-0.19730682358869345,0.019113739163704402,0.05700282336964668
2016-07-25,4.11,4.12,4.03,4.04,3.34586,557100,-0.20329035269030427,0.00029444227263852873,0.06585962861636863
2016-07-26,4.07,4.07,3.87,3.98,3.2961690000000003,1009000,-0.21097891193495144,-0.02087085127275956,0.04322184389641914
2016-07-27,3.99,4.12,3.99,4.08,3.3789879999999997,735300,-0.16472526465076665,0.005057100967325923,0.07236456943955649
2016-07-28,4.09,4.1,4.05,4.07,3.3707059999999998,264000,-0.19527234125045645,-0.007800207744896426,0.04869318665627298
2016-07-29,4.08,4.14,4.04,4.08,3.3789879999999997,502300,-0.19071766864840733,0.019535818002876404,0.04188565949239931
2016-08-01,4.05,4.25,4.01,4.14,3.4286790000000003,1157300,-0.16547837249098873,-0.002615385674401338,0.052495112964318746
2016-08-02,4.16,4.18,4.01,4.08,3.3789879999999997,538400,-0.2019716166436032,-0.0014458953326839108,0.03472030458191
2016-08-03,4.06,4.12,4.01,4.09,3.3872699999999996,528000,-0.1843897125984122,0.014465646813825783,0.039471523663251906
2016-08-04,4.14,4.3,4.1,4.24,3.5114970000000003,1349800,-0.16499531923585953,0.06555686076755962,0.12570782800284497
2016-08-05,4.3,4.46,4.28,4.45,3.6854150000000003,1842300,-0.1607030366625417,0.0793162267632217,0.1967201695914016
2016-08-08,4.45,4.51,4.34,4.37,3.61916,954500,-0.20534697645714517,0.0661415795631275,0.1476000955119392
2016-08-09,4.41,4.51,4.39,4.44,3.6771339999999997,594800,-0.18151189642813126,0.08081949325384041,0.10082315521860608
2016-08-10,4.44,4.49,4.31,4.39,3.6357239999999997,487000,-0.19648696790711928,0.05649351807721792,0.08763441721817533
2016-08-11,4.41,4.49,4.35,4.48,3.710261,497500,-0.17635656502200403,0.08028092002194098,0.1233576863770467
2016-08-12,4.45,4.51,4.41,4.41,3.6522879999999995,587600,-0.19769225088794284,0.06600989125622903,0.06544811952115825
2016-08-15,4.43,4.48,4.34,4.45,3.6854150000000003,718300,-0.18587641463160431,0.036444586970022286,0.06695155609290993
2016-08-16,4.41,4.49,4.37,4.42,3.66057,447300,-0.182548495412987,-0.0045995343856892745,0.07488502707585476
2016-08-17,4.42,4.49,4.31,4.34,3.5943160000000005,566400,-0.2087950809177952,-0.007497938563202355,0.05731247063373557
2016-08-18,4.33,4.43,4.3,4.35,3.6025970000000003,314700,-0.18625645155295234,-0.02289584688668045,0.04593073976100248
2016-08-19,4.33,4.37,4.3,4.35,3.6025970000000003,524300,-0.18374321623865675,-0.012997955517508597,0.06177334076833585
2016-08-22,4.34,4.37,4.26,4.31,3.56947,554300,-0.19594290631996691,-0.03724286632603091,0.06070589752693056
2016-08-23,4.37,4.37,4.24,4.26,3.528061,834700,-0.21359848150041105,-0.03590938954797007,0.044860590794723265
