Date,Open,High,Low,Close,Adj Close,Volume,rel_short,rel_mid,rel_long
2016-07-19,12.227,13.6,11.7501,12.0,12.0,47769,-0.018735345221342126,,
2016-07-20,11.99,12.0,11.15,11.8,11.8,93100,-0.019162991061748347,,
2016-07-21,11.8,12.0,11.62,11.75,11.75,158100,-0.0006778926457111645,,
2016-07-22,11.65,11.82,11.45,11.6,11.6,28500,-0.008244451284406207,,
2016-07-25,11.0,11.65,11.0,11.54,11.54,13800,0.05033290341433272,,
2016-07-26,11.7,11.7,11.53,11.53,11.53,10100,-0.014733305007780029,,
2016-07-27,11.75,12.0,11.55,11.55,11.55,46800,-0.01567809375065421,,
2016-07-28,11.4,11.6,11.4,11.5,11.5,168500,0.006884090800904907,-0.04545775291402743,
2016-07-29,11.582,11.75,11.4,11.65,11.65,31600,0.0036570745964801255,-0.013060261375060556,
2016-08-01,11.42,11.9,10.67,11.75,11.75,44700,0.029550489189315687,-0.002615385674401338,
2016-08-02,11.5,11.54,11.22,11.3,11.3,47500,-0.011577108400635083,-0.017892190472457603,
2016-08-03,11.05,11.4,11.05,11.07,11.07,20400,-0.0014227074497559222,-0.03941539408226147,
2016-08-04,11.02,11.25,10.75,10.75,10.75,153500,-0.02514802283055273,-0.06777127621596613,
2016-08-05,10.65,10.85,10.09,10.739,10.739,31500,0.001850930732773648,-0.08029411697405386,
2016-08-08,10.01,10.25,9.92,10.19,10.19,69000,0.019137418916143734,-0.1259183453117041,
2016-08-09,10.21,10.424,9.5,9.81,9.81,324500,-0.039736209976036996,-0.1756418012086609,
2016-08-10,10.1,10.34,9.95,10.05,10.05,86100,-0.0016036466484607992,-0.15842029805076407,
2016-08-11,10.0,10.5,10.0,10.32,10.32,121300,0.027914566946938724,-0.1039640138128255,
2016-08-12,10.5,11.01,10.49,10.65,10.65,826200,0.01404265976065977,-0.04799849660861666,
2016-08-15,10.6,10.74,10.5,10.54,10.54,67100,-0.007536426604211943,-0.0316243202344606,
2016-08-16,10.55,10.55,8.23,8.5,8.5,458800,-0.2123523753723724,-0.2316510807329868,
2016-08-17,8.95,8.95,7.1,7.11,7.11,518800,-0.23216038211436252,-0.3605142960848815,
2016-08-18,7.11,7.11,5.99,6.2,6.2,504900,-0.13929683557771577,-0.4612701582806069,
2016-08-19,6.32,6.32,5.68,5.94,5.94,332800,-0.061840723283529186,-0.5297081650797522,
2016-08-22,6.06,6.06,5.73,5.82,5.82,137600,-0.040895221932139014,-0.5713412654735275,
2016-08-23,5.95,5.95,5.55,5.66,5.66,292100,-0.049551227979862444,-0.6334399972113134,
2016-08-24,5.77,6.11,5.67,5.95,5.95,427300,0.03514528113047333,-0.5650472494785452,
2016-08-25,6.05,6.24,5.9,6.17,6.17,1148600,0.020017976503687196,-0.3177562336459354,
2016-08-26,6.18,6.2,6.0,6.1,6.1,156800,-0.010239506072892368,-0.14715546999864837,-0.6790458643092614
2016-08-29,6.01,6.12,6.01,6.1,6.1,206700,0.010179596892029519,-0.013219745003355543,-0.6631919658676839
2016-08-30,6.1,6.13,6.05,6.09,6.09,115100,-0.00011168884595202933,0.028494005925997712,-0.6622498428789199
2016-08-31,6.14,6.35,6.1,6.31,6.31,454100,0.028512500650344608,0.08620568188291244,-0.6069917878758981
2016-09-01,6.26,6.54,6.15,6.41,6.41,114000,0.02389555307871216,0.1317968981230906,-0.5890569897791009
2016-09-02,6.33,7.16,6.32,7.09,7.09,165400,0.11224224383438974,0.17320934352452566,-0.4912335024044463
2016-09-06,7.15,7.85,7.12,7.79,7.79,469200,0.08349875291029885,0.22671384205949452,-0.40298758929348155
2016-09-07,7.76,8.124,7.65,7.94,7.94,346400,0.022477994224159303,0.2557626555436707,-0.37782545585156324
2016-09-08,7.66,7.98,7.66,7.8,7.8,199800,0.01878083379373896,0.24541303058730035,-0.404718673905323
2016-09-09,7.83,7.98,7.55,7.62,7.62,201100,-0.007976299330207937,0.24657850676719728,-0.41305595043732124
2016-09-12,7.53,7.75,7.2,7.63,7.63,259900,-0.004649175781358927,0.1954533094215587,-0.39364628798188184
2016-09-13,7.86,7.86,7.35,7.49,7.49,170300,-0.037253347988814856,0.17611102979917193,-0.37353056589766753
2016-09-14,7.25,7.55,6.89,7.4,7.4,352700,0.02146126237835455,0.06797625384673944,-0.35548597234174073
2016-09-15,7.4,7.44,7.18,7.2,7.2,307900,-0.037650339481191564,-0.060659513647433494,-0.3833529859668612
2016-09-16,7.14,7.32,6.52,6.87,6.87,1298900,-0.03513257576350881,-0.12301581662965888,-0.374922927169518
2016-09-19,6.87,7.206,6.87,6.96,6.96,286400,0.0152893582626219,-0.09441779174738785,-0.32349466444404995
2016-09-20,6.91,7.1,6.8,6.98,6.98,61500,0.012963258439852243,-0.09332782130257056,-0.3479634736891277
2016-09-21,6.93,7.18,6.75,6.85,6.85,253500,-0.02021907356755337,-0.10972717452438863,-0.39940944869344497
2016-09-22,6.92,7.0,6.75,6.91,6.91,905100,-0.004316335738598687,-0.10390764144997777,-0.42943971073902865
2016-09-23,6.798,6.96,6.665,6.79,6.79,33700,0.002787519783593817,-0.10417209642717729,-0.4280337485344574
2016-09-26,6.79,6.89,6.75,6.82,6.82,28600,0.010188328472237274,-0.053681225846142766,-0.20538313108001716
2016-09-27,6.78,6.8,6.61,6.63,6.63,185300,-0.028823778498778596,-0.04522189684335065,-0.059630527927987176
2016-09-28,6.58,6.76,6.54,6.68,6.68,118300,0.010689265517514146,-0.0560252612258938,0.08175023261066316
2016-09-29,6.64,6.71,6.42,6.53,6.53,87600,-0.008478169873148866,-0.07194152667607434,0.1098031647145501
2016-09-30,6.53,6.57,6.24,6.45,6.45,50100,-0.017765257397432954,-0.06254646723621393,0.10938534954386858
